date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1710.66,1750.47,1699.80,1706.75,556148,EQ,4449184,25,11122
2024-09-02,1708.99,1760.94,1707.85,1720.47,506287,EQ,4050296,25,10125
2024-09-03,1720.94,1747.89,1715.75,1744.80,234067,EQ,1872536,25,4681
2024-09-04,1733.37,1781.61,1728.94,1750.75,619282,EQ,4954256,25,12385
2024-09-05,1753.56,1820.94,1753.51,1787.32,1023547,EQ,8188376,25,20470
2024-09-06,1787.32,1811.99,1739.42,1751.42,424614,EQ,3396912,25,8492
2024-09-09,1754.18,1815.23,1740.94,1757.56,830879,EQ,6647032,25,16617
2024-09-10,1755.37,1813.18,1754.27,1775.89,752190,EQ,6017520,25,15043
2024-09-11,1798.08,1798.99,1707.61,1722.08,439715,EQ,3517720,25,8794
2024-09-12,1736.56,1765.70,1729.18,1742.70,185738,EQ,1485904,25,3714
2024-09-13,1741.75,1753.51,1704.80,1712.99,185938,EQ,1487504,25,3718
2024-09-16,1712.99,1741.94,1708.51,1734.66,148058,EQ,1184464,25,2961
2024-09-17,1769.32,1850.46,1769.32,1818.99,4858131,EQ,38865048,25,97162
2024-09-18,1827.27,1841.85,1772.47,1793.61,775364,EQ,6202912,25,15507
2024-09-19,1798.13,1840.37,1758.18,1824.04,1108745,EQ,8869960,25,22174
2024-09-20,1828.56,1834.18,1776.23,1813.94,607554,EQ,4860432,25,12151
2024-09-23,1813.32,1856.94,1780.94,1840.08,1170628,EQ,9365024,25,23412
2024-09-24,1840.94,1860.94,1829.46,1837.13,701312,EQ,5610496,25,14026
2024-09-25,1820.94,1893.32,1820.94,1855.80,1281486,EQ,10251888,25,25629
2024-09-26,1866.37,1893.23,1841.32,1871.37,860987,EQ,6887896,25,17219
2024-09-27,1869.51,1876.18,1847.61,1853.89,334621,EQ,2676968,25,6692
2024-09-30,1838.08,1861.85,1826.94,1847.99,534385,EQ,4275080,25,10687
2024-10-01,1857.13,1857.13,1820.94,1823.99,250202,EQ,2001616,25,5004
2024-10-03,1808.66,1864.75,1787.61,1854.04,885783,EQ,7086264,25,17715
2024-10-04,1861.89,1861.89,1803.47,1819.37,524931,EQ,4199448,25,10498
2024-10-07,1828.56,1832.13,1732.13,1737.89,364139,EQ,2913112,25,7282
2024-10-08,1729.61,1767.66,1711.70,1741.70,449197,EQ,3593576,25,8983
2024-10-09,1752.37,1771.42,1731.42,1733.61,238078,EQ,1904624,25,4761
2024-10-10,1742.75,1818.85,1739.51,1780.47,1054545,EQ,8436360,25,21090
2024-10-11,1772.37,1781.80,1744.08,1746.66,185640,EQ,1485120,25,3712
2024-10-14,1749.51,1754.94,1701.04,1706.51,676737,EQ,5413896,25,13534
2024-10-15,1706.51,1768.56,1706.51,1746.08,544796,EQ,4358368,25,10895
2024-10-16,1746.08,1753.18,1680.94,1701.66,537067,EQ,4296536,25,10741
2024-10-17,1704.75,1710.18,1670.47,1678.18,302783,EQ,2422264,25,6055
2024-10-18,1609.47,1609.47,1432.13,1506.90,5199584,EQ,41596672,25,103991
2024-10-21,1512.42,1539.61,1488.09,1491.94,579705,EQ,4637640,25,11594
2024-10-22,1491.94,1521.80,1452.56,1458.90,461204,EQ,3689632,25,9224
2024-10-23,1458.85,1513.90,1451.71,1504.32,470849,EQ,3766792,25,9416
2024-10-24,1505.90,1516.99,1457.85,1469.47,510219,EQ,4081752,25,10204
2024-10-25,1442.85,1452.04,1399.28,1425.94,793535,EQ,6348280,25,15870
2024-10-28,1409.52,1414.90,1345.47,1348.28,893927,EQ,7151416,25,17878
2024-10-29,1352.37,1365.80,1327.61,1358.04,713534,EQ,5708272,25,14270
2024-10-30,1362.32,1387.37,1324.33,1373.23,1005048,EQ,8040384,25,20100
2024-10-31,1380.85,1380.85,1349.80,1372.94,569772,EQ,4558176,25,11395
2024-11-01,1379.04,1385.94,1367.42,1377.18,57486,EQ,459888,25,1149
2024-11-04,1384.47,1384.47,1317.18,1321.71,668155,EQ,5345240,25,13363
2024-11-05,1321.90,1323.80,1285.71,1313.85,689242,EQ,5513936,25,13784
2024-11-06,1330.37,1370.47,1323.99,1366.37,675283,EQ,5402264,25,13505
2024-11-07,1375.23,1385.71,1357.32,1369.18,346863,EQ,2774904,25,6937
2024-11-08,1385.71,1390.94,1343.80,1353.94,471817,EQ,3774536,25,9436
2024-11-11,1351.42,1352.71,1330.47,1334.75,343734,EQ,2749872,25,6874
2024-11-12,1336.18,1348.94,1300.94,1304.94,281833,EQ,2254664,25,5636
2024-11-13,1304.75,1306.90,1260.33,1266.33,371002,EQ,2968016,25,7420
2024-11-14,1262.42,1276.18,1244.28,1250.14,383814,EQ,3070512,25,7676
2024-11-18,1162.85,1162.85,1024.04,1076.18,4854898,EQ,38839184,25,97097
2024-11-19,1059.61,1091.23,1059.04,1072.42,1700881,EQ,13607048,25,34017
2024-11-21,1078.14,1082.85,1036.23,1071.76,1459237,EQ,11673896,25,29184
2024-11-22,1097.71,1118.37,1068.56,1102.37,2039721,EQ,16317768,25,40794
2024-11-25,1125.14,1141.66,1104.76,1130.95,953959,EQ,7631672,25,19079
2024-11-26,1138.09,1142.18,1116.09,1120.42,575330,EQ,4602640,25,11506
2024-11-27,1123.80,1127.85,1098.09,1122.56,629023,EQ,5032184,25,12580
2024-11-28,1127.61,1141.56,1111.42,1123.75,588960,EQ,4711680,25,11779
2024-11-29,1123.80,1145.71,1116.33,1134.99,715862,EQ,5726896,25,14317
2024-12-02,1147.61,1183.09,1129.71,1177.61,1207059,EQ,9656472,25,24141
2024-12-03,1182.85,1222.71,1175.61,1217.37,1609968,EQ,12879744,25,32199
2024-12-04,1215.80,1222.85,1189.56,1200.75,765072,EQ,6120576,25,15301
2024-12-05,1214.28,1240.71,1187.56,1231.33,1327586,EQ,10620688,25,26551
2024-12-06,1226.61,1246.66,1219.99,1223.28,605923,EQ,4847384,25,12118
2024-12-09,1229.71,1233.61,1213.04,1218.42,503266,EQ,4026128,25,10065
2024-12-10,1221.80,1239.94,1218.71,1226.47,535402,EQ,4283216,25,10708
2024-12-11,1230.52,1242.61,1218.75,1238.28,355447,EQ,2843576,25,7108
2024-12-12,1233.33,1236.18,1210.66,1217.94,431246,EQ,3449968,25,8624
2024-12-13,1217.94,1240.94,1196.66,1235.61,1424451,EQ,11395608,25,28489
2024-12-16,1239.75,1247.14,1221.66,1225.66,736991,EQ,5895928,25,14739
2024-12-17,1228.56,1228.56,1178.09,1180.66,580841,EQ,4646728,25,11616
2024-12-18,1181.71,1191.37,1167.61,1180.52,433950,EQ,3471600,25,8679
2024-12-19,1174.56,1216.75,1159.85,1199.66,787138,EQ,6297104,25,15742
2024-12-20,1198.09,1204.04,1152.33,1157.42,411005,EQ,3288040,25,8220
2024-12-23,1161.71,1174.52,1147.14,1167.23,253059,EQ,2024472,25,5061
2024-12-24,1163.85,1207.61,1163.80,1189.09,695650,EQ,5565200,25,13913
2024-12-26,1193.33,1197.75,1170.09,1179.95,231478,EQ,1851824,25,4629
2024-12-27,1177.18,1185.23,1168.75,1179.33,419950,EQ,3359600,25,8399
2024-12-30,1180.37,1210.04,1172.37,1197.85,381519,EQ,3052152,25,7630
2024-12-31,1199.99,1230.94,1186.71,1223.23,726661,EQ,5813288,25,14533
2025-01-01,1219.04,1231.42,1209.99,1221.18,197920,EQ,1583360,25,3958
2025-01-02,1220.71,1246.56,1220.71,1234.37,734903,EQ,5879224,25,14698
2025-01-03,1230.42,1266.18,1228.56,1250.33,1784947,EQ,14279576,25,35698
2025-01-06,1261.85,1261.85,1203.04,1213.80,665752,EQ,5326016,25,13315
2025-01-07,1213.80,1225.75,1168.99,1185.61,864619,EQ,6916952,25,17292
2025-01-08,1177.23,1212.28,1171.85,1192.90,773443,EQ,6187544,25,15468
2025-01-09,1195.23,1257.14,1192.94,1210.14,2183246,EQ,17465968,25,43664
2025-01-10,1233.33,1250.90,1180.99,1224.85,1858084,EQ,14864672,25,37161
2025-01-13,1217.18,1221.71,1156.75,1169.18,642122,EQ,5136976,25,12842
2025-01-14,1202.14,1235.80,1198.52,1209.18,1241633,EQ,9933064,25,24832
2025-01-15,1218.09,1249.09,1212.71,1229.75,561153,EQ,4489224,25,11223
2025-01-16,1247.52,1261.90,1224.42,1232.85,527065,EQ,4216520,25,10541
2025-01-17,1237.09,1269.33,1224.56,1258.66,761011,EQ,6088088,25,15220
2025-01-20,1266.14,1266.14,1226.66,1244.85,373533,EQ,2988264,25,7470
2025-01-21,1247.61,1260.42,1212.28,1216.71,366115,EQ,2928920,25,7322
2025-01-22,1223.14,1226.23,1194.52,1219.23,282925,EQ,2263400,25,5658
2025-01-23,1221.85,1252.85,1203.85,1250.37,361497,EQ,2891976,25,7229
2025-01-24,1251.42,1257.85,1214.09,1217.56,425143,EQ,3401144,25,8502
2025-01-27,1207.61,1225.18,1188.61,1198.37,720339,EQ,5762712,25,14406
2025-01-28,1198.56,1226.66,1180.52,1217.09,594153,EQ,4753224,25,11883
2025-01-29,1223.90,1275.23,1197.61,1206.85,2632069,EQ,21056552,25,52641
2025-01-30,1210.09,1273.28,1201.18,1241.42,2232617,EQ,17860936,25,44652
2025-01-31,1247.52,1319.47,1241.42,1314.13,1596163,EQ,12769304,25,31923
2025-02-01,1304.28,1316.23,1266.99,1308.09,513716,EQ,4109728,25,10274
2025-02-03,1292.28,1296.08,1238.53,1267.06,537164,EQ,4297312,25,10743
2025-02-04,1269.75,1287.33,1259.62,1285.08,246796,EQ,1974368,25,4935
2025-02-05,1288.92,1322.31,1278.11,1295.65,666704,EQ,5333632,25,13334
2025-02-06,1298.96,1310.39,1270.14,1289.40,252596,EQ,2020768,25,5051
2025-02-07,1292.19,1309.53,1274.94,1306.17,285625,EQ,2285000,25,5712
2025-02-10,1302.37,1304.68,1270.52,1278.93,284508,EQ,2276064,25,5690
2025-02-11,1283.59,1285.51,1228.39,1246.60,360490,EQ,2883920,25,7209
2025-02-12,1240.50,1267.64,1206.77,1250.78,407965,EQ,3263720,25,8159
2025-02-13,1250.78,1266.29,1240.88,1247.13,281419,EQ,2251352,25,5628
2025-02-14,1248.47,1265.86,1177.85,1190.97,385387,EQ,3083096,25,7707
2025-02-17,1190.39,1230.75,1158.45,1227.29,403177,EQ,3225416,25,8063
2025-02-18,1227.67,1255.58,1219.22,1250.34,499060,EQ,3992480,25,9981
2025-02-19,1226.90,1256.21,1226.90,1242.90,342911,EQ,2743288,25,6858
2025-02-20,1245.78,1295.07,1230.41,1289.88,609148,EQ,4873184,25,12182
2025-02-21,1280.27,1312.27,1273.74,1282.10,312637,EQ,2501096,25,6252
2025-02-24,1261.49,1272.15,1246.02,1265.33,252892,EQ,2023136,25,5057
2025-02-25,1253.80,1275.81,1252.99,1267.45,268793,EQ,2150344,25,5375
2025-02-27,1270.23,1277.49,1234.92,1259.86,492186,EQ,3937488,25,9843
2025-02-28,1252.89,1258.56,1184.63,1188.95,545196,EQ,4361568,25,10903
2025-03-03,1210.57,1217.01,1168.63,1186.93,454356,EQ,3634848,25,9087
2025-03-04,1173.10,1181.36,1148.65,1166.23,246010,EQ,1968080,25,4920
2025-03-05,1168.97,1238.96,1168.97,1230.17,464515,EQ,3716120,25,9290
2025-03-06,1252.79,1287.38,1234.92,1284.07,818021,EQ,6544168,25,16360
2025-03-07,1273.16,1281.67,1221.43,1233.63,959525,EQ,7676200,25,19190
2025-03-10,1229.78,1256.59,1220.66,1228.49,397855,EQ,3182840,25,7957
2025-03-11,1211.53,1241.75,1193.56,1237.37,316597,EQ,2532776,25,6331
2025-03-12,1237.37,1250.73,1227.86,1248.52,162129,EQ,1297032,25,3242
2025-03-13,1244.20,1255.05,1230.26,1235.50,156251,EQ,1250008,25,3125
2025-03-17,1237.52,1273.98,1233.24,1260.10,306214,EQ,2449712,25,6124
2025-03-18,1260.10,1260.10,1260.10,1260.10,0,EQ,0,25,0
2025-03-19,1275.90,1293.48,1268.79,1280.22,262260,EQ,2098080,25,5245
2025-03-20,1301.84,1334.41,1291.37,1315.97,777812,EQ,6222496,25,15556
2025-03-21,1316.01,1338.30,1307.61,1325.86,377834,EQ,3022672,25,7556
2025-03-24,1328.74,1352.19,1323.12,1335.57,694701,EQ,5557608,25,13894
2025-03-25,1341.23,1346.47,1306.21,1311.93,230272,EQ,1842176,25,4605
2025-03-26,1304.29,1320.58,1292.23,1295.41,186757,EQ,1494056,25,3735
2025-03-27,1287.91,1325.86,1280.71,1313.71,321798,EQ,2574384,25,6435
2025-03-28,1313.80,1343.16,1308.09,1332.54,395767,EQ,3166136,25,7915
2025-04-01,1323.75,1351.80,1314.38,1331.43,331614,EQ,2652912,25,6632
2025-04-02,1331.43,1335.47,1311.45,1333.45,260681,EQ,2085448,25,5213
2025-04-03,1324.90,1345.08,1316.30,1341.23,318708,EQ,2549664,25,6374
