date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1933.83,1948.23,1920.12,1925.80,398548,EQ,3188384,25,7970
2024-09-02,1931.82,1938.68,1917.33,1924.97,177607,EQ,1420856,25,3552
2024-09-03,1948.28,1949.16,1903.02,1938.24,1107585,EQ,8860680,25,22151
2024-09-04,1910.27,1947.50,1910.22,1918.11,309329,EQ,2474632,25,6186
2024-09-05,1920.07,1971.11,1913.46,1948.72,531077,EQ,4248616,25,10621
2024-09-06,1963.17,1963.17,1925.46,1936.28,418731,EQ,3349848,25,8374
2024-09-09,1937.16,1953.87,1926.44,1948.77,489447,EQ,3915576,25,9788
2024-09-10,1952.40,1960.67,1911.35,1919.82,550436,EQ,4403488,25,11008
2024-09-11,1919.09,1939.56,1903.41,1908.90,287550,EQ,2300400,25,5751
2024-09-12,1926.48,1949.70,1916.98,1945.93,175461,EQ,1403688,25,3509
2024-09-13,1993.54,2036.40,1959.25,1972.04,2042604,EQ,16340832,25,40852
2024-09-16,1983.74,1991.29,1963.17,1972.58,597148,EQ,4777184,25,11942
2024-09-17,1977.92,1998.34,1950.88,1982.62,680183,EQ,5441464,25,13603
2024-09-18,1991.58,2001.87,1965.42,1975.91,258606,EQ,2068848,25,5172
2024-09-19,1988.54,2018.03,1968.22,1993.98,568103,EQ,4544824,25,11362
2024-09-20,1960.23,1974.05,1887.89,1949.11,1609685,EQ,12877480,25,32193
2024-09-23,1963.17,1991.92,1945.78,1983.65,497938,EQ,3983504,25,9958
2024-09-24,1979.63,1988.64,1945.59,1950.44,504707,EQ,4037656,25,10094
2024-09-25,1973.41,2003.34,1945.73,2000.99,778581,EQ,6228648,25,15571
2024-09-26,2000.99,2017.05,1971.40,2005.79,371331,EQ,2970648,25,7426
2024-09-27,1993.64,2027.63,1990.80,2015.83,497651,EQ,3981208,25,9953
2024-09-30,2009.21,2022.93,1983.79,1990.45,452799,EQ,3622392,25,9055
2024-10-01,1958.27,1968.51,1911.64,1916.05,1481783,EQ,11854264,25,29635
2024-10-03,1900.48,1934.27,1891.66,1924.04,692362,EQ,5538896,25,13847
2024-10-04,1939.66,1939.66,1871.82,1891.02,645007,EQ,5160056,25,12900
2024-10-07,1905.42,1905.77,1832.98,1843.66,763109,EQ,6104872,25,15262
2024-10-08,1849.54,1865.65,1829.99,1845.67,481031,EQ,3848248,25,9620
2024-10-09,1856.39,1915.17,1851.74,1894.30,586719,EQ,4693752,25,11734
2024-10-10,1902.78,1928.35,1888.77,1903.81,265399,EQ,2123192,25,5307
2024-10-11,1896.95,1926.93,1892.10,1905.81,266597,EQ,2132776,25,5331
2024-10-14,1903.51,1919.24,1898.42,1910.22,172629,EQ,1381032,25,3452
2024-10-15,1910.22,1933.78,1904.00,1917.08,189573,EQ,1516584,25,3791
2024-10-16,1928.59,1932.80,1901.11,1916.93,262413,EQ,2099304,25,5248
2024-10-17,1927.91,1955.78,1900.38,1915.61,406410,EQ,3251280,25,8128
2024-10-18,1910.27,1943.53,1884.51,1928.64,565171,EQ,4521368,25,11303
2024-10-21,1928.64,1947.94,1901.31,1905.37,153127,EQ,1225016,25,3062
2024-10-22,1900.48,1922.47,1862.07,1871.58,357684,EQ,2861472,25,7153
2024-10-23,1861.29,1916.79,1851.54,1885.83,505143,EQ,4041144,25,10102
2024-10-24,1897.54,1912.18,1880.00,1890.83,401045,EQ,3208360,25,8020
2024-10-25,1892.98,1907.33,1856.49,1884.36,452701,EQ,3621608,25,9054
