date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1226.55,1232.79,1220.30,1224.69,3808974,EQ,30471792,25,76179
2024-09-02,1224.32,1232.15,1222.87,1229.17,1751182,EQ,14009456,25,35023
2024-09-03,1225.30,1253.21,1225.30,1239.38,1975054,EQ,15800432,25,39501
2024-09-04,1236.59,1244.62,1231.03,1241.34,1005886,EQ,8047088,25,20117
2024-09-05,1241.34,1241.46,1220.47,1226.72,2238592,EQ,17908736,25,44771
2024-09-06,1228.53,1233.75,1218.47,1225.89,1673400,EQ,13387200,25,33468
2024-09-09,1221.94,1234.11,1218.81,1232.52,1167196,EQ,9337568,25,23343
2024-09-10,1238.52,1247.78,1231.17,1241.70,3044078,EQ,24352624,25,60881
2024-09-11,1247.34,1254.49,1233.84,1237.47,1959876,EQ,15679008,25,39197
2024-09-12,1238.96,1243.91,1218.44,1237.96,3109758,EQ,24878064,25,62195
2024-09-13,1239.01,1254.19,1238.15,1239.70,1465434,EQ,11723472,25,29308
2024-09-16,1239.01,1251.55,1224.32,1248.61,788794,EQ,6310352,25,15775
2024-09-17,1249.37,1266.09,1243.27,1247.26,1390374,EQ,11122992,25,27807
2024-09-18,1248.78,1273.83,1246.85,1271.90,2354058,EQ,18832464,25,47081
2024-09-19,1274.76,1311.00,1271.90,1290.04,5068578,EQ,40548624,25,101371
2024-09-20,1294.84,1324.35,1288.55,1322.04,4645516,EQ,37164128,25,92910
2024-09-23,1324.79,1336.88,1317.37,1334.58,2144494,EQ,17155952,25,42889
2024-09-24,1334.51,1354.98,1309.53,1320.50,3080066,EQ,24640528,25,61601
2024-09-25,1315.04,1324.52,1302.21,1320.97,1437914,EQ,11503312,25,28758
2024-09-26,1326.16,1352.85,1326.16,1349.44,2317212,EQ,18537696,25,46344
2024-09-27,1346.75,1360.46,1337.45,1344.64,2194334,EQ,17554672,25,43886
2024-09-30,1332.06,1341.85,1314.82,1317.34,1766384,EQ,14131072,25,35327
2024-10-01,1317.37,1327.16,1308.99,1325.72,1105518,EQ,8844144,25,22110
2024-10-03,1314.92,1319.82,1297.95,1309.95,1624730,EQ,12997840,25,32494
2024-10-04,1304.14,1311.66,1268.54,1272.39,2066068,EQ,16528544,25,41321
2024-10-07,1275.72,1283.09,1257.08,1260.48,2205716,EQ,17645728,25,44114
2024-10-08,1258.89,1270.35,1249.59,1264.35,2404340,EQ,19234720,25,48086
2024-10-09,1263.01,1263.50,1209.11,1232.15,4733190,EQ,37865520,25,94663
2024-10-10,1238.52,1239.84,1227.26,1230.42,2060004,EQ,16480032,25,41200
2024-10-11,1234.11,1235.09,1222.41,1230.10,1256928,EQ,10055424,25,25138
2024-10-14,1233.97,1233.97,1220.96,1225.32,1340768,EQ,10726144,25,26815
2024-10-15,1225.32,1225.32,1210.61,1216.61,1590308,EQ,12722464,25,31806
2024-10-16,1219.42,1220.91,1190.75,1205.83,2473286,EQ,19786288,25,49465
2024-10-17,1212.05,1212.05,1158.21,1164.91,5255508,EQ,42044064,25,105110
2024-10-18,1165.55,1167.34,1139.15,1150.98,3278370,EQ,26226960,25,65567
2024-10-21,1155.76,1162.61,1142.53,1153.14,1497408,EQ,11979264,25,29948
2024-10-22,1153.06,1168.00,1145.99,1150.98,1934262,EQ,15474096,25,38685
2024-10-23,1150.88,1163.05,1136.22,1139.67,1414522,EQ,11316176,25,28290
2024-10-24,1145.47,1145.96,1085.24,1106.12,5910994,EQ,47287952,25,118219
2024-10-25,1111.19,1119.76,1105.31,1107.13,2683018,EQ,21464144,25,53660
2024-10-28,1112.15,1135.68,1104.85,1112.69,1751130,EQ,14009040,25,35022
2024-10-29,1116.58,1119.42,1107.15,1110.41,1859662,EQ,14877296,25,37193
2024-10-30,1115.97,1125.03,1106.88,1114.77,1787546,EQ,14300368,25,35750
2024-10-31,1120.01,1120.01,1106.78,1108.23,1319530,EQ,10556240,25,26390
2024-11-01,1122.90,1122.92,1110.87,1117.70,243228,EQ,1945824,25,4864
2024-11-04,1118.05,1120.01,1092.53,1100.03,1926320,EQ,15410560,25,38526
2024-11-05,1104.82,1110.65,1095.18,1107.98,1451860,EQ,11614880,25,29037
2024-11-06,1110.70,1116.43,1105.83,1114.42,1613946,EQ,12911568,25,32278
2024-11-07,1113.15,1118.95,1097.82,1108.18,1783914,EQ,14271312,25,35678
2024-11-08,1111.68,1125.39,1106.20,1124.24,1669990,EQ,13359920,25,33399
2024-11-11,1116.58,1123.85,1103.94,1116.11,1547190,EQ,12377520,25,30943
2024-11-12,1121.70,1121.70,1097.48,1104.92,2210678,EQ,17685424,25,44213
2024-11-13,1097.60,1102.84,1088.17,1094.66,1526776,EQ,12214208,25,30535
2024-11-14,1096.52,1099.41,1066.82,1068.98,2318476,EQ,18547808,25,46369
2024-11-18,1072.85,1086.68,1062.07,1083.86,1383330,EQ,11066640,25,27666
2024-11-19,1089.64,1098.78,1079.31,1084.33,1612040,EQ,12896320,25,32240
2024-11-21,1080.12,1101.89,1071.03,1082.89,1655768,EQ,13246144,25,33115
2024-11-22,1084.35,1103.28,1079.46,1100.56,1543916,EQ,12351328,25,30878
2024-11-25,1106.07,1118.37,1100.05,1105.29,4059604,EQ,32476832,25,81192
2024-11-26,1111.68,1120.47,1102.13,1109.35,634244,EQ,5073952,25,12684
2024-11-27,1114.91,1115.01,1102.11,1113.62,874722,EQ,6997776,25,17494
2024-11-28,1113.66,1121.23,1091.11,1095.15,2492756,EQ,19942048,25,49855
2024-11-29,1090.62,1108.25,1090.62,1094.37,2698320,EQ,21586560,25,53966
2024-12-02,1098.36,1105.31,1088.71,1102.79,936544,EQ,7492352,25,18730
2024-12-03,1107.76,1110.14,1101.89,1107.62,1532464,EQ,12259712,25,30649
2024-12-04,1107.27,1114.13,1097.70,1105.71,1937738,EQ,15501904,25,38754
2024-12-05,1105.71,1115.11,1087.68,1109.48,2375568,EQ,19004544,25,47511
