date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,257.47,261.90,255.71,258.29,1003907,EQ,8031256,25,20078
2024-09-02,259.22,264.63,252.59,258.44,2178431,EQ,17427448,25,43568
2024-09-03,259.95,263.32,255.52,261.03,1061181,EQ,8489448,25,21223
2024-09-04,256.54,259.42,254.54,255.56,738721,EQ,5909768,25,14774
2024-09-05,256.00,260.29,255.86,257.90,687608,EQ,5500864,25,13752
2024-09-06,258.01,260.86,241.79,245.33,1763133,EQ,14105064,25,35262
2024-09-09,250.64,258.21,246.27,252.66,4477489,EQ,35819912,25,89549
2024-09-10,253.00,253.00,242.29,243.27,1716743,EQ,13733944,25,34334
2024-09-11,245.04,245.23,232.21,233.69,1168751,EQ,9350008,25,23375
2024-09-12,237.76,243.66,236.09,240.47,1332959,EQ,10663672,25,26659
2024-09-13,241.70,244.01,239.63,240.37,526619,EQ,4212952,25,10532
2024-09-16,241.11,241.11,236.00,236.78,511070,EQ,4088560,25,10221
2024-09-17,237.76,238.65,234.47,236.04,428265,EQ,3426120,25,8565
2024-09-18,236.04,238.50,228.03,229.70,1079713,EQ,8637704,25,21594
2024-09-19,233.34,233.44,222.78,229.16,794266,EQ,6354128,25,15885
2024-09-20,230.93,231.92,225.28,229.02,1176685,EQ,9413480,25,23533
2024-09-23,230.05,237.81,229.80,232.56,1086506,EQ,8692048,25,21730
2024-09-24,232.95,233.73,229.07,230.10,572203,EQ,4577624,25,11444
2024-09-25,230.10,240.81,227.05,233.78,3003857,EQ,24030856,25,60077
2024-09-26,233.78,235.90,228.53,231.82,1565796,EQ,12526368,25,31315
2024-09-27,231.97,234.13,228.72,229.46,638859,EQ,5110872,25,12777
2024-09-30,228.87,229.46,225.38,226.51,549820,EQ,4398560,25,10996
2024-10-01,226.51,230.20,226.51,227.94,589380,EQ,4715040,25,11787
2024-10-03,225.67,227.45,221.25,221.94,457144,EQ,3657152,25,9142
2024-10-04,221.94,224.39,214.96,215.89,1080934,EQ,8647472,25,21618
2024-10-07,216.53,218.59,200.73,201.64,1959917,EQ,15679336,25,39198
2024-10-08,201.64,206.31,198.56,204.98,1480147,EQ,11841176,25,29602
2024-10-09,206.31,215.06,206.21,210.61,1399827,EQ,11198616,25,27996
2024-10-10,213.29,213.29,206.61,207.27,842918,EQ,6743344,25,16858
2024-10-11,207.27,209.60,205.71,206.10,639868,EQ,5118944,25,12797
2024-10-14,206.90,215.05,205.99,212.35,1594126,EQ,12753008,25,31882
2024-10-15,213.77,216.25,208.40,209.66,588876,EQ,4711008,25,11777
2024-10-16,208.62,214.47,206.90,208.23,1145600,EQ,9164800,25,22912
2024-10-17,210.03,211.31,204.44,205.00,594079,EQ,4752632,25,11881
2024-10-18,204.24,206.20,199.68,205.70,500129,EQ,4001032,25,10002
2024-10-21,207.68,211.90,202.97,203.92,818163,EQ,6545304,25,16363
2024-10-22,202.48,204.13,189.06,190.95,1042317,EQ,8338536,25,20846
2024-10-23,191.01,197.92,186.14,194.45,935046,EQ,7480368,25,18700
2024-10-24,194.45,199.14,192.50,194.76,587616,EQ,4700928,25,11752
2024-10-25,193.33,195.30,183.96,187.08,896127,EQ,7169016,25,17922
2024-10-28,187.10,192.65,185.61,190.46,1257980,EQ,10063840,25,25159
2024-10-29,190.63,194.12,186.75,193.15,713224,EQ,5705792,25,14264
2024-10-30,192.65,200.51,191.67,196.65,1052563,EQ,8420504,25,21051
2024-10-31,204.44,205.51,191.76,192.59,2627311,EQ,21018488,25,52546
2024-11-01,193.62,197.19,193.62,196.15,239086,EQ,1912688,25,4781
2024-11-04,196.09,196.09,185.78,186.45,1049346,EQ,8394768,25,20986
2024-11-05,187.19,187.24,184.30,186.51,948087,EQ,7584696,25,18961
2024-11-06,187.00,191.88,186.12,190.38,1860363,EQ,14882904,25,37207
2024-11-07,190.83,194.47,188.72,189.83,870260,EQ,6962080,25,17405
2024-11-08,190.44,190.66,181.21,182.12,1178369,EQ,9426952,25,23567
2024-11-11,182.08,186.16,179.30,181.66,900080,EQ,7200640,25,18001
2024-11-12,182.82,184.68,176.85,177.97,678846,EQ,5430768,25,13576
2024-11-13,176.63,178.16,170.74,171.26,753985,EQ,6031880,25,15079
2024-11-14,171.26,176.42,171.03,173.04,778429,EQ,6227432,25,15568
2024-11-18,173.48,175.08,169.20,172.20,683656,EQ,5469248,25,13673
2024-11-19,173.73,177.87,172.50,173.44,625040,EQ,5000320,25,12500
2024-11-21,173.44,173.97,165.91,167.64,842244,EQ,6737952,25,16844
2024-11-22,169.42,172.79,167.05,171.95,645196,EQ,5161568,25,12903
2024-11-25,178.89,179.38,175.94,177.32,703683,EQ,5629464,25,14073
2024-11-26,183.79,189.30,181.40,186.00,4702444,EQ,37619552,25,94048
2024-11-27,186.46,188.72,184.91,187.73,764142,EQ,6113136,25,15282
2024-11-28,187.73,194.32,187.73,190.35,1245853,EQ,9966824,25,24917
2024-11-29,190.68,197.47,190.05,191.09,1668885,EQ,13351080,25,33377
2024-12-02,191.09,193.44,188.83,192.07,685148,EQ,5481184,25,13702
2024-12-03,193.19,195.99,193.04,194.11,767249,EQ,6137992,25,15344
2024-12-04,195.01,203.85,194.12,200.75,2323235,EQ,18585880,25,46464
2024-12-05,201.45,202.67,197.66,201.19,870693,EQ,6965544,25,17413
2024-12-06,201.79,206.00,200.51,202.44,828504,EQ,6628032,25,16570
2024-12-09,202.48,206.70,201.74,204.71,683869,EQ,5470952,25,13677
2024-12-10,203.56,206.31,200.76,202.86,1001275,EQ,8010200,25,20025
2024-12-11,201.69,209.06,201.00,206.44,2072535,EQ,16580280,25,41450
2024-12-12,208.13,208.13,201.59,202.78,760027,EQ,6080216,25,15200
2024-12-13,201.50,203.36,195.54,198.63,728605,EQ,5828840,25,14572
2024-12-16,199.53,211.13,199.53,209.79,3370954,EQ,26967632,25,67419
