date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,396.53,402.78,395.38,399.90,22633988,EQ,181071904,25,452679
2024-09-02,401.43,402.68,391.73,393.94,11107165,EQ,88857320,25,222143
2024-09-03,394.42,395.43,389.71,390.48,7538160,EQ,60305280,25,150763
2024-09-04,384.33,392.26,384.24,389.23,11052003,EQ,88416024,25,221040
2024-09-05,389.47,392.40,386.11,387.45,14246871,EQ,113974968,25,284937
2024-09-06,387.45,388.80,377.32,379.34,17956121,EQ,143648968,25,359122
2024-09-09,375.88,377.37,370.21,374.58,12293356,EQ,98346848,25,245867
2024-09-10,374.82,383.76,374.48,380.78,15852309,EQ,126818472,25,317046
2024-09-11,383.37,383.66,372.32,374.39,11492592,EQ,91940736,25,229851
2024-09-12,375.68,390.34,375.35,388.99,24028069,EQ,192224552,25,480561
2024-09-13,388.99,391.35,383.71,385.68,12017217,EQ,96137736,25,240344
2024-09-16,386.69,395.86,386.25,395.00,11479712,EQ,91837696,25,229594
2024-09-17,395.72,401.29,394.04,399.99,14432501,EQ,115460008,25,288650
2024-09-18,402.11,403.31,396.82,397.93,10303840,EQ,82430720,25,206076
2024-09-19,407.39,414.93,404.08,407.34,59601773,EQ,476814184,25,1192035
2024-09-20,411.28,413.01,400.23,407.34,36084164,EQ,288673312,25,721683
2024-09-23,410.75,413.64,408.35,411.57,14139629,EQ,113117032,25,282792
2024-09-24,414.55,414.55,410.27,411.33,12539885,EQ,100319080,25,250797
2024-09-25,411.33,419.88,408.98,419.02,19443168,EQ,155545344,25,388863
2024-09-26,420.80,420.80,413.69,417.58,20041825,EQ,160334600,25,400836
2024-09-27,418.92,425.17,416.52,419.79,53885913,EQ,431087304,25,1077718
2024-09-30,419.79,430.88,416.62,425.84,20903229,EQ,167225832,25,418064
2024-10-01,428.53,430.21,421.61,422.86,15984996,EQ,127879968,25,319699
2024-10-03,415.08,425.17,415.08,418.30,13563784,EQ,108510272,25,271275
2024-10-04,415.94,422.14,409.60,413.59,18347292,EQ,146778336,25,366945
2024-10-07,413.73,416.04,393.03,399.18,23431004,EQ,187448032,25,468620
