date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,210.06,211.48,206.32,207.70,9288281,EQ,74306248,25,185765
2024-09-02,207.98,211.50,206.66,209.43,9096993,EQ,72775944,25,181939
2024-09-03,209.00,210.45,204.24,209.19,9532160,EQ,76257280,25,190643
2024-09-04,205.00,210.60,204.31,209.49,7768389,EQ,62147112,25,155367
2024-09-05,210.00,216.78,209.75,215.40,16531497,EQ,132251976,25,330629
2024-09-06,216.99,220.80,210.08,216.49,15642505,EQ,125140040,25,312850
2024-09-09,217.15,219.45,213.56,217.85,10512476,EQ,84099808,25,210249
2024-09-10,218.00,219.95,214.50,215.56,6633970,EQ,53071760,25,132679
2024-09-11,215.80,216.51,210.61,211.93,4312118,EQ,34496944,25,86242
2024-09-12,211.40,212.19,206.80,207.69,5800568,EQ,46404544,25,116011
2024-09-13,208.00,212.77,205.13,206.14,8523233,EQ,68185864,25,170464
2024-09-16,206.50,209.34,201.76,205.13,8229502,EQ,65836016,25,164590
2024-09-17,205.00,205.13,198.30,199.26,11220083,EQ,89760664,25,224401
2024-09-18,200.00,206.98,198.90,199.67,8876341,EQ,71010728,25,177526
2024-09-19,200.90,204.25,194.34,201.10,9343996,EQ,74751968,25,186879
2024-09-20,201.88,207.28,197.36,199.33,10595454,EQ,84763632,25,211909
2024-09-23,201.00,202.83,199.00,202.01,6114084,EQ,48912672,25,122281
2024-09-24,202.01,202.47,195.40,196.61,7982411,EQ,63859288,25,159648
2024-09-25,198.00,199.33,195.22,198.21,5215375,EQ,41723000,25,104307
2024-09-26,199.35,203.00,197.80,201.11,5011556,EQ,40092448,25,100231
2024-09-27,201.10,205.39,199.21,200.02,8422395,EQ,67379160,25,168447
2024-09-30,199.79,199.79,195.03,195.61,4815116,EQ,38520928,25,96302
2024-10-01,196.00,197.90,195.46,197.34,3439875,EQ,27519000,25,68797
2024-10-03,195.60,196.50,193.05,194.96,3214801,EQ,25718408,25,64296
2024-10-04,194.70,195.18,190.10,192.27,5376933,EQ,43015464,25,107538
2024-10-07,193.00,195.07,188.61,194.05,7519884,EQ,60159072,25,150397
2024-10-08,196.00,196.79,188.60,193.59,11274451,EQ,90195608,25,225489
2024-10-09,193.59,200.15,191.93,198.50,11688603,EQ,93508824,25,233772
2024-10-10,197.00,198.80,191.63,192.93,9764467,EQ,78115736,25,195289
2024-10-11,193.00,194.37,190.61,192.01,3407133,EQ,27257064,25,68142
2024-10-14,193.00,194.12,191.73,192.41,3057602,EQ,24460816,25,61152
2024-10-15,193.00,195.77,185.74,188.68,8370209,EQ,66961672,25,167404
2024-10-16,188.51,189.64,184.15,185.78,4059539,EQ,32476312,25,81190
2024-10-17,186.00,187.50,180.50,186.23,9336373,EQ,74690984,25,186727
2024-10-18,186.00,186.00,181.91,184.79,4569090,EQ,36552720,25,91381
2024-10-21,185.00,186.00,179.45,181.99,5869365,EQ,46954920,25,117387
2024-10-22,181.30,181.30,177.11,178.96,8048838,EQ,64390704,25,160976
2024-10-23,177.00,184.09,176.53,179.35,5318009,EQ,42544072,25,106360
2024-10-24,177.50,179.54,176.51,177.94,6263776,EQ,50110208,25,125275
2024-10-25,177.94,179.39,172.25,177.09,4789874,EQ,38318992,25,95797
2024-10-28,177.09,181.07,173.05,178.14,7221317,EQ,57770536,25,144426
2024-10-29,178.10,180.72,174.44,179.25,5740778,EQ,45926224,25,114815
2024-10-30,178.61,182.79,177.80,181.95,3344413,EQ,26755304,25,66888
2024-10-31,180.00,182.45,178.70,181.67,1834734,EQ,14677872,25,36694
2024-11-01,182.00,184.86,182.00,184.18,358858,EQ,2870864,25,7177
2024-11-04,185.49,185.99,179.55,182.42,2201565,EQ,17612520,25,44031
2024-11-05,181.46,184.19,181.04,183.39,2396491,EQ,19171928,25,47929
2024-11-06,182.12,183.83,180.61,181.49,5391375,EQ,43131000,25,107827
