date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,698.42,729.69,685.12,704.13,79429798,EQ,635438384,25,1588595
2024-09-02,689.25,698.14,681.56,690.11,5735191,EQ,45881528,25,114703
2024-09-03,684.17,697.47,675.67,693.53,5884801,EQ,47078408,25,117696
2024-09-04,687.88,691.11,643.88,648.30,7645313,EQ,61162504,25,152906
2024-09-05,654.67,660.75,619.32,622.31,8018321,EQ,64146568,25,160366
2024-09-06,627.01,632.81,594.37,595.75,7382176,EQ,59057408,25,147643
2024-09-09,594.94,608.15,576.37,602.50,8052402,EQ,64419216,25,161048
2024-09-10,609.96,612.90,575.84,578.60,5509452,EQ,44075616,25,110189
2024-09-11,577.55,577.74,541.64,552.75,12283035,EQ,98264280,25,245660
2024-09-12,554.94,558.64,537.17,550.14,9441722,EQ,75533776,25,188834
2024-09-13,549.24,558.74,545.44,556.46,5434486,EQ,43475888,25,108689
2024-09-16,555.89,579.60,548.95,577.36,6438482,EQ,51507856,25,128769
2024-09-17,581.59,596.65,567.81,584.82,9251355,EQ,74010840,25,185027
2024-09-18,594.85,595.80,561.45,565.39,7376182,EQ,59009456,25,147523
2024-09-19,565.39,572.52,526.29,543.01,9094949,EQ,72759592,25,181898
2024-09-20,551.14,553.51,532.13,534.79,9500390,EQ,76003120,25,190007
2024-09-23,536.88,557.31,529.42,553.09,5005764,EQ,40046112,25,100115
2024-09-24,557.79,565.30,552.09,563.11,3796775,EQ,30374200,25,75935
2024-09-25,565.34,574.89,548.29,549.90,4262021,EQ,34096168,25,85240
2024-09-26,550.90,550.90,527.19,536.12,5512784,EQ,44102272,25,110255
2024-09-27,535.93,565.39,530.23,557.55,5855512,EQ,46844096,25,117110
2024-09-30,557.74,560.64,544.77,551.76,3318663,EQ,26549304,25,66373
2024-10-01,544.01,554.84,539.64,540.45,1959496,EQ,15675968,25,39189
2024-10-03,545.82,548.29,508.28,511.99,7687449,EQ,61499592,25,153748
2024-10-04,517.07,549.24,516.83,544.25,11396936,EQ,91175488,25,227938
2024-10-07,541.64,546.39,515.31,520.11,4426253,EQ,35410024,25,88525
2024-10-08,522.11,539.50,513.98,537.45,3810847,EQ,30486776,25,76216
2024-10-09,534.98,548.29,530.28,545.77,3379666,EQ,27037328,25,67593
2024-10-10,551.14,564.44,541.83,544.01,3260024,EQ,26080192,25,65200
2024-10-11,546.39,559.69,542.68,555.46,1855197,EQ,14841576,25,37103
2024-10-14,558.74,561.54,544.68,557.12,1986479,EQ,15891832,25,39729
2024-10-15,555.65,555.65,524.63,531.61,4514251,EQ,36114008,25,90285
2024-10-16,531.56,532.70,492.22,500.97,12606593,EQ,100852744,25,252131
2024-10-17,502.39,506.95,493.51,498.97,4053280,EQ,32426240,25,81065
2024-10-18,498.97,519.73,496.74,506.86,4624545,EQ,36996360,25,92490
2024-10-21,506.86,506.86,495.41,503.53,2331311,EQ,18650488,25,46626
2024-10-22,503.63,508.04,487.00,490.89,2206145,EQ,17649160,25,44122
2024-10-23,490.89,497.50,468.51,479.82,3453696,EQ,27629568,25,69073
2024-10-24,481.77,492.75,478.44,484.86,2688448,EQ,21507584,25,53768
2024-10-25,488.23,490.32,457.97,461.20,3417307,EQ,27338456,25,68346
2024-10-28,455.73,467.47,444.90,452.36,3722104,EQ,29776832,25,74442
2024-10-29,454.21,464.48,449.13,455.59,2136430,EQ,17091440,25,42728
2024-10-30,458.68,463.67,445.28,447.75,1866841,EQ,14934728,25,37336
2024-10-31,450.41,454.12,439.53,448.27,2491383,EQ,19931064,25,49827
2024-11-01,448.23,454.45,445.66,449.46,418453,EQ,3347624,25,8369
2024-11-04,450.08,452.88,436.21,448.80,2993901,EQ,23951208,25,59878
2024-11-05,446.61,473.69,443.90,470.94,3876641,EQ,31013128,25,77532
2024-11-06,477.97,504.77,470.65,498.97,5991131,EQ,47929048,25,119822
2024-11-07,502.25,509.18,487.61,498.45,3523566,EQ,28188528,25,70471
2024-11-08,498.45,498.45,476.83,483.24,2521219,EQ,20169752,25,50424
2024-11-11,479.87,485.43,468.37,481.30,1196906,EQ,9575248,25,23938
2024-11-12,481.30,486.38,468.18,471.94,1152726,EQ,9221808,25,23054
2024-11-13,469.80,476.45,451.36,456.92,2249137,EQ,17993096,25,44982
2024-11-14,455.15,461.46,444.01,454.63,2114574,EQ,16916592,25,42291
2024-11-18,454.63,460.75,443.68,451.76,999530,EQ,7996240,25,19990
2024-11-19,456.40,469.93,456.11,464.19,1270704,EQ,10165632,25,25414
2024-11-21,458.98,466.87,454.29,464.76,1209903,EQ,9679224,25,24198
2024-11-22,466.15,487.23,466.15,484.94,1956028,EQ,15648224,25,39120
2024-11-25,495.74,505.83,487.71,496.03,4179863,EQ,33438904,25,83597
2024-11-26,496.75,501.53,480.01,482.21,1448543,EQ,11588344,25,28970
2024-11-27,484.80,485.27,468.54,482.88,1705641,EQ,13645128,25,34112
2024-11-28,478.63,489.05,471.50,482.64,2538775,EQ,20310200,25,50775
2024-11-29,473.42,481.69,466.91,469.11,3714719,EQ,29717752,25,74294
