date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,300.01,303.59,299.19,300.28,19666466,EQ,157331728,25,393329
2024-09-02,299.60,301.37,295.78,296.15,8975511,EQ,71804088,25,179510
2024-09-03,296.87,297.78,292.02,292.52,10321111,EQ,82568888,25,206422
2024-09-04,285.98,287.07,279.99,285.43,25397204,EQ,203177632,25,507944
2024-09-05,287.75,287.75,281.58,282.71,15571640,EQ,124573120,25,311432
2024-09-06,282.80,284.30,275.72,280.35,27946491,EQ,223571928,25,558929
2024-09-09,280.26,280.26,267.50,271.36,30369085,EQ,242952680,25,607381
2024-09-10,272.45,273.72,267.82,268.37,15618589,EQ,124948712,25,312371
2024-09-11,265.46,265.46,257.15,259.02,44826300,EQ,358610400,25,896526
2024-09-12,261.47,267.60,260.11,266.96,21964895,EQ,175719160,25,439297
2024-09-13,268.46,269.86,264.24,264.60,13672371,EQ,109378968,25,273447
2024-09-16,267.64,268.19,264.51,265.55,10971110,EQ,87768880,25,219422
2024-09-17,266.64,269.27,265.23,267.50,11873436,EQ,94987488,25,237468
2024-09-18,270.18,270.36,261.38,263.65,13421760,EQ,107374080,25,268435
2024-09-19,260.92,262.56,256.47,258.97,17067311,EQ,136538488,25,341346
2024-09-20,260.56,262.42,258.92,259.88,16585530,EQ,132684240,25,331710
2024-09-23,261.83,269.09,261.06,268.23,14621229,EQ,116969832,25,292424
2024-09-24,269.00,274.18,267.55,271.86,16986759,EQ,135894072,25,339735
2024-09-25,271.86,273.45,269.37,271.18,10609614,EQ,84876912,25,212192
2024-09-26,269.68,271.18,264.64,268.00,27812412,EQ,222499296,25,556248
2024-09-27,265.73,270.95,263.01,269.82,35706130,EQ,285649040,25,714122
2024-09-30,269.64,274.00,266.69,270.18,16294341,EQ,130354728,25,325886
2024-10-01,269.64,271.59,263.92,265.05,10919818,EQ,87358544,25,218396
2024-10-03,267.82,270.55,263.78,265.14,28124665,EQ,224997320,25,562493
2024-10-04,269.64,272.09,266.19,268.05,23104209,EQ,184833672,25,462084
2024-10-07,268.73,269.00,255.57,262.78,20917962,EQ,167343696,25,418359
2024-10-08,261.60,266.82,254.70,266.41,10572360,EQ,84578880,25,211447
2024-10-09,264.42,265.01,260.42,261.92,13147475,EQ,105179800,25,262949
2024-10-10,262.10,265.23,261.06,262.15,7237212,EQ,57897696,25,144744
2024-10-11,264.46,266.60,262.83,265.60,7011704,EQ,56093632,25,140234
2024-10-14,265.73,265.92,258.88,260.11,12690951,EQ,101527608,25,253819
2024-10-15,260.01,260.01,254.98,257.56,15087155,EQ,120697240,25,301743
2024-10-16,256.93,260.79,254.79,259.11,18188885,EQ,145511080,25,363777
2024-10-17,258.74,261.10,255.07,255.66,13343303,EQ,106746424,25,266866
2024-10-18,256.02,258.29,253.48,257.20,14028398,EQ,112227184,25,280567
2024-10-21,255.25,257.84,249.26,251.12,10299773,EQ,82398184,25,205995
2024-10-22,252.39,252.52,245.13,245.85,10028511,EQ,80228088,25,200570
2024-10-23,245.13,249.12,240.63,245.90,18823321,EQ,150586568,25,376466
2024-10-24,246.85,247.35,243.63,244.31,7488521,EQ,59908168,25,149770
2024-10-25,245.13,245.40,237.50,239.72,12961181,EQ,103689448,25,259223
2024-10-28,236.64,240.63,231.78,239.09,13835091,EQ,110680728,25,276701
2024-10-29,239.09,241.09,235.50,240.59,9122757,EQ,72982056,25,182455
2024-10-30,240.59,241.68,237.00,237.54,11166643,EQ,89333144,25,223332
2024-10-31,239.13,243.58,237.09,241.63,16173656,EQ,129389248,25,323473
2024-11-01,244.94,248.76,243.90,246.71,2955757,EQ,23646056,25,59115
2024-11-04,248.76,249.07,236.18,240.86,14355959,EQ,114847672,25,287119
2024-11-05,240.77,243.85,239.31,242.76,11676017,EQ,93408136,25,233520
2024-11-06,243.04,245.67,240.04,244.26,19244545,EQ,153956360,25,384890
2024-11-07,245.58,245.58,240.40,240.77,6766663,EQ,54133304,25,135333
2024-11-08,241.45,241.95,235.73,238.36,7836093,EQ,62688744,25,156721
2024-11-11,238.18,238.18,232.42,233.23,8450657,EQ,67605256,25,169013
2024-11-12,236.82,238.95,231.87,232.55,22445400,EQ,179563200,25,448908
2024-11-13,232.55,233.28,226.06,229.28,17483332,EQ,139866656,25,349666
2024-11-14,229.28,230.87,226.06,227.69,12454540,EQ,99636320,25,249090
2024-11-18,227.97,228.87,224.34,227.56,14636541,EQ,117092328,25,292730
2024-11-19,232.53,237.56,229.84,230.67,17397559,EQ,139180472,25,347951
2024-11-21,230.67,230.67,223.98,225.23,16189440,EQ,129515520,25,323788
2024-11-22,227.70,229.70,226.49,228.44,9637581,EQ,77100648,25,192751
2024-11-25,231.14,242.30,230.63,239.88,31973671,EQ,255789368,25,639473
2024-11-26,239.00,240.21,234.91,236.49,9242451,EQ,73939608,25,184849
2024-11-27,237.18,237.65,233.05,236.53,11689970,EQ,93519760,25,233799
2024-11-28,237.18,239.42,233.65,234.58,14202863,EQ,113622904,25,284057
2024-11-29,236.07,240.58,234.63,238.77,11476347,EQ,91810776,25,229526
2024-12-02,237.65,240.25,235.05,239.56,13677959,EQ,109423672,25,273559
2024-12-03,242.21,246.21,240.77,244.02,15345326,EQ,122762608,25,306906
2024-12-04,245.42,245.84,241.84,242.49,10713838,EQ,85710704,25,214276
2024-12-05,242.49,244.86,238.95,243.04,12896743,EQ,103173944,25,257934
2024-12-06,242.58,244.63,241.42,241.88,8783386,EQ,70267088,25,175667
2024-12-09,241.88,243.09,239.70,240.81,6800856,EQ,54406848,25,136017
2024-12-10,239.65,240.67,236.72,238.95,11318782,EQ,90550256,25,226375
2024-12-11,239.51,240.63,237.79,238.67,5353032,EQ,42824256,25,107060
2024-12-12,239.98,240.53,235.88,236.30,7123877,EQ,56991016,25,142477
2024-12-13,235.32,238.86,232.07,236.49,11143128,EQ,89145024,25,222862
2024-12-16,236.25,238.39,233.65,234.21,7283872,EQ,58270976,25,145677
2024-12-17,234.16,234.81,229.28,230.12,10066884,EQ,80535072,25,201337
2024-12-18,230.12,230.21,226.40,227.09,8430930,EQ,67447440,25,168618
2024-12-19,223.23,226.91,221.88,224.95,9518542,EQ,76148336,25,190370
2024-12-20,224.63,227.09,218.86,220.54,15556528,EQ,124452224,25,311130
2024-12-23,221.61,225.37,220.30,224.02,7722901,EQ,61783208,25,154458
2024-12-24,224.16,226.26,221.93,222.26,3577400,EQ,28619200,25,71548
2024-12-26,223.23,225.09,222.30,223.47,6330006,EQ,50640048,25,126600
2024-12-27,223.23,224.16,219.79,220.35,6487888,EQ,51903104,25,129757
2024-12-30,219.56,220.44,215.00,216.40,19401112,EQ,155208896,25,388022
2024-12-31,216.40,223.14,216.12,222.54,12004845,EQ,96038760,25,240096
2025-01-01,221.20,222.53,219.84,220.40,9418453,EQ,75347624,25,188369
2025-01-02,220.49,229.54,220.44,228.88,19745810,EQ,157966480,25,394916
2025-01-03,231.09,244.39,230.66,240.80,49760410,EQ,398083280,25,995208
2025-01-06,241.01,241.37,233.88,236.59,19265884,EQ,154127072,25,385317
2025-01-07,241.04,248.72,240.02,245.08,52956766,EQ,423654128,25,1059135
2025-01-08,247.83,254.39,247.18,252.37,42237794,EQ,337902352,25,844755
2025-01-09,253.03,253.55,243.43,244.79,14706472,EQ,117651776,25,294129
2025-01-10,245.56,247.88,240.41,244.64,13053552,EQ,104428416,25,261071
2025-01-13,247.44,249.83,236.82,237.86,20416370,EQ,163330960,25,408327
2025-01-14,239.53,243.70,238.88,242.18,8470150,EQ,67761200,25,169403
2025-01-15,242.67,245.99,239.69,240.14,9344731,EQ,74757848,25,186894
2025-01-16,241.84,247.07,241.84,244.79,14195450,EQ,113563600,25,283909
2025-01-17,243.70,248.35,243.04,247.95,12148143,EQ,97185144,25,242962
2025-01-20,249.37,251.57,246.50,250.54,9676264,EQ,77410112,25,193525
2025-01-21,249.32,250.53,246.31,247.23,8989218,EQ,71913744,25,179784
2025-01-22,247.42,247.78,243.43,245.60,7919682,EQ,63357456,25,158393
2025-01-23,244.63,245.40,242.92,244.67,5026675,EQ,40213400,25,100533
2025-01-24,244.62,247.08,237.88,238.59,6306281,EQ,50450248,25,126125
2025-01-27,237.18,238.52,232.08,233.26,6944911,EQ,55559288,25,138898
2025-01-28,232.53,234.77,229.47,231.31,8029472,EQ,64235776,25,160589
2025-01-29,231.51,234.39,229.74,233.84,5651586,EQ,45212688,25,113031
2025-01-30,234.39,241.28,233.41,238.78,12588155,EQ,100705240,25,251763
2025-01-31,239.05,245.08,237.38,244.26,8850307,EQ,70802456,25,177006
2025-02-01,241.42,244.16,236.02,239.56,10921673,EQ,87373384,25,218433
2025-02-03,237.74,238.44,227.74,231.60,25719512,EQ,205756096,25,514390
2025-02-04,234.77,239.51,234.39,236.35,8402532,EQ,67220256,25,168050
2025-02-05,240.91,244.63,239.74,243.37,11590755,EQ,92726040,25,231815
2025-02-06,244.30,244.58,236.53,238.25,12327998,EQ,98623984,25,246559
2025-02-07,239.96,240.82,234.79,236.12,10098454,EQ,80787632,25,201969
2025-02-10,236.17,236.78,229.38,230.00,7582536,EQ,60660288,25,151650
2025-02-11,230.00,230.00,224.64,226.68,6711630,EQ,53693040,25,134232
2025-02-12,226.73,228.86,222.13,225.21,5985956,EQ,47887648,25,119719
2025-02-13,226.25,227.16,222.17,222.89,10079210,EQ,80633680,25,201584
2025-02-14,222.93,225.73,215.11,218.66,8065352,EQ,64522816,25,161307
2025-02-17,218.38,222.27,213.49,221.65,6692422,EQ,53539376,25,133848
2025-02-18,220.28,224.97,217.76,224.45,6170974,EQ,49367792,25,123419
2025-02-19,223.88,226.54,222.46,226.06,6168581,EQ,49348648,25,123371
2025-02-20,224.64,230.19,224.36,229.48,8929816,EQ,71438528,25,178596
2025-02-21,229.48,230.57,225.87,227.58,5697387,EQ,45579096,25,113947
2025-02-24,224.17,225.73,221.99,222.32,6883143,EQ,55065144,25,137662
2025-02-25,222.93,224.55,220.61,221.04,5519036,EQ,44152288,25,110380
2025-02-27,221.51,221.84,216.77,219.14,9664032,EQ,77312256,25,193280
2025-02-28,218.19,218.66,211.69,213.68,17237276,EQ,137898208,25,344745
2025-03-03,213.21,214.40,207.15,213.57,11928529,EQ,95428232,25,238570
2025-03-04,208.80,216.06,204.42,215.12,12428265,EQ,99426120,25,248565
2025-03-05,215.46,219.38,215.12,217.18,7466729,EQ,59733832,25,149334
2025-03-06,219.60,221.58,215.07,220.66,10439208,EQ,83513664,25,208784
2025-03-07,220.66,224.33,219.30,220.93,9079049,EQ,72632392,25,181580
2025-03-10,220.93,222.93,211.06,211.73,16489167,EQ,131913336,25,329783
