date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,40259.94,41504.51,40255.10,41145.89,29592,EQ,236736,25,591
2024-09-02,41145.89,41237.82,40358.64,40491.80,15302,EQ,122416,25,306
2024-09-03,40461.75,40791.19,40355.26,40605.59,7055,EQ,56440,25,141
2024-09-04,40274.46,40611.07,39752.02,39931.77,12986,EQ,103888,25,259
2024-09-05,39916.43,40262.08,39626.08,39725.02,17009,EQ,136072,25,340
2024-09-06,39935.76,39935.76,38960.94,39055.57,17008,EQ,136064,25,340
2024-09-09,39239.05,39239.05,38745.54,39012.71,11177,EQ,89416,25,223
2024-09-10,39093.90,39514.73,39012.71,39073.48,8622,EQ,68976,25,172
2024-09-11,39093.90,41176.28,38997.13,40471.09,54335,EQ,434680,25,1086
2024-09-12,40464.13,42175.02,40430.26,41862.12,56171,EQ,449368,25,1123
2024-09-13,41803.38,42330.03,41609.84,41961.64,25427,EQ,203416,25,508
2024-09-16,42325.92,42522.84,41415.34,41663.65,21161,EQ,169288,25,423
2024-09-17,41677.58,42138.73,41563.69,41978.53,12632,EQ,101056,25,252
2024-09-18,42093.68,42674.28,41226.55,41660.16,29499,EQ,235992,25,589
2024-09-19,41716.48,42469.09,41085.07,41624.55,16911,EQ,135288,25,338
2024-09-20,41899.18,42093.68,41417.33,41661.13,58654,EQ,469232,25,1173
2024-09-23,41701.39,42033.06,41416.36,41626.92,47600,EQ,380800,25,952
2024-09-24,41938.65,41938.65,40453.52,40602.15,36371,EQ,290968,25,727
2024-09-25,40642.17,40738.89,39887.39,40564.81,15582,EQ,124656,25,311
2024-09-26,40564.80,40855.15,40042.21,40674.29,15182,EQ,121456,25,303
2024-09-27,40593.79,41237.29,40504.04,40675.12,30027,EQ,240216,25,600
2024-09-30,40666.37,41572.69,40378.77,41517.14,22288,EQ,178304,25,445
2024-10-01,41193.84,41555.65,40863.34,41333.33,16016,EQ,128128,25,320
2024-10-03,41110.77,41209.23,40107.06,40316.61,22241,EQ,177928,25,444
2024-10-04,40448.64,40915.83,39787.19,40051.46,22836,EQ,182688,25,456
2024-10-07,40648.41,40648.41,39485.81,40079.91,27657,EQ,221256,25,553
2024-10-08,39955.12,40996.34,39781.91,40900.64,19405,EQ,155240,25,388
2024-10-09,40903.39,42750.73,40903.39,42515.00,49967,EQ,399736,25,999
2024-10-10,42515.00,42819.34,42371.30,42737.23,20708,EQ,165664,25,414
2024-10-11,43160.05,44609.62,43160.05,43903.37,57301,EQ,458408,25,1146
2024-10-14,43351.65,44514.79,43351.65,44172.72,35069,EQ,280552,25,701
2024-10-15,44178.96,44993.69,44087.08,44762.23,51464,EQ,411712,25,1029
2024-10-16,44803.16,45297.05,44522.53,45086.83,33728,EQ,269824,25,674
2024-10-17,44948.31,45237.94,43856.34,43993.95,16313,EQ,130504,25,326
2024-10-18,43995.15,44399.06,43561.44,44097.39,9883,EQ,79064,25,197
2024-10-21,43981.60,44416.08,42876.62,43076.49,19251,EQ,154008,25,385
2024-10-22,43159.09,43476.87,42495.80,42636.69,18560,EQ,148480,25,371
2024-10-23,42383.98,42816.34,41470.55,41750.40,14438,EQ,115504,25,288
2024-10-24,41658.23,42892.01,41459.85,42037.17,9914,EQ,79312,25,198
2024-10-25,42229.15,42801.91,41260.51,41647.20,17424,EQ,139392,25,348
2024-10-28,41416.31,42078.10,40932.47,41119.72,10711,EQ,85688,25,214
2024-10-29,41493.72,42424.48,41203.52,41950.95,19209,EQ,153672,25,384
2024-10-30,41900.15,42354.95,41470.60,41857.96,10872,EQ,86976,25,217
2024-10-31,41875.96,42093.68,41337.06,41768.35,18604,EQ,148832,25,372
2024-11-01,41924.34,42093.63,41768.35,41996.62,934,EQ,7472,25,18
2024-11-04,42093.69,42209.81,41243.15,41645.70,15803,EQ,126424,25,316
2024-11-05,41373.73,42093.63,41290.61,41972.91,13556,EQ,108448,25,271
2024-11-06,41995.95,42863.95,41926.95,42725.91,12241,EQ,97928,25,244
2024-11-07,42964.58,44019.34,42369.36,43607.21,55886,EQ,447088,25,1117
2024-11-08,43400.04,46770.43,43351.85,46451.00,175762,EQ,1406096,25,3515
2024-11-11,46254.66,46829.17,45713.40,45814.66,26937,EQ,215496,25,538
2024-11-12,46035.05,46448.20,45501.23,45584.26,30704,EQ,245632,25,614
2024-11-13,45615.57,45804.26,44137.45,44374.29,41753,EQ,334024,25,835
2024-11-14,44737.35,44910.59,43991.52,44150.94,23936,EQ,191488,25,478
2024-11-18,44221.73,44412.58,42781.29,42906.32,15803,EQ,126424,25,316
2024-11-19,43102.80,44056.32,43102.80,43401.36,34629,EQ,277032,25,692
2024-11-21,43491.98,43988.39,42919.04,43246.50,24893,EQ,199144,25,497
2024-11-22,43297.10,43939.17,43201.12,43555.67,97797,EQ,782376,25,1955
2024-11-25,43882.16,44941.24,43882.16,44258.80,59101,EQ,472808,25,1182
2024-11-26,44367.67,44685.15,44099.51,44258.06,23772,EQ,190176,25,475
2024-11-27,44533.07,44533.07,43614.92,43756.05,22236,EQ,177888,25,444
2024-11-28,43793.62,44225.08,43443.64,43604.81,24610,EQ,196880,25,492
2024-11-29,43442.37,44075.77,43281.78,43438.38,42304,EQ,338432,25,846
2024-12-02,43540.64,45176.45,43394.74,44625.46,65013,EQ,520104,25,1300
2024-12-03,44854.16,45235.86,43847.37,44896.24,73602,EQ,588816,25,1472
2024-12-04,45051.18,45184.97,44333.61,44692.01,49127,EQ,393016,25,982
2024-12-05,44691.97,45535.19,44525.64,44704.37,63726,EQ,509808,25,1274
2024-12-06,44854.16,45340.60,44674.16,44860.73,26817,EQ,214536,25,536
2024-12-09,44990.37,45229.68,44659.46,44874.59,35904,EQ,287232,25,718
2024-12-10,45124.16,45741.27,44674.16,45539.38,54641,EQ,437128,25,1092
2024-12-11,45583.89,46002.22,45391.92,45788.12,29440,EQ,235520,25,588
2024-12-12,45650.25,46290.86,45583.89,46142.72,47214,EQ,377712,25,944
2024-12-13,46167.67,47492.67,46034.67,47425.00,42994,EQ,343952,25,859
2024-12-16,47427.68,48064.98,47262.32,47906.28,41627,EQ,333016,25,832
2024-12-17,47745.45,48502.76,47745.45,47882.88,53695,EQ,429560,25,1073
2024-12-18,47822.31,48047.31,47237.65,47778.87,39776,EQ,318208,25,795
2024-12-19,47675.78,48127.24,47409.24,47844.16,36876,EQ,295008,25,737
2024-12-20,47870.38,48259.57,47306.05,47536.02,32345,EQ,258760,25,646
2024-12-23,47535.24,47821.73,47057.95,47296.62,14370,EQ,114960,25,287
2024-12-24,47569.63,47738.93,47335.25,47540.59,7524,EQ,60192,25,150
2024-12-26,47540.59,47651.41,45583.89,45810.93,21533,EQ,172264,25,430
2024-12-27,46080.01,46161.74,45233.71,45665.18,23819,EQ,190552,25,476
2024-12-30,45943.89,46410.87,45236.68,45734.99,48343,EQ,386744,25,966
2024-12-31,45486.88,46563.33,45486.59,46230.33,37902,EQ,303216,25,758
2025-01-01,46230.33,46605.51,45794.39,46496.83,9446,EQ,75568,25,188
2025-01-02,46496.83,46962.69,46162.56,46847.34,13143,EQ,105144,25,262
2025-01-03,47140.66,47281.69,46475.14,46645.61,18525,EQ,148200,25,370
2025-01-06,46645.65,46895.41,46300.00,46702.71,34830,EQ,278640,25,696
2025-01-07,46660.00,47923.60,46660.00,47494.47,43413,EQ,347304,25,868
2025-01-08,47351.79,47458.72,45837.89,46764.40,39288,EQ,314304,25,785
2025-01-09,46764.40,46764.40,45870.96,46259.81,10595,EQ,84760,25,211
2025-01-10,46216.27,46605.46,45267.67,45482.26,12810,EQ,102480,25,256
2025-01-13,45340.65,45466.50,44347.58,44670.85,27472,EQ,219776,25,549
2025-01-14,44756.86,45390.22,44723.83,45215.62,13713,EQ,109704,25,274
2025-01-15,45251.38,45960.78,44032.10,44793.06,25116,EQ,200928,25,502
2025-01-16,44816.21,45197.86,44111.97,44700.13,104583,EQ,836664,25,2091
2025-01-17,44708.21,45145.46,43851.51,44851.77,22562,EQ,180496,25,451
2025-01-20,44854.16,45412.55,44134.16,45087.53,15580,EQ,124640,25,311
2025-01-21,45087.53,45665.28,44626.83,44733.37,26933,EQ,215464,25,538
2025-01-22,45029.30,45410.07,44464.97,44828.23,42794,EQ,342352,25,855
2025-01-23,44917.99,45646.06,44556.53,45504.84,29451,EQ,235608,25,589
2025-01-24,45295.89,45875.35,45006.28,45141.43,13011,EQ,104088,25,260
2025-01-27,45068.21,45068.21,43136.85,43374.65,17917,EQ,143336,25,358
2025-01-28,43306.16,43715.78,43005.65,43475.99,20045,EQ,160360,25,400
2025-01-29,43394.69,44853.13,43378.15,43969.09,32215,EQ,257720,25,644
