date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,558.00,631.45,543.00,621.90,41866652,EQ,334933216,25,837333
2024-09-02,619.00,634.00,587.30,607.85,20043277,EQ,160346216,25,400865
2024-09-03,608.00,614.80,594.00,595.60,8664136,EQ,69313088,25,173282
2024-09-04,585.60,620.95,583.60,613.90,12441628,EQ,99533024,25,248832
2024-09-05,619.00,633.70,610.60,626.55,10080314,EQ,80642512,25,201606
2024-09-06,620.00,632.00,596.50,603.80,10538113,EQ,84304904,25,210762
2024-09-09,605.50,640.00,584.10,627.65,14987916,EQ,119903328,25,299758
2024-09-10,636.90,687.40,633.50,653.40,35594437,EQ,284755496,25,711888
2024-09-11,656.50,683.30,651.00,666.50,22353276,EQ,178826208,25,447065
2024-09-12,673.85,683.90,655.50,666.00,17250725,EQ,138005800,25,345014
2024-09-13,668.00,676.00,650.10,654.95,7126659,EQ,57013272,25,142533
2024-09-16,659.00,687.80,658.80,682.15,11074321,EQ,88594568,25,221486
2024-09-17,681.70,683.40,657.30,664.40,5778257,EQ,46226056,25,115565
2024-09-18,665.70,703.25,665.00,671.45,13742268,EQ,109938144,25,274845
2024-09-19,677.10,683.80,628.50,655.05,10044737,EQ,80357896,25,200894
2024-09-20,659.75,670.05,651.45,664.10,5300046,EQ,42400368,25,106000
2024-09-23,665.00,676.40,648.00,651.55,3839695,EQ,30717560,25,76793
2024-09-24,656.00,688.35,651.15,680.95,11991325,EQ,95930600,25,239826
2024-09-25,680.95,695.00,676.80,687.45,7621107,EQ,60968856,25,152422
2024-09-26,690.00,724.80,678.25,705.15,20458620,EQ,163668960,25,409172
2024-09-27,708.00,708.85,667.00,672.30,8458867,EQ,67670936,25,169177
2024-09-30,672.00,695.45,655.05,688.30,11543854,EQ,92350832,25,230877
2024-10-01,688.40,742.00,681.70,731.35,21039195,EQ,168313560,25,420783
2024-10-03,703.00,755.90,700.00,727.55,19233620,EQ,153868960,25,384672
2024-10-04,726.00,732.50,691.00,695.15,13080404,EQ,104643232,25,261608
2024-10-07,701.65,713.35,637.10,651.85,14215795,EQ,113726360,25,284315
2024-10-08,657.25,772.85,657.25,750.60,35378353,EQ,283026824,25,707567
