date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,508.33,513.09,501.27,503.51,10222982,EQ,81783856,25,204459
2024-09-02,506.31,507.64,494.86,501.32,5741792,EQ,45934336,25,114835
2024-09-03,501.18,514.74,494.90,512.04,9786096,EQ,78288768,25,195721
2024-09-04,502.55,509.79,500.26,508.78,6377748,EQ,51021984,25,127554
2024-09-05,510.34,518.95,508.83,511.49,8554799,EQ,68438392,25,171095
2024-09-06,508.51,512.04,496.19,499.62,9565966,EQ,76527728,25,191319
2024-09-09,495.68,498.84,470.21,479.74,20183113,EQ,161464904,25,403662
2024-09-10,484.23,484.23,465.95,467.97,14833993,EQ,118671944,25,296679
2024-09-11,468.19,472.32,457.47,459.40,7623569,EQ,60988552,25,152471
2024-09-12,463.11,466.77,452.62,463.89,12346929,EQ,98775432,25,246938
2024-09-13,467.92,468.47,455.37,457.66,7734239,EQ,61873912,25,154684
2024-09-16,460.86,461.05,447.40,449.92,7632924,EQ,61063392,25,152658
2024-09-17,448.95,449.37,436.90,442.04,14392518,EQ,115140144,25,287850
2024-09-18,448.04,458.57,445.61,450.83,15330542,EQ,122644336,25,306610
2024-09-19,454.22,459.03,423.94,440.43,15783626,EQ,126269008,25,315672
2024-09-20,443.18,447.40,436.81,441.53,13890094,EQ,111120752,25,277801
2024-09-23,444.37,453.08,441.99,450.05,6327029,EQ,50616232,25,126540
2024-09-24,448.95,452.21,445.33,448.91,8389458,EQ,67115664,25,167789
2024-09-25,449.87,450.19,440.16,442.95,9526068,EQ,76208544,25,190521
2024-09-26,444.37,444.37,435.35,440.20,8617212,EQ,68937696,25,172344
2024-09-27,438.69,454.41,438.51,452.48,11361968,EQ,90895744,25,227239
2024-09-30,450.79,457.06,445.38,447.17,8142211,EQ,65137688,25,162844
2024-10-01,448.95,462.74,448.04,452.71,12786542,EQ,102292336,25,255730
2024-10-03,446.98,450.56,425.59,428.38,19202233,EQ,153617864,25,384044
2024-10-04,428.38,430.31,419.31,424.54,11408576,EQ,91268608,25,228171
2024-10-07,427.88,430.45,400.39,401.90,16775124,EQ,134200992,25,335502
2024-10-08,399.94,429.71,396.18,426.83,18224193,EQ,145793544,25,364483
2024-10-09,428.29,437.50,428.29,431.36,9023720,EQ,72189760,25,180474
2024-10-10,435.16,441.03,431.55,432.42,7209670,EQ,57677360,25,144193
2024-10-11,430.26,433.01,423.99,428.66,5568364,EQ,44546912,25,111367
2024-10-14,430.58,438.83,427.70,433.93,5758201,EQ,46065608,25,115164
2024-10-15,437.96,441.62,434.29,436.81,6280066,EQ,50240528,25,125601
2024-10-16,436.95,442.72,436.45,439.06,5929705,EQ,47437640,25,118594
2024-10-17,439.79,440.66,428.29,430.12,5208293,EQ,41666344,25,104165
2024-10-18,429.53,434.06,418.99,433.10,7642993,EQ,61143944,25,152859
2024-10-21,433.84,434.71,421.56,425.09,4850471,EQ,38803768,25,97009
2024-10-22,423.30,426.23,404.10,405.34,10178704,EQ,81429632,25,203574
2024-10-23,404.97,408.87,390.82,401.63,10169698,EQ,81357584,25,203393
2024-10-24,400.39,417.53,399.52,415.14,9477665,EQ,75821320,25,189553
2024-10-25,415.97,419.63,394.90,401.40,8904455,EQ,71235640,25,178089
2024-10-28,404.06,419.63,403.60,412.90,11251735,EQ,90013880,25,225034
2024-10-29,415.05,434.29,408.82,432.60,13329768,EQ,106638144,25,266595
2024-10-30,432.60,434.52,423.99,424.81,9061400,EQ,72491200,25,181228
2024-10-31,425.50,426.92,411.53,416.84,6917895,EQ,55343160,25,138357
2024-11-01,421.47,422.15,417.89,420.64,901996,EQ,7215968,25,18039
2024-11-04,424.22,424.22,405.80,413.27,9325508,EQ,74604064,25,186510
2024-11-05,412.30,425.91,400.07,422.84,9875420,EQ,79003360,25,197508
2024-11-06,425.13,430.08,420.87,428.38,7221536,EQ,57772288,25,144430
2024-11-07,428.34,430.08,421.97,423.30,5072697,EQ,40581576,25,101453
2024-11-08,423.21,423.39,410.11,411.75,5816760,EQ,46534080,25,116335
2024-11-11,416.20,448.40,416.20,441.49,29014155,EQ,232113240,25,580283
2024-11-12,444.37,445.88,426.51,428.02,12030749,EQ,96245992,25,240614
2024-11-13,429.80,432.46,415.33,422.80,12532360,EQ,100258880,25,250647
2024-11-14,424.35,428.48,413.95,416.61,8930823,EQ,71446584,25,178616
2024-11-18,423.25,429.16,417.94,420.73,9440643,EQ,75525144,25,188812
2024-11-19,430.63,439.33,427.93,431.91,16795032,EQ,134360256,25,335900
2024-11-21,431.50,431.50,396.54,415.37,29932392,EQ,239459136,25,598647
2024-11-22,420.09,439.33,416.52,437.91,16196571,EQ,129572568,25,323931
2024-11-25,452.27,466.43,443.04,444.42,22624407,EQ,180995256,25,452488
2024-11-26,447.65,454.39,445.07,447.10,8322135,EQ,66577080,25,166442
2024-11-27,450.00,456.74,444.70,453.28,6332307,EQ,50658456,25,126646
2024-11-28,454.48,462.51,453.47,455.96,9185839,EQ,73486712,25,183716
2024-11-29,457.53,460.94,452.73,457.16,7808841,EQ,62470728,25,156176
2024-12-02,455.96,459.14,452.27,457.57,5868905,EQ,46951240,25,117378
2024-12-03,458.54,465.42,456.10,462.56,6421930,EQ,51375440,25,128438
2024-12-04,464.17,476.91,463.80,470.73,10064890,EQ,80519120,25,201297
2024-12-05,472.52,474.56,462.79,472.76,6481631,EQ,51853048,25,129632
2024-12-06,475.25,483.55,472.57,474.19,10442708,EQ,83541664,25,208854
2024-12-09,475.34,481.75,474.42,475.66,8490785,EQ,67926280,25,169815
2024-12-10,477.83,480.97,474.28,477.32,5999627,EQ,47997016,25,119992
2024-12-11,477.19,479.96,471.88,473.49,5559349,EQ,44474792,25,111186
2024-12-12,474.79,474.79,468.05,468.65,3709754,EQ,29678032,25,74195
2024-12-13,467.96,468.28,452.73,465.42,4617836,EQ,36942688,25,92356
2024-12-16,466.85,473.77,466.20,468.05,3621956,EQ,28975648,25,72439
2024-12-17,467.49,473.72,458.31,460.02,7148005,EQ,57184040,25,142960
2024-12-18,458.08,460.02,445.80,449.59,5353446,EQ,42827568,25,107068
2024-12-19,442.94,446.50,433.57,443.45,6612923,EQ,52903384,25,132258
2024-12-20,443.96,445.34,416.27,418.39,18725117,EQ,149800936,25,374502
2024-12-23,424.53,425.04,414.61,421.35,5194191,EQ,41553528,25,103883
2024-12-24,423.01,424.39,406.12,416.45,3378648,EQ,27029184,25,67572
2024-12-26,418.11,428.50,416.87,427.58,5751347,EQ,46010776,25,115026
2024-12-27,429.19,430.81,416.08,417.24,3933285,EQ,31466280,25,78665
2024-12-30,418.99,420.42,402.42,406.53,31939693,EQ,255517544,25,638793
2024-12-31,407.78,415.25,407.22,413.96,6078911,EQ,48631288,25,121578
2025-01-01,415.35,415.76,409.39,413.78,2624150,EQ,20993200,25,52483
2025-01-02,413.96,425.13,412.58,423.98,7550076,EQ,60400608,25,151001
2025-01-03,427.81,438.28,424.85,429.01,12857999,EQ,102863992,25,257159
2025-01-06,432.24,432.24,409.39,412.12,6541592,EQ,52332736,25,130831
2025-01-07,414.28,417.01,408.52,411.93,4817004,EQ,38536032,25,96340
2025-01-08,411.93,413.41,397.07,401.41,7504204,EQ,60033632,25,150084
2025-01-09,401.96,403.25,387.89,389.46,6771171,EQ,54169368,25,135423
2025-01-10,388.58,389.87,370.49,373.07,9418630,EQ,75349040,25,188372
2025-01-13,366.52,376.90,357.20,359.32,11102746,EQ,88821968,25,222054
2025-01-14,365.00,387.10,363.29,385.26,16819358,EQ,134554864,25,336387
2025-01-15,391.62,399.52,387.15,394.62,11942821,EQ,95542568,25,238856
2025-01-16,401.04,406.81,399.38,401.87,11304640,EQ,90437120,25,226092
2025-01-17,402.38,405.19,396.70,400.07,5109364,EQ,40874912,25,102187
2025-01-20,403.25,407.96,397.99,403.25,4692710,EQ,37541680,25,93854
2025-01-21,403.30,405.61,392.82,394.95,5673560,EQ,45388480,25,113471
2025-01-22,394.12,395.04,380.60,388.21,7990557,EQ,63924456,25,159811
2025-01-23,386.41,391.21,383.50,388.81,5201731,EQ,41613848,25,104034
2025-01-24,388.86,391.07,375.75,376.95,5521223,EQ,44169784,25,110424
2025-01-27,373.07,373.72,357.20,359.69,6919950,EQ,55359600,25,138399
2025-01-28,369.20,369.89,350.41,356.60,12499818,EQ,99998544,25,249996
2025-01-29,357.66,372.70,356.04,368.37,8257720,EQ,66061760,25,165154
2025-01-30,371.97,384.84,370.67,381.84,12173193,EQ,97385544,25,243463
2025-01-31,383.83,391.72,375.70,389.96,7617498,EQ,60939984,25,152349
2025-02-01,392.27,398.32,370.81,372.93,10136985,EQ,81095880,25,202739
2025-02-03,369.20,369.20,349.08,355.54,12764889,EQ,102119112,25,255297
2025-02-04,365.50,374.55,362.09,373.90,10384731,EQ,83077848,25,207694
2025-02-05,375.61,382.95,375.06,380.83,7661250,EQ,61290000,25,153225
2025-02-06,382.90,385.26,370.58,374.32,9100754,EQ,72806032,25,182015
2025-02-07,372.89,387.47,367.35,378.10,16988216,EQ,135905728,25,339764
2025-02-10,377.18,380.36,363.52,366.01,7130175,EQ,57041400,25,142603
2025-02-11,367.40,369.06,345.20,346.58,13932310,EQ,111458480,25,278646
2025-02-12,347.00,354.66,334.35,345.06,18493994,EQ,147951952,25,369879
2025-02-13,347.97,360.24,347.14,354.89,15685551,EQ,125484408,25,313711
2025-02-14,356.04,359.64,339.52,342.71,9111445,EQ,72891560,25,182228
2025-02-17,342.34,349.63,329.74,343.68,9524354,EQ,76194832,25,190487
2025-02-18,345.20,347.88,333.43,346.58,9358375,EQ,74867000,25,187167
2025-02-19,345.06,355.86,341.04,354.84,10253709,EQ,82029672,25,205074
2025-02-20,352.58,364.49,349.63,361.54,8995688,EQ,71965504,25,179913
2025-02-21,361.54,366.38,355.40,359.69,6385575,EQ,51084600,25,127711
2025-02-24,353.97,357.66,351.57,353.37,8201863,EQ,65614904,25,164037
2025-02-25,355.58,357.61,351.71,352.54,6037957,EQ,48303656,25,120759
2025-02-27,352.58,357.75,347.97,348.98,9653923,EQ,77231384,25,193078
2025-02-28,347.96,349.45,335.99,339.39,23690515,EQ,189524120,25,473810
2025-03-03,342.46,355.88,338.64,353.73,11923586,EQ,95388688,25,238471
2025-03-04,349.17,360.44,346.09,357.09,9721898,EQ,77775184,25,194437
2025-03-05,355.41,370.78,355.41,368.69,10048929,EQ,80391432,25,200978
2025-03-06,377.30,380.84,372.74,378.00,7589546,EQ,60716368,25,151790
2025-03-07,376.84,380.10,370.78,373.67,8363854,EQ,66910832,25,167277
2025-03-10,373.11,379.17,366.12,367.29,7710492,EQ,61683936,25,154209
2025-03-11,361.47,374.18,358.39,372.09,5838218,EQ,46705744,25,116764
2025-03-12,374.51,376.23,362.30,369.01,6139396,EQ,49115168,25,122787
2025-03-13,369.90,371.71,361.28,361.79,7418570,EQ,59348560,25,148371
2025-03-17,361.79,369.25,359.93,363.05,6963936,EQ,55711488,25,139278
2025-03-18,363.05,363.05,363.05,363.05,0,EQ,0,25,0
2025-03-19,376.92,381.48,374.80,379.69,6805771,EQ,54446168,25,136115
2025-03-20,381.66,386.32,374.24,378.23,5519039,EQ,44152312,25,110380
2025-03-21,376.96,386.32,376.02,383.36,7418546,EQ,59348368,25,148370
2025-03-24,387.02,402.72,386.46,399.99,11643524,EQ,93148192,25,232870
2025-03-25,404.22,406.90,392.00,394.12,7814328,EQ,62514624,25,156286
2025-03-26,396.70,398.02,384.15,385.89,5336807,EQ,42694456,25,106736
2025-03-27,385.42,397.88,384.58,395.76,7153843,EQ,57230744,25,143076
2025-03-28,395.72,402.77,387.87,389.42,8470283,EQ,67762264,25,169405
2025-04-01,385.42,392.66,377.62,380.44,6298784,EQ,50390272,25,125975
2025-04-02,383.54,391.49,374.99,390.92,6384707,EQ,51077656,25,127694
2025-04-03,385.42,398.91,385.42,396.09,5378877,EQ,43031016,25,107577
2025-04-04,395.76,397.32,379.27,382.46,6089301,EQ,48714408,25,121786
2025-04-07,351.58,372.92,349.61,371.37,11041175,EQ,88329400,25,220823
2025-04-08,376.02,388.53,371.42,374.66,12900567,EQ,103204536,25,258011
2025-04-09,375.93,375.93,365.68,370.24,6339983,EQ,50719864,25,126799
2025-04-11,376.96,381.05,374.24,376.73,5867624,EQ,46940992,25,117352
2025-04-15,386.55,401.40,383.26,400.04,9433755,EQ,75470040,25,188675
2025-04-16,400.46,404.60,395.29,398.40,5962450,EQ,47699600,25,119249
2025-04-17,397.64,400.93,392.00,398.30,6171410,EQ,49371280,25,123428
2025-04-21,399.52,412.59,398.68,410.10,7625622,EQ,61004976,25,152512
2025-04-22,410.10,417.48,404.74,411.89,8222555,EQ,65780440,25,164451
2025-04-23,413.34,414.57,398.11,407.14,7558664,EQ,60469312,25,151173
2025-04-24,406.62,410.29,402.77,408.17,6093751,EQ,48750008,25,121875
2025-04-25,407.98,410.52,386.13,390.17,8782826,EQ,70262608,25,175656
2025-04-28,390.17,400.09,387.59,394.40,6646961,EQ,53175688,25,132939
2025-04-29,395.44,402.25,388.15,388.71,5520460,EQ,44163680,25,110409
2025-04-30,388.71,390.26,380.72,382.98,5430500,EQ,43444000,25,108610
2025-05-02,382.60,391.53,379.50,380.44,5838633,EQ,46709064,25,116772
2025-05-05,385.61,388.95,382.60,385.80,3849153,EQ,30793224,25,76983
2025-05-06,385.80,387.21,369.82,371.70,5473528,EQ,43788224,25,109470
2025-05-07,369.82,381.38,368.69,380.07,5827411,EQ,46619288,25,116548
2025-05-08,381.19,385.05,363.80,366.90,8406346,EQ,67250768,25,168126
2025-05-09,364.18,368.17,358.26,362.77,8952332,EQ,71618656,25,179046
2025-05-12,376.96,390.12,376.02,389.14,6534063,EQ,52272504,25,130681
2025-05-13,387.30,391.35,384.53,387.63,5902455,EQ,47219640,25,118049
2025-05-14,388.48,394.59,378.98,381.19,12063302,EQ,96506416,25,241266
2025-05-15,381.01,384.44,377.48,382.70,9174908,EQ,73399264,25,183498
2025-05-16,383.54,397.83,383.07,392.71,13040115,EQ,104320920,25,260802
2025-05-19,393.88,399.05,392.94,394.07,6144525,EQ,49156200,25,122890
2025-05-20,395.01,397.17,380.77,381.90,7787229,EQ,62297832,25,155744
2025-05-21,382.60,395.72,377.67,387.96,16780984,EQ,134247872,25,335619
2025-05-22,388.24,389.00,378.84,382.23,11486658,EQ,91893264,25,229733
2025-05-23,382.70,385.14,378.37,381.48,6801449,EQ,54411592,25,136028
2025-05-26,383.54,389.70,382.79,387.77,4774997,EQ,38199976,25,95499
2025-05-27,387.63,389.75,383.83,388.34,5189625,EQ,41517000,25,103792
2025-05-28,388.34,392.71,385.71,387.07,3574669,EQ,28597352,25,71493
2025-05-29,389.18,390.17,384.01,388.71,3763771,EQ,30110168,25,75275
2025-05-30,387.30,390.97,380.25,381.62,10039873,EQ,80318984,25,200797
2025-06-02,381.66,387.02,379.88,384.81,4041431,EQ,32331448,25,80828
2025-06-03,385.42,390.78,380.72,382.84,4671387,EQ,37371096,25,93427
2025-06-04,383.54,385.33,378.14,380.54,4366667,EQ,34933336,25,87333
2025-06-05,382.60,387.16,382.13,383.45,3695619,EQ,29564952,25,73912
2025-06-06,383.45,396.23,379.97,393.32,11031104,EQ,88248832,25,220622
2025-06-09,397.55,406.67,396.05,405.16,9586201,EQ,76689608,25,191724
2025-06-10,408.50,408.50,402.06,405.59,4964863,EQ,39718904,25,99297
2025-06-11,405.59,410.05,399.95,402.96,4662364,EQ,37298912,25,93247
2025-06-12,401.40,403.47,388.95,390.83,7636464,EQ,61091712,25,152729
2025-06-13,378.83,385.49,378.83,383.98,7340189,EQ,58721512,25,146803
2025-06-16,384.17,385.68,375.24,384.07,4875821,EQ,39006568,25,97516
2025-06-17,384.07,388.80,379.96,380.81,4437622,EQ,35500976,25,88752
2025-06-18,380.72,383.55,372.41,375.10,4637176,EQ,37097408,25,92743
2025-06-19,373.45,376.80,367.12,368.77,5562987,EQ,44503896,25,111259
2025-06-20,376.47,392.06,375.38,386.44,40786410,EQ,326291280,25,815728
2025-06-23,381.95,391.30,381.19,388.18,5128511,EQ,41028088,25,102570
2025-06-24,393.95,397.54,390.07,390.83,5682297,EQ,45458376,25,113645
2025-06-25,394.84,394.84,387.85,390.07,5208380,EQ,41667040,25,104167
2025-06-26,392.06,397.73,390.73,397.02,4936949,EQ,39495592,25,98738
2025-06-27,400.56,404.15,396.17,398.24,5893639,EQ,47149112,25,117872
2025-06-30,400.94,406.13,398.95,403.77,8309295,EQ,66474360,25,166185
2025-07-01,405.90,405.90,395.03,400.23,5986456,EQ,47891648,25,119729
2025-07-02,399.61,401.65,393.47,395.27,5958682,EQ,47669456,25,119173
2025-07-03,396.31,399.10,391.92,392.48,4471741,EQ,35773928,25,89434
2025-07-04,392.72,396.45,389.41,390.40,4544818,EQ,36358544,25,90896
2025-07-07,390.78,391.77,387.10,388.75,3269596,EQ,26156768,25,65391
2025-07-08,388.75,397.68,388.33,396.59,4918959,EQ,39351672,25,98379
2025-07-09,396.78,398.48,392.34,394.65,3945567,EQ,31564536,25,78911
2025-07-10,402.21,408.54,398.95,405.71,26178377,EQ,209427016,25,523567
2025-07-11,407.93,414.12,404.05,407.13,14700458,EQ,117603664,25,294009
2025-07-14,406.09,408.12,397.82,401.69,4986863,EQ,39894904,25,99737
2025-07-15,401.69,406.65,400.28,401.60,3974226,EQ,31793808,25,79484
2025-07-16,401.50,403.30,398.34,400.32,3701435,EQ,29611480,25,74028
2025-07-17,400.32,401.36,397.02,400.65,4052726,EQ,32421808,25,81054
2025-07-18,400.65,403.25,394.99,397.21,5218834,EQ,41750672,25,104376
2025-07-21,395.88,397.35,391.35,396.59,4051980,EQ,32415840,25,81039
2025-07-22,396.97,400.28,391.25,391.77,3407343,EQ,27258744,25,68146
2025-07-23,393.71,396.78,388.56,395.98,3652329,EQ,29218632,25,73046
2025-07-24,395.98,399.95,393.24,398.81,2781973,EQ,22255784,25,55639
2025-07-25,398.81,399.99,390.83,392.15,4213376,EQ,33707008,25,84267
2025-07-28,391.92,393.95,382.04,382.75,3493261,EQ,27946088,25,69865
2025-07-29,380.72,388.75,379.16,387.90,4343591,EQ,34748728,25,86871
2025-07-30,387.99,391.30,386.01,389.13,2147122,EQ,17176976,25,42942
2025-07-31,384.12,389.79,381.05,387.29,3924392,EQ,31395136,25,78487
2025-08-01,385.54,386.58,380.72,381.52,2424645,EQ,19397160,25,48492
2025-08-04,381.67,391.49,380.81,390.88,3031304,EQ,24250432,25,60626
