date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,16038.68,16041.48,15797.49,15943.50,6930,EQ,55440,25,138
2024-09-02,15977.67,16024.34,15811.97,15935.44,3763,EQ,30104,25,75
2024-09-03,15928.53,16024.34,15735.71,15781.27,6162,EQ,49296,25,123
2024-09-04,15735.71,15844.07,15565.81,15623.35,8272,EQ,66176,25,165
2024-09-05,15662.35,15737.59,15554.95,15579.28,11022,EQ,88176,25,220
2024-09-06,15630.64,15709.12,15547.47,15600.13,10981,EQ,87848,25,219
2024-09-09,15604.28,15832.34,15528.02,15812.79,6380,EQ,51040,25,127
2024-09-10,15820.85,15925.88,15686.57,15856.62,5062,EQ,40496,25,101
2024-09-11,15956.77,15956.77,15780.65,15933.21,4497,EQ,35976,25,89
2024-09-12,15991.13,16005.04,15834.75,15986.31,10249,EQ,81992,25,204
2024-09-13,15985.73,16158.47,15885.43,16075.36,5366,EQ,42928,25,107
2024-09-16,16158.52,16158.52,15919.99,16024.49,3404,EQ,27232,25,68
2024-09-17,16020.09,16063.87,15966.42,16054.99,2997,EQ,23976,25,59
2024-09-18,16058.13,16118.94,15840.88,15974.77,6084,EQ,48672,25,121
2024-09-19,15966.61,16120.87,15966.42,16082.12,4333,EQ,34664,25,86
2024-09-20,16056.54,16101.38,15845.95,15942.58,28094,EQ,224752,25,561
2024-09-23,16101.57,16120.87,15882.78,15948.32,16561,EQ,132488,25,331
2024-09-24,15948.32,16053.88,15891.47,15953.97,15753,EQ,126024,25,315
2024-09-25,15953.97,15998.71,15746.33,15812.21,3407,EQ,27256,25,68
2024-09-26,15831.76,15891.32,15749.27,15849.76,2476,EQ,19808,25,49
2024-09-27,15947.07,15947.07,15764.96,15843.97,3840,EQ,30720,25,76
2024-09-30,15879.49,16144.96,15857.58,16096.40,5352,EQ,42816,25,107
2024-10-01,16101.52,16216.39,15928.78,16149.88,3828,EQ,30624,25,76
2024-10-03,16144.04,16241.54,15927.81,16056.44,6104,EQ,48832,25,122
2024-10-04,16087.96,16207.75,15836.10,16173.24,6580,EQ,52640,25,131
2024-10-07,16198.10,16198.10,15855.99,16064.21,6651,EQ,53208,25,133
2024-10-08,16065.85,16237.20,15908.50,16125.94,3444,EQ,27552,25,68
2024-10-09,16065.13,16313.94,16065.13,16298.40,4020,EQ,32160,25,80
2024-10-10,16298.11,16421.09,16060.88,16171.75,17226,EQ,137808,25,344
2024-10-11,16210.36,16240.91,16029.17,16058.03,1054,EQ,8432,25,21
2024-10-14,16046.59,16119.52,15843.54,15922.45,26971,EQ,215768,25,539
2024-10-15,15976.08,15976.08,15668.09,15787.26,22004,EQ,176032,25,440
2024-10-16,15783.01,16059.72,15699.17,15986.02,3370,EQ,26960,25,67
2024-10-17,15986.02,16071.11,15862.75,16011.89,1834,EQ,14672,25,36
2024-10-18,16005.03,16144.28,14973.25,15491.29,18971,EQ,151768,25,379
2024-10-21,15473.38,15976.03,15428.40,15838.90,4405,EQ,35240,25,88
2024-10-22,15751.49,15782.92,15337.27,15571.51,5288,EQ,42304,25,105
2024-10-23,15579.18,15783.01,15305.03,15736.19,5998,EQ,47984,25,119
2024-10-24,15619.87,15743.96,15512.72,15683.49,3066,EQ,24528,25,61
