date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1518.99,1547.41,1514.18,1539.92,956332,EQ,7650656,25,19126
2024-09-02,1553.08,1568.74,1545.98,1559.10,874644,EQ,6997152,25,17492
2024-09-03,1561.93,1586.24,1559.17,1564.69,1208708,EQ,9669664,25,24174
2024-09-04,1563.93,1600.71,1563.93,1585.10,1911688,EQ,15293504,25,38233
2024-09-05,1585.10,1590.50,1568.61,1582.27,1174448,EQ,9395584,25,23488
2024-09-06,1582.66,1606.82,1580.20,1594.35,883120,EQ,7064960,25,17662
2024-09-09,1604.36,1627.73,1587.64,1614.19,1353670,EQ,10829360,25,27073
2024-09-10,1619.15,1622.08,1591.10,1593.24,552594,EQ,4420752,25,11051
2024-09-11,1612.22,1625.44,1602.34,1604.51,1069618,EQ,8556944,25,21392
2024-09-12,1602.39,1617.18,1588.09,1612.07,934088,EQ,7472704,25,18681
2024-09-13,1611.75,1642.32,1597.95,1631.97,1234854,EQ,9878832,25,24697
2024-09-16,1636.90,1636.90,1616.36,1629.38,738654,EQ,5909232,25,14773
2024-09-17,1631.94,1632.46,1608.97,1611.80,234730,EQ,1877840,25,4694
2024-09-18,1612.27,1612.76,1558.55,1573.94,423006,EQ,3384048,25,8460
2024-09-19,1590.06,1602.19,1570.34,1599.43,539508,EQ,4316064,25,10790
2024-09-20,1601.99,1626.22,1590.06,1620.68,1112242,EQ,8897936,25,22244
2024-09-23,1626.50,1629.40,1616.04,1624.75,327590,EQ,2620720,25,6551
2024-09-24,1624.75,1640.77,1604.36,1609.81,368900,EQ,2951200,25,7378
2024-09-25,1609.81,1612.25,1586.12,1605.69,292236,EQ,2337888,25,5844
2024-09-26,1605.69,1628.59,1600.41,1621.94,892940,EQ,7143520,25,17858
2024-09-27,1624.57,1661.80,1614.54,1658.32,1743164,EQ,13945312,25,34863
2024-09-30,1668.45,1683.74,1651.76,1656.32,1116886,EQ,8935088,25,22337
2024-10-01,1670.01,1674.57,1642.42,1646.83,646910,EQ,5175280,25,12938
