date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,109.39,111.01,109.39,110.09,26208535,EQ,209668280,25,524170
2024-09-02,110.44,110.96,109.19,110.04,14419150,EQ,115353200,25,288383
2024-09-03,110.11,110.68,108.89,109.16,10681101,EQ,85448808,25,213622
2024-09-04,107.71,108.16,106.47,106.66,26202729,EQ,209621832,25,524054
2024-09-05,107.35,107.55,105.91,107.09,18290375,EQ,146323000,25,365807
2024-09-06,106.62,106.84,103.65,103.88,29092655,EQ,232741240,25,581853
2024-09-09,103.31,104.06,101.24,103.53,27017545,EQ,216140360,25,540350
2024-09-10,104.06,104.48,103.29,103.49,12498926,EQ,99991408,25,249978
2024-09-11,103.62,104.34,100.91,101.48,22838612,EQ,182708896,25,456772
2024-09-12,102.65,103.38,101.05,102.67,20816903,EQ,166535224,25,416338
2024-09-13,103.41,106.34,102.77,104.93,28921320,EQ,231370560,25,578426
2024-09-16,105.11,105.96,104.13,104.65,12834170,EQ,102673360,25,256683
2024-09-17,104.65,104.73,101.82,102.02,18548760,EQ,148390080,25,370975
2024-09-18,102.28,103.86,101.79,102.70,24775806,EQ,198206448,25,495516
2024-09-19,103.74,104.02,99.73,101.28,21178477,EQ,169427816,25,423569
2024-09-20,101.99,103.09,100.40,102.38,23196144,EQ,185569152,25,463922
2024-09-23,102.55,105.68,102.47,105.31,35372759,EQ,282982072,25,707455
2024-09-24,104.83,105.05,101.62,101.83,79101837,EQ,632814696,25,1582036
2024-09-25,101.50,101.50,97.86,99.21,71227249,EQ,569817992,25,1424544
2024-09-26,99.35,101.51,98.74,101.32,34719895,EQ,277759160,25,694397
2024-09-27,101.80,103.50,101.32,103.15,40191522,EQ,321532176,25,803830
2024-09-30,102.83,103.18,100.87,101.25,30911908,EQ,247295264,25,618238
2024-10-01,98.22,100.26,98.08,99.36,120187762,EQ,961502096,25,2403755
2024-10-03,97.51,100.81,97.27,99.22,99417000,EQ,795336000,25,1988340
2024-10-04,98.40,101.43,98.36,99.96,79454589,EQ,635636712,25,1589091
2024-10-07,100.26,101.43,95.19,96.39,83307848,EQ,666462784,25,1666156
2024-10-08,96.39,97.55,95.52,96.79,28947367,EQ,231578936,25,578947
2024-10-09,97.79,99.56,96.86,98.31,43366313,EQ,346930504,25,867326
2024-10-10,99.02,99.49,97.39,97.92,18521599,EQ,148172792,25,370431
2024-10-11,98.22,99.45,97.55,99.07,16201817,EQ,129614536,25,324036
2024-10-14,99.16,99.82,98.93,99.17,15757325,EQ,126058600,25,315146
2024-10-15,99.35,99.65,98.69,99.14,15017858,EQ,120142864,25,300357
2024-10-16,98.84,99.48,98.67,99.21,14270009,EQ,114160072,25,285400
2024-10-17,99.23,99.39,96.35,96.76,18076891,EQ,144615128,25,361537
2024-10-18,97.03,98.33,96.72,97.53,18567809,EQ,148542472,25,371356
2024-10-21,97.54,98.64,96.10,96.60,17438662,EQ,139509296,25,348773
2024-10-22,96.60,97.39,89.15,89.67,51355704,EQ,410845632,25,1027114
2024-10-23,90.66,91.85,87.26,91.30,38207629,EQ,305661032,25,764152
2024-10-24,90.83,95.00,90.78,93.26,55363485,EQ,442907880,25,1107269
2024-10-25,93.40,93.84,88.04,90.40,39756124,EQ,318048992,25,795122
2024-10-28,90.90,96.28,90.64,93.15,70816541,EQ,566532328,25,1416330
2024-10-29,96.74,96.90,91.89,95.69,94263912,EQ,754111296,25,1885278
2024-10-30,95.76,96.23,94.25,94.40,47768641,EQ,382149128,25,955372
2024-10-31,94.44,94.85,91.23,92.45,93367752,EQ,746942016,25,1867355
2024-11-01,93.20,95.54,93.13,95.36,23647421,EQ,189179368,25,472948
2024-11-04,95.18,98.20,93.64,97.88,132269383,EQ,1058155064,25,2645387
2024-11-05,97.96,99.32,96.63,98.89,79179075,EQ,633432600,25,1583581
2024-11-06,99.88,101.28,99.36,101.03,59984748,EQ,479877984,25,1199694
2024-11-07,100.47,101.90,100.14,100.77,42209575,EQ,337676600,25,844191
2024-11-08,101.00,101.00,98.33,98.96,31981183,EQ,255849464,25,639623
2024-11-11,97.85,100.20,97.51,99.29,29852507,EQ,238820056,25,597050
2024-11-12,99.63,100.43,97.60,97.96,26013763,EQ,208110104,25,520275
2024-11-13,97.55,98.03,94.44,94.97,38963115,EQ,311704920,25,779262
2024-11-14,95.48,96.78,93.78,93.96,25816807,EQ,206534456,25,516336
2024-11-18,95.10,96.59,92.48,94.94,32300511,EQ,258404088,25,646010
2024-11-19,95.52,97.95,94.86,95.25,25456236,EQ,203649888,25,509124
2024-11-21,94.49,94.73,89.54,91.01,62222678,EQ,497781424,25,1244453
2024-11-22,91.70,94.67,91.65,94.27,38066845,EQ,304534760,25,761336
