date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1749.15,1810.00,1698.00,1772.25,2607086,EQ,20856688,25,52141
2024-09-02,1783.00,1783.50,1719.00,1749.50,1043919,EQ,8351352,25,20878
2024-09-03,1735.05,1743.45,1712.45,1718.75,1667552,EQ,13340416,25,33351
2024-09-04,1718.75,1748.75,1709.10,1729.55,1194203,EQ,9553624,25,23884
2024-09-05,1728.00,1755.00,1716.20,1720.75,759833,EQ,6078664,25,15196
2024-09-06,1721.75,1739.00,1710.90,1715.00,420041,EQ,3360328,25,8400
2024-09-09,1715.00,1760.00,1680.55,1741.20,627026,EQ,5016208,25,12540
2024-09-10,1751.00,1776.70,1735.05,1745.15,609220,EQ,4873760,25,12184
2024-09-11,1753.00,1792.90,1738.55,1782.65,1011015,EQ,8088120,25,20220
2024-09-12,1800.00,1835.00,1781.45,1812.75,826262,EQ,6610096,25,16525
2024-09-13,1836.80,1837.30,1804.00,1814.10,772939,EQ,6183512,25,15458
2024-09-16,1839.25,1839.25,1751.85,1797.20,664916,EQ,5319328,25,13298
2024-09-17,1801.00,1871.40,1776.40,1848.50,1671977,EQ,13375816,25,33439
2024-09-18,1835.00,1885.00,1798.95,1805.60,719866,EQ,5758928,25,14397
2024-09-19,1839.50,1900.00,1821.40,1877.45,1711588,EQ,13692704,25,34231
2024-09-20,1864.00,1966.50,1855.00,1931.45,1787519,EQ,14300152,25,35750
2024-09-23,1930.30,1932.25,1885.00,1920.40,785448,EQ,6283584,25,15708
2024-09-24,1933.90,1933.90,1796.75,1838.75,1693004,EQ,13544032,25,33860
2024-09-25,1830.00,1830.00,1685.00,1722.05,3892371,EQ,31138968,25,77847
2024-09-26,1722.00,1750.00,1545.05,1685.90,10662189,EQ,85297512,25,213243
2024-09-27,1718.80,1740.00,1600.00,1640.80,4251091,EQ,34008728,25,85021
2024-09-30,1660.00,1713.70,1603.20,1619.95,5179483,EQ,41435864,25,103589
2024-10-01,1645.00,1740.00,1595.40,1730.45,4776243,EQ,38209944,25,95524
2024-10-03,1724.00,1779.00,1693.75,1706.90,2436688,EQ,19493504,25,48733
2024-10-04,1699.95,1726.45,1631.40,1713.55,1808106,EQ,14464848,25,36162
2024-10-07,1705.00,1747.80,1681.55,1690.75,1582055,EQ,12656440,25,31641
2024-10-08,1675.00,1681.00,1646.40,1661.55,2869109,EQ,22952872,25,57382
2024-10-09,1667.00,1688.65,1641.25,1655.20,763358,EQ,6106864,25,15267
2024-10-10,1690.00,1690.00,1615.65,1631.90,1709381,EQ,13675048,25,34187
2024-10-11,1631.90,1656.00,1605.00,1639.05,1109869,EQ,8878952,25,22197
2024-10-14,1654.00,1673.85,1642.45,1652.65,2282889,EQ,18263112,25,45657
2024-10-15,1652.75,1687.95,1652.00,1676.15,1009190,EQ,8073520,25,20183
2024-10-16,1676.00,1719.95,1676.00,1704.55,731981,EQ,5855848,25,14639
2024-10-17,1700.00,1730.00,1671.05,1685.05,1063409,EQ,8507272,25,21268
2024-10-18,1680.00,1710.00,1654.80,1683.60,674150,EQ,5393200,25,13483
2024-10-21,1689.90,1702.70,1632.60,1675.90,1119617,EQ,8956936,25,22392
2024-10-22,1688.40,1702.45,1610.10,1621.50,724686,EQ,5797488,25,14493
2024-10-23,1621.50,1710.00,1605.30,1640.30,990313,EQ,7922504,25,19806
2024-10-24,1648.00,1669.10,1610.25,1647.30,413123,EQ,3304984,25,8262
