date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,316.11,321.63,315.21,318.37,22713812,EQ,181710496,25,454276
2024-09-02,319.32,320.73,315.36,316.63,9789776,EQ,78318208,25,195795
2024-09-03,317.05,318.89,315.17,315.78,8434423,EQ,67475384,25,168688
2024-09-04,312.52,315.83,312.34,314.13,9025610,EQ,72204880,25,180512
2024-09-05,313.61,315.45,311.01,312.57,13912371,EQ,111298968,25,278247
2024-09-06,314.27,314.32,306.67,311.20,23755639,EQ,190045112,25,475112
2024-09-09,309.22,310.64,305.31,310.02,18597200,EQ,148777600,25,371944
2024-09-10,308.56,316.39,308.56,315.31,15472387,EQ,123779096,25,309447
2024-09-11,317.90,318.23,313.28,314.41,10134008,EQ,81072064,25,202680
2024-09-12,315.97,319.88,314.46,319.13,18410837,EQ,147286696,25,368216
2024-09-13,320.64,322.01,317.15,318.23,10417461,EQ,83339688,25,208349
2024-09-16,318.23,322.24,318.04,319.18,7748570,EQ,61988560,25,154971
2024-09-17,317.71,320.83,315.64,317.90,11451846,EQ,91614768,25,229036
2024-09-18,319.41,319.79,314.32,315.45,6583254,EQ,52666032,25,131665
2024-09-19,317.24,319.27,314.32,316.02,10589610,EQ,84716880,25,211792
2024-09-20,319.08,323.61,315.87,321.63,31236123,EQ,249888984,25,624722
2024-09-23,322.72,323.19,321.06,321.91,6542941,EQ,52343528,25,130858
2024-09-24,325.12,331.21,323.05,330.31,26145769,EQ,209166152,25,522915
2024-09-25,333.90,345.60,332.48,343.24,40770462,EQ,326163696,25,815409
2024-09-26,343.52,345.46,337.06,344.84,18733959,EQ,149871672,25,374679
2024-09-27,341.78,342.81,333.43,334.27,33148043,EQ,265184344,25,662960
2024-09-30,334.27,337.29,329.98,332.95,16356171,EQ,130849368,25,327123
2024-10-01,331.30,335.93,330.22,331.02,9856291,EQ,78850328,25,197125
2024-10-03,323.66,330.17,323.28,324.74,19350466,EQ,154803728,25,387009
2024-10-04,323.66,327.86,318.71,319.74,20121706,EQ,160973648,25,402434
2024-10-07,320.83,320.83,306.67,310.40,13851446,EQ,110811568,25,277028
2024-10-08,308.84,312.34,304.17,308.70,21148292,EQ,169186336,25,422965
2024-10-09,308.56,313.09,307.15,311.16,9228363,EQ,73826904,25,184567
2024-10-10,311.58,319.04,311.49,315.50,20773976,EQ,166191808,25,415479
2024-10-11,315.59,316.44,310.92,311.44,6098468,EQ,48787744,25,121969
2024-10-14,311.44,312.81,309.32,312.05,5944216,EQ,47553728,25,118884
2024-10-15,314.65,314.65,309.03,311.25,12415489,EQ,99323912,25,248309
2024-10-16,313.00,313.89,306.63,308.75,22085298,EQ,176682384,25,441705
2024-10-17,309.98,313.19,306.30,312.48,17039729,EQ,136317832,25,340794
2024-10-18,312.81,315.03,309.74,313.33,10569021,EQ,84552168,25,211380
2024-10-21,314.22,314.93,310.87,312.48,8745904,EQ,69967232,25,174918
2024-10-22,314.13,316.72,302.95,304.55,11219831,EQ,89758648,25,224396
2024-10-23,301.20,303.75,296.15,299.03,12541589,EQ,100332712,25,250831
2024-10-24,297.47,302.71,297.47,301.15,8327779,EQ,66622232,25,166555
2024-10-25,303.37,303.37,295.59,297.99,12979410,EQ,103835280,25,259588
2024-10-28,296.77,302.38,293.23,300.35,9610615,EQ,76884920,25,192212
2024-10-29,298.28,303.09,296.44,302.48,15856332,EQ,126850656,25,317126
2024-10-30,300.59,307.05,298.89,300.49,14498110,EQ,115984880,25,289962
2024-10-31,302.33,304.50,299.93,302.71,9900390,EQ,79203120,25,198007
2024-11-01,304.27,304.50,301.96,303.89,847672,EQ,6781376,25,16953
2024-11-04,306.25,306.39,294.03,297.66,9249409,EQ,73995272,25,184988
2024-11-05,294.74,299.79,294.41,298.75,7518195,EQ,60145560,25,150363
2024-11-06,299.50,302.29,296.20,300.54,11019250,EQ,88154000,25,220385
2024-11-07,301.01,301.01,294.12,295.30,14504208,EQ,116033664,25,290084
2024-11-08,294.27,299.64,291.29,298.42,15740539,EQ,125924312,25,314810
2024-11-11,295.87,313.66,295.16,311.20,22838987,EQ,182711896,25,456779
2024-11-12,312.81,313.75,303.65,304.50,12069181,EQ,96553448,25,241383
2024-11-13,304.46,306.30,299.27,300.07,12918639,EQ,103349112,25,258372
2024-11-14,301.60,305.14,297.29,298.73,12500377,EQ,100003016,25,250007
2024-11-18,300.55,302.03,296.81,298.68,9408101,EQ,75264808,25,188162
2024-11-19,299.64,304.62,298.87,301.55,13157158,EQ,105257264,25,263143
2024-11-21,302.46,312.75,299.59,311.94,25406386,EQ,203251088,25,508127
2024-11-22,311.84,323.14,310.12,322.51,31523269,EQ,252186152,25,630465
2024-11-25,327.20,330.60,321.75,328.07,29419152,EQ,235353216,25,588383
2024-11-26,327.35,329.84,323.42,324.28,13997179,EQ,111977432,25,279943
2024-11-27,322.80,326.68,322.08,324.72,12177260,EQ,97418080,25,243545
2024-11-28,324.72,327.11,317.97,319.36,16920231,EQ,135361848,25,338404
2024-11-29,317.15,318.25,312.51,315.29,13890537,EQ,111124296,25,277810
2024-12-02,314.09,317.73,312.22,313.80,16003524,EQ,128028192,25,320070
2024-12-03,310.36,317.15,310.36,315.53,23174488,EQ,185395904,25,463489
2024-12-04,314.95,317.06,307.34,311.12,17880011,EQ,143040088,25,357600
2024-12-05,311.08,316.29,305.86,314.28,19785053,EQ,158280424,25,395701
2024-12-06,313.09,318.49,312.70,314.81,8802058,EQ,70416464,25,176041
2024-12-09,313.71,316.48,312.70,315.00,9376929,EQ,75015432,25,187538
2024-12-10,317.63,317.63,311.41,313.85,14994365,EQ,119954920,25,299887
2024-12-11,313.23,314.90,312.85,313.52,5013051,EQ,40104408,25,100261
2024-12-12,313.95,315.77,311.89,315.10,10414162,EQ,83313296,25,208283
2024-12-13,316.48,319.98,311.12,319.55,14973536,EQ,119788288,25,299470
2024-12-16,319.55,321.84,317.39,320.65,12695136,EQ,101561088,25,253902
2024-12-17,318.25,321.17,313.95,315.67,17360248,EQ,138881984,25,347204
2024-12-18,313.95,315.00,306.91,307.77,15037099,EQ,120296792,25,300741
2024-12-19,304.38,309.98,303.28,307.87,10234715,EQ,81877720,25,204694
2024-12-20,307.53,311.65,300.16,302.27,13973399,EQ,111787192,25,279467
2024-12-23,304.38,304.66,298.20,301.79,5984169,EQ,47873352,25,119683
2024-12-24,300.64,303.08,295.52,296.81,4833589,EQ,38668712,25,96671
2024-12-26,296.81,299.69,295.52,297.01,3775101,EQ,30200808,25,75502
2024-12-27,297.44,298.92,295.57,296.14,3981693,EQ,31853544,25,79633
2024-12-30,295.76,298.63,293.18,294.37,12489142,EQ,99913136,25,249782
