date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,571.37,574.83,562.09,563.68,8931237,EQ,71449896,25,178624
2024-09-02,563.82,566.19,556.00,561.32,4617697,EQ,36941576,25,92353
2024-09-03,562.55,573.87,557.82,572.46,7628972,EQ,61031776,25,152579
2024-09-04,562.09,569.37,561.32,568.14,4002544,EQ,32020352,25,80050
2024-09-05,568.64,577.92,568.55,573.55,7738087,EQ,61904696,25,154761
2024-09-06,569.05,573.83,549.36,552.50,8074544,EQ,64596352,25,161490
2024-09-09,549.81,551.18,528.03,536.67,11883819,EQ,95070552,25,237676
2024-09-10,540.26,542.58,522.35,524.94,8925317,EQ,71402536,25,178506
2024-09-11,525.71,528.58,509.07,511.84,7761933,EQ,62095464,25,155238
2024-09-12,514.80,523.07,503.61,520.98,10234653,EQ,81877224,25,204693
2024-09-13,522.07,524.80,513.16,516.34,6979913,EQ,55839304,25,139598
2024-09-16,516.34,518.66,506.79,509.98,4136798,EQ,33094384,25,82735
2024-09-17,509.98,512.07,493.47,495.56,11277058,EQ,90216464,25,225541
2024-09-18,504.79,512.30,493.97,496.65,15318568,EQ,122548544,25,306371
2024-09-19,502.06,504.79,463.73,481.78,25364529,EQ,202916232,25,507290
2024-09-20,482.05,495.70,479.55,491.10,15317549,EQ,122540392,25,306350
2024-09-23,493.01,499.24,487.24,493.42,9807891,EQ,78463128,25,196157
2024-09-24,491.15,501.02,490.74,498.74,8069962,EQ,64559696,25,161399
2024-09-25,499.70,500.47,489.38,495.74,5716466,EQ,45731728,25,114329
2024-09-26,493.97,497.06,489.28,494.88,6013480,EQ,48107840,25,120269
2024-09-27,496.33,510.70,495.70,509.52,13432979,EQ,107463832,25,268659
2024-09-30,507.52,513.34,500.34,504.34,9512274,EQ,76098192,25,190245
2024-10-01,504.79,517.94,503.25,506.43,8117456,EQ,64939648,25,162349
2024-10-03,501.47,511.89,487.60,489.06,12464107,EQ,99712856,25,249282
2024-10-04,486.60,490.88,473.50,476.64,9321624,EQ,74572992,25,186432
2024-10-07,479.33,484.19,449.58,454.90,16722359,EQ,133778872,25,334447
2024-10-08,453.86,478.78,440.31,476.82,14115751,EQ,112926008,25,282315
2024-10-09,481.14,487.37,479.05,484.24,7063437,EQ,56507496,25,141268
2024-10-10,488.38,500.56,486.24,495.01,10161095,EQ,81288760,25,203221
2024-10-11,491.15,495.97,486.19,489.24,4344046,EQ,34752368,25,86880
2024-10-14,491.15,495.20,488.47,491.47,3672179,EQ,29377432,25,73443
2024-10-15,495.51,498.83,492.65,497.79,5661760,EQ,45294080,25,113235
