date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1520.87,1526.54,1490.45,1496.70,41620730,EQ,332965840,25,832414
2024-09-02,1497.94,1513.73,1493.73,1503.27,11240852,EQ,89926816,25,224817
2024-09-03,1508.23,1509.96,1494.59,1496.20,10923800,EQ,87390400,25,218476
2024-09-04,1487.85,1504.51,1486.66,1501.58,11983304,EQ,95866432,25,239666
2024-09-05,1506.04,1512.71,1474.32,1480.19,16264168,EQ,130113344,25,325283
2024-09-06,1479.72,1484.18,1449.11,1452.28,19394228,EQ,155153824,25,387884
2024-09-09,1453.94,1457.34,1443.14,1449.93,9010298,EQ,72082384,25,180205
2024-09-10,1448.00,1459.45,1445.10,1449.01,10768260,EQ,86146080,25,215365
2024-09-11,1450.52,1456.17,1435.16,1439.07,9760202,EQ,78081616,25,195204
2024-09-12,1444.53,1473.28,1433.50,1467.13,22349376,EQ,178795008,25,446987
2024-09-13,1463.76,1470.45,1456.92,1460.02,8711328,EQ,69690624,25,174226
2024-09-16,1464.90,1468.22,1452.21,1458.75,5481774,EQ,43854192,25,109635
2024-09-17,1461.38,1464.82,1454.07,1459.69,5935328,EQ,47482624,25,118706
2024-09-18,1457.41,1469.31,1448.04,1450.92,8574714,EQ,68597712,25,171494
2024-09-19,1453.70,1463.86,1443.09,1457.09,16955902,EQ,135647216,25,339118
2024-09-20,1461.38,1482.20,1458.78,1473.20,30897320,EQ,247178560,25,617946
2024-09-23,1478.23,1488.64,1476.20,1480.59,8832314,EQ,70658512,25,176646
2024-09-24,1475.76,1487.65,1475.14,1476.62,17137444,EQ,137099552,25,342748
2024-09-25,1471.19,1483.69,1467.53,1481.16,7069002,EQ,56552016,25,141380
2024-09-26,1477.89,1491.12,1475.31,1485.12,18818998,EQ,150551984,25,376379
2024-09-27,1486.17,1520.35,1479.23,1513.11,20597478,EQ,164779824,25,411949
2024-09-30,1506.39,1511.92,1461.78,1463.93,27008814,EQ,216070512,25,540176
2024-10-01,1467.97,1475.21,1450.30,1452.28,16431642,EQ,131453136,25,328632
2024-10-03,1424.28,1436.99,1390.07,1394.93,37757294,EQ,302058352,25,755145
2024-10-04,1391.90,1405.21,1369.94,1374.65,37072876,EQ,296583008,25,741457
2024-10-07,1381.57,1384.54,1349.72,1358.99,22181340,EQ,177450720,25,443626
2024-10-08,1361.22,1389.00,1353.41,1385.39,17020808,EQ,136166464,25,340416
2024-10-09,1385.56,1388.98,1360.75,1362.83,14310610,EQ,114484880,25,286212
2024-10-10,1368.21,1374.13,1357.70,1359.31,22358646,EQ,178869168,25,447172
2024-10-11,1358.27,1371.43,1357.11,1360.35,7980122,EQ,63840976,25,159602
2024-10-14,1367.64,1368.26,1356.54,1360.77,12221432,EQ,97771456,25,244428
2024-10-15,1346.89,1359.96,1329.22,1332.52,33762794,EQ,270102352,25,675255
2024-10-16,1328.53,1352.32,1326.17,1342.48,20034438,EQ,160275504,25,400688
2024-10-17,1354.01,1356.73,1340.47,1344.81,15543660,EQ,124349280,25,310873
2024-10-18,1340.60,1356.71,1329.84,1347.66,12082452,EQ,96659616,25,241649
2024-10-21,1355.42,1362.24,1346.10,1357.48,14067408,EQ,112539264,25,281348
2024-10-22,1357.48,1364.22,1328.75,1331.85,15831960,EQ,126655680,25,316639
2024-10-23,1326.05,1345.85,1323.57,1327.06,17214742,EQ,137717936,25,344294
2024-10-24,1323.84,1332.20,1311.80,1328.33,22155934,EQ,177247472,25,443118
2024-10-25,1332.00,1332.84,1310.68,1316.48,18597496,EQ,148779968,25,371949
2024-10-28,1325.55,1341.42,1310.78,1322.93,10824350,EQ,86594800,25,216487
2024-10-29,1316.73,1331.70,1309.00,1328.53,12008361,EQ,96066888,25,240167
2024-10-30,1323.57,1338.44,1314.00,1332.39,11984423,EQ,95875384,25,239688
2024-10-31,1328.53,1331.50,1314.80,1320.65,9331650,EQ,74653200,25,186633
2024-11-01,1321.64,1330.46,1321.59,1327.19,2127335,EQ,17018680,25,42546
2024-11-04,1326.40,1328.53,1274.10,1291.00,19796890,EQ,158375120,25,395937
2024-11-05,1281.93,1298.34,1275.14,1294.12,16267479,EQ,130139832,25,325349
2024-11-06,1298.78,1316.93,1289.07,1314.00,21625209,EQ,173001672,25,432504
2024-11-07,1312.66,1312.66,1291.45,1294.47,9611974,EQ,76895792,25,192239
2024-11-08,1286.54,1290.51,1264.08,1272.76,19814406,EQ,158515248,25,396288
2024-11-11,1268.00,1274.99,1256.15,1261.80,9056552,EQ,72452416,25,181131
2024-11-12,1264.63,1278.26,1256.65,1263.34,10671091,EQ,85368728,25,213421
2024-11-13,1259.37,1264.53,1238.80,1241.33,14633633,EQ,117069064,25,292672
2024-11-14,1242.87,1261.70,1240.39,1256.75,12612633,EQ,100901064,25,252252
2024-11-18,1256.75,1262.00,1233.25,1249.96,13620611,EQ,108964888,25,272412
2024-11-19,1249.96,1270.53,1224.57,1231.02,14183746,EQ,113469968,25,283674
2024-11-21,1231.02,1233.30,1206.83,1212.53,19433843,EQ,155470744,25,388676
2024-11-22,1218.87,1257.99,1211.98,1254.57,20471957,EQ,163775656,25,409439
2024-11-25,1278.95,1293.28,1271.47,1275.98,28923341,EQ,231386728,25,578466
2024-11-26,1283.86,1286.74,1273.20,1284.61,9247557,EQ,73980456,25,184951
2024-11-27,1282.43,1292.69,1274.99,1282.13,9572746,EQ,76581968,25,191454
2024-11-28,1278.91,1285.50,1258.18,1259.92,15027412,EQ,120219296,25,300548
2024-11-29,1269.04,1288.37,1264.33,1281.14,13202307,EQ,105618456,25,264046
2024-12-02,1276.97,1300.12,1266.12,1297.94,11024152,EQ,88193216,25,220483
2024-12-03,1305.72,1315.44,1295.81,1311.97,16869482,EQ,134955856,25,337389
2024-12-04,1314.65,1317.03,1292.88,1297.74,19608540,EQ,156868320,25,392170
2024-12-05,1303.10,1318.56,1294.97,1310.73,16858723,EQ,134869784,25,337174
2024-12-06,1312.56,1312.56,1298.78,1300.32,9037514,EQ,72300112,25,180750
2024-12-09,1291.84,1303.74,1282.03,1284.06,14650002,EQ,117200016,25,293000
2024-12-10,1278.21,1283.81,1269.24,1273.85,16043729,EQ,128349832,25,320874
2024-12-11,1274.00,1278.95,1265.12,1267.26,11724373,EQ,93794984,25,234487
2024-12-12,1259.13,1267.26,1249.81,1252.09,20906813,EQ,167254504,25,418136
2024-12-13,1249.21,1264.28,1228.99,1261.95,28630222,EQ,229041776,25,572604
2024-12-16,1264.08,1270.03,1255.71,1257.44,9486781,EQ,75894248,25,189735
2024-12-17,1250.25,1253.08,1232.16,1234.64,17462791,EQ,139702328,25,349255
2024-12-18,1230.03,1249.16,1230.03,1242.52,12670179,EQ,101361432,25,253403
2024-12-19,1228.39,1234.24,1218.48,1219.91,14244653,EQ,113957224,25,284893
2024-12-20,1213.52,1228.89,1191.21,1194.98,20312896,EQ,162503168,25,406257
2024-12-23,1204.60,1216.69,1202.81,1211.83,10052824,EQ,80422592,25,201056
2024-12-24,1211.83,1222.99,1210.55,1212.28,6734917,EQ,53879336,25,134698
2024-12-26,1213.77,1217.19,1203.85,1206.13,10016178,EQ,80129424,25,200323
2024-12-27,1207.87,1217.39,1206.58,1210.60,7000397,EQ,56003176,25,140007
2024-12-30,1205.99,1212.73,1197.76,1200.33,8818766,EQ,70550128,25,176375
2024-12-31,1197.66,1208.66,1195.82,1205.04,6405475,EQ,51243800,25,128109
2025-01-01,1204.45,1215.80,1201.23,1210.79,5892590,EQ,47140720,25,117851
2025-01-02,1210.79,1233.79,1209.55,1231.17,15486276,EQ,123890208,25,309725
2025-01-03,1233.25,1251.24,1224.92,1240.44,15521102,EQ,124168816,25,310422
2025-01-06,1243.21,1251.19,1204.60,1207.57,14816766,EQ,118534128,25,296335
2025-01-07,1211.54,1233.84,1210.79,1230.23,10070505,EQ,80564040,25,201410
2025-01-08,1238.31,1260.17,1234.69,1254.66,19346579,EQ,154772632,25,386931
2025-01-09,1256.15,1258.88,1237.36,1244.01,12794704,EQ,102357632,25,255894
2025-01-10,1243.11,1245.99,1225.42,1231.27,8120332,EQ,64962656,25,162406
2025-01-13,1219.47,1234.59,1215.90,1229.23,13764861,EQ,110118888,25,275297
2025-01-14,1233.45,1242.62,1216.74,1228.14,13095266,EQ,104762128,25,261905
2025-01-15,1234.29,1246.24,1231.22,1241.48,9578856,EQ,76630848,25,191577
2025-01-16,1248.12,1264.08,1240.59,1255.61,14117603,EQ,112940824,25,282352
2025-01-17,1310.93,1314.65,1274.00,1291.20,29366277,EQ,234930216,25,587325
2025-01-20,1304.73,1304.73,1289.12,1294.27,14040244,EQ,112321952,25,280804
2025-01-21,1299.28,1301.76,1259.32,1262.79,14562976,EQ,116503808,25,291259
2025-01-22,1267.36,1271.92,1257.84,1266.17,10273590,EQ,82188720,25,205471
2025-01-23,1259.13,1266.41,1250.80,1252.83,8720682,EQ,69765456,25,174413
2025-01-24,1255.16,1262.10,1232.85,1235.63,14235970,EQ,113887760,25,284719
2025-01-27,1228.49,1229.83,1209.55,1218.82,9536019,EQ,76288152,25,190720
2025-01-28,1227.40,1234.09,1208.07,1223.83,10568025,EQ,84544200,25,211360
2025-01-29,1225.42,1232.11,1217.54,1224.92,5928156,EQ,47425248,25,118563
2025-01-30,1224.97,1246.24,1221.85,1242.32,9269259,EQ,74154072,25,185385
2025-01-31,1245.10,1256.15,1238.31,1254.27,6584612,EQ,52676896,25,131692
2025-02-01,1254.27,1259.67,1230.37,1253.77,7118453,EQ,56947624,25,142369
2025-02-03,1240.29,1245.25,1226.95,1235.23,9252345,EQ,74018760,25,185046
2025-02-04,1237.36,1277.77,1235.93,1274.20,16691069,EQ,133528552,25,333821
2025-02-05,1271.67,1279.45,1265.77,1267.26,10112028,EQ,80896224,25,202240
2025-02-06,1262.79,1276.97,1259.47,1270.58,9956001,EQ,79648008,25,199120
2025-02-07,1265.22,1272.71,1251.19,1255.85,8764283,EQ,70114264,25,175285
2025-02-10,1253.67,1255.66,1234.89,1242.92,6970972,EQ,55767776,25,139419
2025-02-11,1253.72,1253.72,1219.57,1224.28,8859714,EQ,70877712,25,177194
2025-02-12,1209.01,1216.40,1183.13,1206.13,21131654,EQ,169053232,25,422633
2025-02-13,1206.63,1217.49,1201.62,1205.69,8511216,EQ,68089728,25,170224
2025-02-14,1208.56,1213.52,1195.13,1206.83,10298145,EQ,82385160,25,205962
2025-02-17,1200.73,1216.99,1194.19,1214.41,8166683,EQ,65333464,25,163333
2025-02-18,1214.36,1219.37,1205.69,1214.91,6673250,EQ,53386000,25,133465
2025-02-19,1209.06,1222.20,1207.13,1216.94,6217338,EQ,49738704,25,124346
2025-02-20,1213.47,1228.74,1211.54,1222.44,7795582,EQ,62364656,25,155911
2025-02-21,1218.18,1229.38,1211.69,1217.63,6904025,EQ,55232200,25,138080
2025-02-24,1206.13,1212.78,1200.14,1204.15,7172498,EQ,57379984,25,143449
2025-02-25,1200.63,1210.55,1191.21,1193.69,11552182,EQ,92417456,25,231043
2025-02-27,1202.42,1204.60,1190.37,1196.76,11509215,EQ,92073720,25,230184
2025-02-28,1191.71,1206.93,1183.08,1189.82,23007298,EQ,184058384,25,460145
2025-03-03,1193.69,1196.12,1146.10,1161.22,17944938,EQ,143559504,25,358898
2025-03-04,1152.25,1163.95,1149.62,1151.95,11377373,EQ,91018984,25,227547
2025-03-05,1151.06,1172.87,1147.09,1165.53,8664095,EQ,69312760,25,173281
2025-03-06,1186.75,1203.56,1175.00,1199.24,14468014,EQ,115744112,25,289360
2025-03-07,1205.59,1244.06,1201.62,1239.10,16474965,EQ,131799720,25,329499
2025-03-10,1234.34,1247.23,1224.82,1227.80,11931051,EQ,95448408,25,238621
2025-03-11,1229.38,1238.80,1219.22,1236.62,10089838,EQ,80718704,25,201796
2025-03-12,1247.23,1252.19,1233.35,1246.29,11977555,EQ,95820440,25,239551
2025-03-13,1249.26,1253.33,1233.20,1237.22,9505270,EQ,76042160,25,190105
2025-03-17,1231.51,1246.63,1222.54,1228.24,16640917,EQ,133127336,25,332818
2025-03-18,1228.24,1228.24,1228.24,1228.24,0,EQ,0,25,0
2025-03-19,1230.42,1242.52,1228.19,1236.47,16162399,EQ,129299192,25,323247
2025-03-20,1241.13,1262.10,1239.35,1258.28,15971477,EQ,127771816,25,319429
2025-03-21,1264.08,1270.03,1259.23,1265.42,21780769,EQ,174246152,25,435615
2025-03-24,1279.95,1294.82,1273.25,1290.95,20299319,EQ,162394552,25,405986
2025-03-25,1296.50,1296.50,1271.62,1274.44,13713899,EQ,109711192,25,274277
2025-03-26,1279.95,1282.72,1257.89,1262.15,12074747,EQ,96597976,25,241494
2025-03-27,1267.21,1274.00,1260.42,1267.26,15028056,EQ,120224448,25,300561
2025-03-28,1269.04,1284.66,1258.13,1264.18,18147129,EQ,145177032,25,362942
2025-04-01,1253.77,1266.96,1238.60,1241.88,12099648,EQ,96797184,25,241992
2025-04-02,1236.87,1244.80,1233.25,1240.44,10142590,EQ,81140720,25,202851
2025-04-03,1222.49,1241.08,1222.49,1238.01,7434366,EQ,59474928,25,148687
2025-04-04,1230.47,1234.79,1182.93,1194.39,17908652,EQ,143269216,25,358173
2025-04-07,1122.51,1161.22,1105.30,1155.72,22156106,EQ,177248848,25,443122
2025-04-08,1161.97,1186.35,1153.34,1172.08,19555040,EQ,156440320,25,391100
2025-04-09,1159.49,1179.61,1158.00,1175.20,10223104,EQ,81784832,25,204462
2025-04-11,1184.92,1212.18,1184.92,1208.51,11224242,EQ,89793936,25,224484
2025-04-15,1240.29,1240.29,1226.51,1229.48,13378535,EQ,107028280,25,267570
2025-04-16,1223.53,1230.28,1218.48,1228.69,8248464,EQ,65987712,25,164969
2025-04-17,1229.58,1269.24,1217.09,1263.59,15398401,EQ,123187208,25,307968
2025-04-21,1259.13,1289.76,1256.15,1284.41,10429964,EQ,83439712,25,208599
2025-04-22,1288.87,1292.74,1275.29,1280.14,13051707,EQ,104413656,25,261034
2025-04-23,1285.90,1294.82,1274.39,1288.87,10480888,EQ,83847104,25,209617
2025-04-24,1281.33,1293.33,1279.25,1290.46,10468940,EQ,83751520,25,209378
2025-04-25,1292.34,1313.85,1277.07,1289.27,14431012,EQ,115448096,25,288620
2025-04-28,1328.53,1362.83,1308.90,1357.08,31104496,EQ,248835968,25,622089
2025-04-29,1359.26,1398.82,1358.27,1387.72,32538970,EQ,260311760,25,650779
2025-04-30,1390.00,1400.31,1357.28,1392.97,25480745,EQ,203845960,25,509614
2025-05-02,1401.89,1414.48,1397.04,1407.64,13007841,EQ,104062728,25,260156
2025-05-05,1418.75,1427.18,1414.68,1419.05,12685649,EQ,101485192,25,253712
2025-05-06,1418.75,1419.74,1398.52,1408.73,14084117,EQ,112672936,25,281682
2025-05-07,1408.73,1412.20,1390.69,1393.96,13440169,EQ,107521352,25,268803
2025-05-08,1392.08,1408.64,1386.03,1394.95,16106175,EQ,128849400,25,322123
2025-05-09,1373.64,1382.86,1362.73,1365.41,13668904,EQ,109351232,25,273378
2025-05-12,1388.01,1426.68,1388.01,1424.20,10674081,EQ,85392648,25,213481
2025-05-13,1421.23,1435.30,1400.31,1403.58,11407896,EQ,91263168,25,228157
2025-05-14,1407.84,1417.66,1403.38,1412.20,5570160,EQ,44561280,25,111403
