date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,322.98,338.80,316.74,333.53,1712945,EQ,13703560,25,34258
2024-09-02,337.98,338.32,328.10,330.87,769775,EQ,6158200,25,15395
2024-09-03,334.80,334.80,329.00,331.52,946870,EQ,7574960,25,18937
2024-09-04,331.80,338.80,330.00,336.74,1310540,EQ,10484320,25,26210
2024-09-05,351.00,364.40,329.00,332.05,2582229,EQ,20657832,25,51644
2024-09-06,333.00,340.00,317.05,336.35,3767279,EQ,30138232,25,75345
2024-09-09,331.35,332.00,320.65,326.60,1110663,EQ,8885304,25,22213
2024-09-10,322.00,341.00,322.00,338.60,1900540,EQ,15204320,25,38010
2024-09-11,339.90,340.90,333.10,335.20,477343,EQ,3818744,25,9546
2024-09-12,336.65,337.75,328.00,328.55,176209,EQ,1409672,25,3524
2024-09-13,330.00,334.70,327.05,328.25,245207,EQ,1961656,25,4904
2024-09-16,332.00,333.05,323.00,328.25,239140,EQ,1913120,25,4782
2024-09-17,333.00,334.95,326.30,333.00,255522,EQ,2044176,25,5110
2024-09-18,333.10,339.95,331.00,338.10,587602,EQ,4700816,25,11752
2024-09-19,345.00,345.00,335.20,338.20,742590,EQ,5940720,25,14851
2024-09-20,339.80,359.30,337.10,347.15,1464470,EQ,11715760,25,29289
2024-09-23,353.65,360.95,347.95,352.50,808900,EQ,6471200,25,16178
2024-09-24,352.50,401.00,348.00,376.45,11379551,EQ,91036408,25,227591
2024-09-25,373.00,373.70,358.95,370.60,1117332,EQ,8938656,25,22346
2024-09-26,367.50,391.70,358.45,381.60,3046595,EQ,24372760,25,60931
2024-09-27,380.95,382.40,370.10,372.75,1014664,EQ,8117312,25,20293
2024-09-30,372.70,372.70,354.05,357.15,1047473,EQ,8379784,25,20949
2024-10-01,357.00,362.50,352.30,358.50,384672,EQ,3077376,25,7693
2024-10-03,353.00,358.60,347.85,350.55,686175,EQ,5489400,25,13723
2024-10-04,350.00,371.75,343.30,350.45,3875492,EQ,31003936,25,77509
2024-10-07,352.10,354.70,345.45,347.80,438581,EQ,3508648,25,8771
2024-10-08,347.80,352.10,343.20,349.50,857543,EQ,6860344,25,17150
2024-10-09,354.65,356.25,348.35,353.20,263931,EQ,2111448,25,5278
2024-10-10,354.00,360.10,346.10,357.45,339971,EQ,2719768,25,6799
2024-10-11,357.45,374.95,357.45,371.00,1073865,EQ,8590920,25,21477
2024-10-14,372.20,372.55,350.20,356.65,603936,EQ,4831488,25,12078
2024-10-15,358.15,358.95,354.15,357.50,269140,EQ,2153120,25,5382
2024-10-16,361.00,361.00,354.00,356.45,196905,EQ,1575240,25,3938
2024-10-17,358.70,358.70,347.65,350.25,1036010,EQ,8288080,25,20720
2024-10-18,350.00,351.00,341.05,347.15,207889,EQ,1663112,25,4157
2024-10-21,345.20,350.30,342.55,345.00,133968,EQ,1071744,25,2679
2024-10-22,340.25,343.75,335.35,339.05,275250,EQ,2202000,25,5505
2024-10-23,333.95,341.15,329.20,331.60,314511,EQ,2516088,25,6290
2024-10-24,331.00,333.90,323.15,330.00,646525,EQ,5172200,25,12930
2024-10-25,330.00,334.45,321.20,323.85,379515,EQ,3036120,25,7590
2024-10-28,322.40,359.75,315.30,342.35,779996,EQ,6239968,25,15599
2024-10-29,333.55,337.05,311.60,324.85,1975369,EQ,15802952,25,39507
2024-10-30,321.35,331.90,320.35,324.85,203698,EQ,1629584,25,4073
2024-10-31,324.00,324.00,319.55,321.00,788260,EQ,6306080,25,15765
2024-11-01,323.00,327.00,322.85,324.90,20757,EQ,166056,25,415
2024-11-04,320.10,324.00,308.05,312.90,793143,EQ,6345144,25,15862
2024-11-05,312.90,334.35,310.55,321.25,894930,EQ,7159440,25,17898
2024-11-06,322.00,323.50,315.10,320.00,462318,EQ,3698544,25,9246
2024-11-07,320.20,322.00,314.50,317.90,212429,EQ,1699432,25,4248
2024-11-08,320.00,323.95,314.80,320.80,213884,EQ,1711072,25,4277
2024-11-11,321.10,321.10,312.00,314.90,133654,EQ,1069232,25,2673
2024-11-12,315.00,317.70,311.90,316.05,298023,EQ,2384184,25,5960
2024-11-13,315.00,316.05,303.40,308.95,268749,EQ,2149992,25,5374
2024-11-14,305.55,312.10,302.60,307.05,215286,EQ,1722288,25,4305
2024-11-18,303.05,307.95,299.80,305.50,105149,EQ,841192,25,2102
2024-11-19,302.50,311.15,302.50,306.30,168380,EQ,1347040,25,3367
2024-11-21,308.85,308.85,297.05,300.95,280917,EQ,2247336,25,5618
2024-11-22,300.95,302.40,298.10,300.40,256140,EQ,2049120,25,5122
2024-11-25,303.15,320.20,301.55,312.60,469707,EQ,3757656,25,9394
2024-11-26,309.45,319.75,308.60,316.75,153541,EQ,1228328,25,3070
2024-11-27,322.85,326.00,315.70,324.45,326649,EQ,2613192,25,6532
2024-11-28,323.70,328.15,320.00,325.30,130250,EQ,1042000,25,2605
2024-11-29,324.30,336.60,323.80,326.20,589974,EQ,4719792,25,11799
2024-12-02,329.85,331.55,321.40,325.40,152695,EQ,1221560,25,3053
2024-12-03,322.55,341.90,322.55,338.10,596239,EQ,4769912,25,11924
2024-12-04,333.70,348.20,333.70,341.05,405512,EQ,3244096,25,8110
2024-12-05,342.40,355.50,340.05,342.85,529917,EQ,4239336,25,10598
2024-12-06,340.00,351.95,340.00,350.20,169213,EQ,1353704,25,3384
2024-12-09,350.55,351.95,338.50,340.70,395905,EQ,3167240,25,7918
2024-12-10,340.00,340.00,325.10,329.70,947315,EQ,7578520,25,18946
2024-12-11,329.95,332.60,322.90,325.40,162543,EQ,1300344,25,3250
2024-12-12,322.10,325.35,318.35,319.85,387805,EQ,3102440,25,7756
2024-12-13,316.50,319.90,309.45,312.30,275497,EQ,2203976,25,5509
2024-12-16,311.00,318.70,308.85,317.40,367127,EQ,2937016,25,7342
2024-12-17,318.50,321.30,309.50,314.30,206656,EQ,1653248,25,4133
2024-12-18,315.00,317.20,308.25,309.50,85845,EQ,686760,25,1716
2024-12-19,306.70,311.05,302.00,308.15,434510,EQ,3476080,25,8690
2024-12-20,305.55,318.15,305.55,311.75,407861,EQ,3262888,25,8157
2024-12-23,312.00,325.95,308.00,319.85,1140660,EQ,9125280,25,22813
2024-12-24,319.85,333.80,319.80,324.75,535764,EQ,4286112,25,10715
2024-12-26,326.50,327.95,319.80,321.25,92957,EQ,743656,25,1859
2024-12-27,322.90,333.00,321.50,330.65,281008,EQ,2248064,25,5620
2024-12-30,330.05,337.00,325.55,332.65,332018,EQ,2656144,25,6640
2024-12-31,332.65,338.75,321.15,329.50,365274,EQ,2922192,25,7305
2025-01-01,333.00,350.00,330.85,345.65,422687,EQ,3381496,25,8453
2025-01-02,345.05,351.00,337.30,341.50,283644,EQ,2269152,25,5672
2025-01-03,341.30,371.35,341.30,348.85,4207246,EQ,33657968,25,84144
2025-01-06,349.05,374.65,348.05,354.40,3063847,EQ,24510776,25,61276
2025-01-07,356.50,362.90,351.30,354.45,555067,EQ,4440536,25,11101
2025-01-08,352.00,353.90,335.85,339.60,473682,EQ,3789456,25,9473
2025-01-09,339.60,347.15,334.90,343.90,268914,EQ,2151312,25,5378
2025-01-10,345.70,345.70,327.00,328.65,215196,EQ,1721568,25,4303
2025-01-13,328.65,328.65,315.20,320.90,530674,EQ,4245392,25,10613
2025-01-14,320.00,333.85,314.50,325.80,448350,EQ,3586800,25,8967
2025-01-15,330.70,335.45,320.15,331.35,500476,EQ,4003808,25,10009
2025-01-16,330.50,332.95,319.00,323.50,306570,EQ,2452560,25,6131
2025-01-17,322.80,324.00,314.90,318.05,183261,EQ,1466088,25,3665
2025-01-20,315.20,319.80,310.40,314.25,243048,EQ,1944384,25,4860
2025-01-21,314.25,323.90,310.65,312.15,82593,EQ,660744,25,1651
2025-01-22,312.20,319.85,307.80,310.20,718453,EQ,5747624,25,14369
2025-01-23,311.25,315.25,303.30,305.30,294864,EQ,2358912,25,5897
2025-01-24,302.75,311.15,301.60,305.35,182932,EQ,1463456,25,3658
2025-01-27,306.95,306.95,291.10,295.20,185530,EQ,1484240,25,3710
2025-01-28,295.95,296.95,283.70,286.95,395519,EQ,3164152,25,7910
2025-01-29,286.00,296.00,284.65,289.95,150002,EQ,1200016,25,3000
2025-01-30,289.95,295.00,286.40,290.05,125615,EQ,1004920,25,2512
2025-01-31,291.60,299.00,284.00,289.60,545170,EQ,4361360,25,10903
2025-02-01,291.05,321.90,287.50,315.75,1583581,EQ,12668648,25,31671
2025-02-03,305.00,346.00,292.90,326.80,4994203,EQ,39953624,25,99884
2025-02-04,321.00,326.40,312.00,319.05,703180,EQ,5625440,25,14063
2025-02-05,323.75,324.60,315.20,318.50,318734,EQ,2549872,25,6374
2025-02-06,319.00,331.40,311.65,317.85,756341,EQ,6050728,25,15126
2025-02-07,319.00,332.00,299.00,323.15,812371,EQ,6498968,25,16247
2025-02-10,323.80,327.70,308.85,311.75,503143,EQ,4025144,25,10062
2025-02-11,313.00,315.60,302.00,303.80,783699,EQ,6269592,25,15673
2025-02-12,298.10,310.80,291.75,296.60,327796,EQ,2622368,25,6555
2025-02-13,296.70,307.75,292.30,296.50,329129,EQ,2633032,25,6582
2025-02-14,297.00,306.40,295.60,299.85,685881,EQ,5487048,25,13717
2025-02-17,299.05,304.00,284.85,298.00,350439,EQ,2803512,25,7008
2025-02-18,301.00,314.65,294.55,307.05,243799,EQ,1950392,25,4875
2025-02-19,299.75,311.00,299.70,308.85,416576,EQ,3332608,25,8331
2025-02-20,309.00,321.10,304.00,317.45,623073,EQ,4984584,25,12461
2025-02-21,316.80,333.60,316.75,326.35,468758,EQ,3750064,25,9375
2025-02-24,325.00,331.20,310.20,311.70,386550,EQ,3092400,25,7731
2025-02-25,313.70,328.00,312.50,320.45,672248,EQ,5377984,25,13444
2025-02-27,318.25,323.85,302.40,307.55,263570,EQ,2108560,25,5271
2025-02-28,309.85,315.00,300.15,310.25,474180,EQ,3793440,25,9483
2025-03-03,310.15,328.00,301.10,326.05,452089,EQ,3616712,25,9041
2025-03-04,320.00,323.10,313.45,319.90,1569378,EQ,12555024,25,31387
2025-03-05,316.70,323.85,307.30,310.10,328595,EQ,2628760,25,6571
2025-03-06,314.30,346.00,312.80,326.30,5784420,EQ,46275360,25,115688
2025-03-07,322.80,341.45,317.50,337.75,805282,EQ,6442256,25,16105
2025-03-10,336.85,336.85,321.00,326.40,306566,EQ,2452528,25,6131
2025-03-11,315.25,330.00,297.05,323.05,1810873,EQ,14486984,25,36217
2025-03-12,325.50,329.90,308.85,314.75,410430,EQ,3283440,25,8208
2025-03-13,316.70,317.50,301.20,304.15,575841,EQ,4606728,25,11516
2025-03-17,307.75,310.55,294.00,296.10,468248,EQ,3745984,25,9364
2025-03-18,296.10,296.10,296.10,296.10,0,EQ,0,25,0
2025-03-19,311.00,314.55,303.50,305.40,394586,EQ,3156688,25,7891
2025-03-20,306.90,313.10,298.65,299.55,500791,EQ,4006328,25,10015
2025-03-21,300.45,319.50,299.25,313.95,1128009,EQ,9024072,25,22560
2025-03-24,311.15,318.95,306.15,307.40,431299,EQ,3450392,25,8625
2025-03-25,307.15,310.80,294.50,300.60,556972,EQ,4455776,25,11139
2025-03-26,302.00,302.00,288.45,290.15,883796,EQ,7070368,25,17675
2025-03-27,294.80,307.75,288.00,299.00,1105113,EQ,8840904,25,22102
2025-03-28,297.75,302.80,291.95,294.45,406390,EQ,3251120,25,8127
2025-04-01,295.10,297.75,289.95,293.55,380096,EQ,3040768,25,7601
2025-04-02,294.00,302.40,293.20,298.50,216447,EQ,1731576,25,4328
2025-04-03,293.15,305.20,293.15,304.20,122576,EQ,980608,25,2451
2025-04-04,300.05,309.00,291.30,295.05,624918,EQ,4999344,25,12498
2025-04-07,285.55,294.30,275.80,292.25,171198,EQ,1369584,25,3423
2025-04-08,295.10,299.60,287.45,291.10,267061,EQ,2136488,25,5341
2025-04-09,287.90,294.40,287.90,293.00,152544,EQ,1220352,25,3050
2025-04-11,295.00,306.80,294.55,305.30,322516,EQ,2580128,25,6450
2025-04-15,310.50,316.00,305.90,307.85,313882,EQ,2511056,25,6277
2025-04-16,305.00,309.85,302.55,308.15,162449,EQ,1299592,25,3248
2025-04-17,305.00,310.25,302.35,303.30,188153,EQ,1505224,25,3763
2025-04-21,304.05,316.90,304.05,315.75,318343,EQ,2546744,25,6366
2025-04-22,317.00,324.00,313.35,322.10,202991,EQ,1623928,25,4059
2025-04-23,323.00,341.30,312.00,338.75,511424,EQ,4091392,25,10228
2025-04-24,333.45,341.90,331.50,340.05,300040,EQ,2400320,25,6000
2025-04-25,335.95,339.90,321.20,324.65,155193,EQ,1241544,25,3103
2025-04-28,320.55,325.65,318.40,320.45,78348,EQ,626784,25,1566
2025-04-29,319.50,326.35,316.65,320.40,179297,EQ,1434376,25,3585
2025-04-30,322.00,324.85,315.05,316.50,205241,EQ,1641928,25,4104
2025-05-02,316.50,326.75,312.40,320.45,235340,EQ,1882720,25,4706
2025-05-05,319.70,324.00,313.45,316.15,83391,EQ,667128,25,1667
2025-05-06,316.00,319.05,313.20,314.85,137858,EQ,1102864,25,2757
2025-05-07,306.00,319.70,299.00,310.75,856996,EQ,6855968,25,17139
2025-05-08,306.60,312.90,297.00,299.80,1402682,EQ,11221456,25,28053
2025-05-09,290.10,304.95,290.10,300.10,2732819,EQ,21862552,25,54656
2025-05-12,306.15,314.40,304.30,306.30,240710,EQ,1925680,25,4814
2025-05-13,308.75,313.20,301.05,304.20,308076,EQ,2464608,25,6161
2025-05-14,307.25,310.20,304.00,306.00,557523,EQ,4460184,25,11150
2025-05-15,309.70,310.70,304.65,307.25,332537,EQ,2660296,25,6650
2025-05-16,308.70,334.00,306.15,331.00,1512764,EQ,12102112,25,30255
2025-05-19,331.00,338.95,324.85,327.65,636776,EQ,5094208,25,12735
2025-05-20,331.40,340.00,327.40,329.20,348598,EQ,2788784,25,6971
2025-05-21,330.00,333.00,319.00,321.45,137321,EQ,1098568,25,2746
2025-05-22,320.70,324.45,313.50,316.10,204802,EQ,1638416,25,4096
2025-05-23,315.00,323.45,314.40,319.30,73019,EQ,584152,25,1460
2025-05-26,318.60,336.45,318.60,323.30,544244,EQ,4353952,25,10884
2025-05-27,325.90,328.00,315.25,316.75,281727,EQ,2253816,25,5634
2025-05-28,319.30,319.30,310.50,311.85,249978,EQ,1999824,25,4999
2025-05-29,311.95,319.05,310.20,317.65,161944,EQ,1295552,25,3238
2025-05-30,318.60,320.55,315.45,318.10,163710,EQ,1309680,25,3274
2025-06-02,320.00,321.70,315.00,317.65,117657,EQ,941256,25,2353
2025-06-03,319.60,322.60,308.20,310.65,238769,EQ,1910152,25,4775
2025-06-04,311.00,320.80,311.00,316.60,342703,EQ,2741624,25,6854
2025-06-05,319.00,329.75,318.15,326.35,355416,EQ,2843328,25,7108
2025-06-06,327.95,334.20,326.75,332.50,302638,EQ,2421104,25,6052
2025-06-09,333.30,343.25,323.75,326.65,357150,EQ,2857200,25,7143
2025-06-10,328.25,331.50,317.40,319.10,220847,EQ,1766776,25,4416
2025-06-11,319.50,322.20,314.00,317.05,125525,EQ,1004200,25,2510
2025-06-12,320.20,322.00,314.85,320.50,160716,EQ,1285728,25,3214
2025-06-13,315.25,324.60,312.40,321.50,186248,EQ,1489984,25,3724
2025-06-16,323.65,324.80,315.75,317.65,370089,EQ,2960712,25,7401
2025-06-17,319.60,322.70,315.95,321.60,309810,EQ,2478480,25,6196
2025-06-18,324.40,329.40,320.10,326.05,799168,EQ,6393344,25,15983
2025-06-19,329.00,339.95,323.80,324.50,1220718,EQ,9765744,25,24414
2025-06-20,321.25,334.90,314.10,325.20,1284421,EQ,10275368,25,25688
2025-06-23,325.00,332.50,320.55,330.60,233235,EQ,1865880,25,4664
2025-06-24,334.00,334.85,322.70,326.25,208294,EQ,1666352,25,4165
2025-06-25,330.00,330.00,326.05,328.65,260851,EQ,2086808,25,5217
2025-06-26,329.60,329.60,324.15,328.00,174398,EQ,1395184,25,3487
2025-06-27,328.80,330.50,326.00,327.85,117090,EQ,936720,25,2341
2025-06-30,331.00,331.15,326.50,328.80,104055,EQ,832440,25,2081
2025-07-01,328.70,331.90,325.40,327.10,97880,EQ,783040,25,1957
2025-07-02,325.10,327.30,318.60,320.70,205192,EQ,1641536,25,4103
2025-07-03,320.00,322.80,319.30,320.55,73431,EQ,587448,25,1468
2025-07-04,329.80,355.00,329.80,336.75,26526181,EQ,212209448,25,530523
2025-07-07,333.00,338.70,328.35,335.25,969415,EQ,7755320,25,19388
2025-07-08,335.25,341.40,332.10,338.10,696261,EQ,5570088,25,13925
2025-07-09,337.00,341.30,333.65,337.50,300635,EQ,2405080,25,6012
2025-07-10,337.50,339.60,332.20,337.65,209563,EQ,1676504,25,4191
2025-07-11,335.05,337.20,325.00,330.85,267901,EQ,2143208,25,5358
2025-07-14,330.95,333.85,328.05,330.70,112119,EQ,896952,25,2242
2025-07-15,330.30,335.65,330.30,333.35,85632,EQ,685056,25,1712
2025-07-16,336.00,336.10,333.00,333.90,170441,EQ,1363528,25,3408
2025-07-17,336.90,349.80,333.85,342.50,478648,EQ,3829184,25,9572
2025-07-18,342.50,368.00,338.00,342.10,4645546,EQ,37164368,25,92910
2025-07-21,342.80,342.80,331.70,334.55,207926,EQ,1663408,25,4158
2025-07-22,337.90,339.45,328.65,335.35,140552,EQ,1124416,25,2811
2025-07-23,339.60,356.75,320.25,344.20,6778952,EQ,54231616,25,135579
2025-07-24,337.00,347.00,333.00,342.15,628558,EQ,5028464,25,12571
2025-07-25,338.50,338.50,327.60,331.15,326489,EQ,2611912,25,6529
2025-07-28,333.00,339.55,325.25,337.40,306810,EQ,2454480,25,6136
2025-07-29,334.15,334.20,323.70,326.05,393308,EQ,3146464,25,7866
2025-07-30,328.00,329.20,319.30,321.15,134463,EQ,1075704,25,2689
2025-07-31,320.00,324.25,312.35,316.60,369401,EQ,2955208,25,7388
2025-08-01,317.50,326.45,316.80,319.65,217298,EQ,1738384,25,4345
2025-08-04,319.00,321.55,312.70,317.05,319817,EQ,2558536,25,6396
2025-08-05,319.50,319.75,309.25,310.95,103806,EQ,830448,25,2076
2025-08-06,310.00,312.45,299.20,305.15,232100,EQ,1856800,25,4642
2025-08-07,303.00,322.30,293.60,317.40,1118763,EQ,8950104,25,22375
2025-08-08,318.50,323.00,309.95,318.30,508838,EQ,4070704,25,10176
2025-08-11,314.95,326.00,310.30,323.60,181243,EQ,1449944,25,3624
2025-08-12,323.80,325.50,317.95,322.65,128304,EQ,1026432,25,2566
2025-08-13,322.65,324.40,313.70,315.35,274653,EQ,2197224,25,5493
2025-08-14,315.90,316.65,303.30,306.30,192865,EQ,1542920,25,3857
2025-08-18,311.00,318.90,307.50,314.30,177797,EQ,1422376,25,3555
2025-08-19,312.10,328.00,312.10,326.20,166190,EQ,1329520,25,3323
2025-08-20,326.15,329.20,321.50,325.75,249443,EQ,1995544,25,4988
2025-08-21,329.90,333.00,326.00,328.45,170387,EQ,1363096,25,3407
2025-08-22,329.70,330.75,325.70,327.00,48059,EQ,384472,25,961
2025-08-25,326.35,329.80,325.05,326.55,82276,EQ,658208,25,1645
2025-08-26,328.85,328.90,323.00,323.80,197296,EQ,1578368,25,3945
2025-08-28,323.50,326.00,318.00,319.45,130760,EQ,1046080,25,2615
2025-08-29,320.35,328.50,317.80,327.05,151247,EQ,1209976,25,3024
2025-09-01,329.45,329.45,322.35,325.50,68521,EQ,548168,25,1370
2025-09-02,337.65,337.65,316.00,320.30,156154,EQ,1249232,25,3123
2025-09-03,320.45,326.00,320.45,323.15,50235,EQ,401880,25,1004
2025-09-04,323.00,347.90,321.05,326.00,2106888,EQ,16855104,25,42137
2025-09-05,326.00,328.60,319.35,321.25,120067,EQ,960536,25,2401
2025-09-08,321.40,324.70,315.35,319.85,256780,EQ,2054240,25,5135
2025-09-09,320.20,324.75,319.10,320.80,2999803,EQ,23998424,25,59996
2025-09-10,324.00,338.00,324.00,332.20,1782161,EQ,14257288,25,35643
2025-09-11,332.90,336.70,328.70,331.50,1164731,EQ,9317848,25,23294
2025-09-12,331.10,333.80,326.30,328.80,231984,EQ,1855872,25,4639
2025-09-15,329.45,333.30,327.00,327.85,198302,EQ,1586416,25,3966
2025-09-16,329.55,329.55,325.50,326.45,125080,EQ,1000640,25,2501
2025-09-17,326.50,330.75,320.00,321.35,848313,EQ,6786504,25,16966
2025-09-18,324.95,324.95,319.55,323.10,221584,EQ,1772672,25,4431
2025-09-19,324.35,324.35,315.00,318.30,628941,EQ,5031528,25,12578
2025-09-22,314.10,318.85,312.00,312.70,228716,EQ,1829728,25,4574
2025-09-23,315.00,315.50,302.35,306.00,412452,EQ,3299616,25,8249
2025-09-24,305.15,311.00,304.30,307.85,410850,EQ,3286800,25,8217
2025-09-25,308.00,313.00,307.00,308.05,185894,EQ,1487152,25,3717
2025-09-26,309.00,309.00,298.50,301.10,276718,EQ,2213744,25,5534
2025-09-29,301.20,305.60,291.60,293.45,271879,EQ,2175032,25,5437
2025-09-30,296.00,298.80,292.15,293.80,180627,EQ,1445016,25,3612
2025-10-01,296.00,298.35,290.70,296.40,167932,EQ,1343456,25,3358
2025-10-03,297.00,299.90,292.00,293.70,774444,EQ,6195552,25,15488
2025-10-06,293.65,297.40,289.05,295.70,312450,EQ,2499600,25,6249
2025-10-07,297.30,297.30,290.00,290.90,116257,EQ,930056,25,2325
2025-10-08,291.00,295.85,288.30,293.40,129155,EQ,1033240,25,2583
2025-10-09,296.00,296.00,286.00,286.65,193890,EQ,1551120,25,3877
2025-10-10,288.00,288.20,277.30,279.20,458184,EQ,3665472,25,9163
2025-10-13,277.00,284.95,271.40,278.65,385989,EQ,3087912,25,7719
2025-10-14,280.00,281.90,274.80,276.70,264969,EQ,2119752,25,5299
2025-10-15,277.80,282.25,273.55,280.30,443144,EQ,3545152,25,8862
2025-10-16,280.30,293.20,277.25,287.75,466807,EQ,3734456,25,9336
2025-10-17,285.00,293.00,284.40,288.35,512435,EQ,4099480,25,10248
2025-10-20,288.00,290.05,285.95,286.75,287936,EQ,2303488,25,5758
2025-10-21,289.95,299.00,289.75,294.55,146779,EQ,1174232,25,2935
2025-10-23,295.95,298.95,289.25,290.00,287268,EQ,2298144,25,5745
2025-10-24,290.00,290.90,284.15,286.40,118868,EQ,950944,25,2377
2025-10-27,288.85,296.50,282.70,284.30,377183,EQ,3017464,25,7543
2025-10-28,285.80,288.50,279.25,279.90,450432,EQ,3603456,25,9008
2025-10-29,280.95,295.00,278.10,291.45,1879147,EQ,15033176,25,37582
2025-10-30,295.00,310.50,295.00,301.40,4258793,EQ,34070344,25,85175
2025-10-31,304.60,304.60,283.20,286.05,1004593,EQ,8036744,25,20091
2025-11-03,283.00,288.00,283.00,286.40,409980,EQ,3279840,25,8199
2025-11-04,287.95,287.95,281.25,284.85,229465,EQ,1835720,25,4589
2025-11-06,284.85,284.85,277.05,279.00,405062,EQ,3240496,25,8101
2025-11-07,276.30,284.50,267.25,270.30,551731,EQ,4413848,25,11034
2025-11-10,271.70,273.10,264.05,265.20,158977,EQ,1271816,25,3179
2025-11-11,265.00,266.60,251.85,255.50,1340859,EQ,10726872,25,26817
2025-11-12,255.00,258.20,252.00,253.00,388286,EQ,3106288,25,7765
2025-11-13,253.05,254.50,247.60,248.90,265997,EQ,2127976,25,5319
2025-11-14,247.70,248.30,241.80,245.80,367630,EQ,2941040,25,7352
2025-11-17,246.45,253.50,245.80,251.25,463062,EQ,3704496,25,9261
2025-11-18,254.05,264.90,247.25,262.15,2004361,EQ,16034888,25,40087
2025-11-19,263.50,265.05,258.20,263.15,1094980,EQ,8759840,25,21899
2025-11-20,263.15,263.45,258.15,261.75,318061,EQ,2544488,25,6361
2025-11-21,261.75,262.40,253.00,255.00,250460,EQ,2003680,25,5009
2025-11-24,256.00,256.90,251.65,254.55,311595,EQ,2492760,25,6231
2025-11-25,254.50,260.80,250.30,259.55,553365,EQ,4426920,25,11067
2025-11-26,257.45,259.70,251.25,254.50,345937,EQ,2767496,25,6918
2025-11-27,254.00,257.25,251.45,252.35,93378,EQ,747024,25,1867
2025-11-28,253.00,253.00,245.30,248.70,277117,EQ,2216936,25,5542
2025-12-01,250.00,250.00,245.42,246.44,131668,EQ,1053344,25,2633
2025-12-02,245.00,248.50,244.00,246.60,164641,EQ,1317128,25,3292
2025-12-03,247.55,258.20,245.01,256.14,514399,EQ,4115192,25,10287
2025-12-04,255.00,257.05,248.95,254.31,879863,EQ,7038904,25,17597
2025-12-05,250.50,250.50,244.00,244.92,524447,EQ,4195576,25,10488
2025-12-08,244.00,244.75,238.50,239.62,246373,EQ,1970984,25,4927
2025-12-09,240.20,240.82,232.03,236.67,652867,EQ,5222936,25,13057
