date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1833.91,1863.66,1830.97,1844.22,2125138,EQ,17001104,25,42502
2024-09-02,1844.22,1888.43,1842.98,1882.55,2522132,EQ,20177056,25,50442
2024-09-03,1883.79,1929.64,1875.57,1922.31,3457882,EQ,27663056,25,69157
2024-09-04,1903.73,1913.69,1896.10,1905.92,952279,EQ,7618232,25,19045
2024-09-05,1912.70,1912.70,1893.96,1901.58,947097,EQ,7576776,25,18941
2024-09-06,1891.86,1910.55,1883.24,1890.07,772396,EQ,6179168,25,15447
2024-09-09,1894.61,1926.50,1888.28,1895.50,1845859,EQ,14766872,25,36917
2024-09-10,1883.79,1883.79,1832.71,1847.36,2515665,EQ,20125320,25,50313
2024-09-11,1839.04,1864.90,1838.49,1853.04,630094,EQ,5040752,25,12601
2024-09-12,1856.88,1873.82,1834.55,1869.79,1126825,EQ,9014600,25,22536
2024-09-13,1862.86,1865.60,1835.70,1840.43,886112,EQ,7088896,25,17722
2024-09-16,1844.92,1858.67,1810.13,1815.27,1576652,EQ,12613216,25,31533
2024-09-17,1817.51,1838.24,1802.51,1813.17,844866,EQ,6758928,25,16897
2024-09-18,1812.23,1842.88,1809.09,1836.40,518691,EQ,4149528,25,10373
2024-09-19,1843.92,1853.89,1822.19,1834.90,776068,EQ,6208544,25,15521
2024-09-20,1843.92,1878.81,1838.94,1864.11,1512372,EQ,12098976,25,30247
2024-09-23,1875.82,1918.68,1873.82,1913.84,1022492,EQ,8179936,25,20449
2024-09-24,1920.77,1921.62,1848.51,1858.23,2608386,EQ,20867088,25,52167
2024-09-25,1867.54,1868.84,1835.00,1857.48,1395256,EQ,11162048,25,27905
2024-09-26,1866.85,1895.80,1862.36,1892.06,1396821,EQ,11174568,25,27936
2024-09-27,1892.06,1906.72,1867.74,1876.47,1678089,EQ,13424712,25,33561
2024-09-30,1885.78,1887.38,1832.21,1837.94,1473366,EQ,11786928,25,29467
2024-10-01,1834.15,1853.19,1818.31,1828.17,885515,EQ,7084120,25,17710
