date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,786.88,790.30,784.19,785.39,8911426,EQ,71291408,25,178228
2024-09-02,787.03,794.83,782.93,791.70,11813750,EQ,94510000,25,236275
2024-09-03,791.70,795.36,786.16,794.25,10548350,EQ,84386800,25,210967
2024-09-04,785.24,788.33,783.51,786.26,10789570,EQ,86316560,25,215791
2024-09-05,788.04,791.70,784.23,788.42,8395074,EQ,67160592,25,167901
2024-09-06,781.44,782.79,748.22,753.51,40220096,EQ,321760768,25,804401
2024-09-09,755.92,759.00,742.44,755.20,21322103,EQ,170576824,25,426442
2024-09-10,758.81,759.58,748.70,753.66,12824701,EQ,102597608,25,256494
2024-09-11,751.16,758.81,737.05,740.13,20060665,EQ,160485320,25,401213
2024-09-12,746.29,760.64,744.13,758.57,17578964,EQ,140631712,25,351579
2024-09-13,761.70,765.55,756.02,761.56,12950936,EQ,103607488,25,259018
2024-09-16,761.56,765.55,755.34,756.45,9553736,EQ,76429888,25,191074
2024-09-17,756.50,758.33,751.64,753.90,10665630,EQ,85325040,25,213312
2024-09-18,754.77,765.31,753.03,763.39,18324412,EQ,146595296,25,366488
2024-09-19,765.60,771.67,755.01,760.69,10645478,EQ,85163824,25,212909
2024-09-20,765.41,765.41,750.63,752.74,21372244,EQ,170977952,25,427444
2024-09-23,756.89,775.18,755.44,772.15,17309545,EQ,138476360,25,346190
2024-09-24,769.64,774.46,767.00,768.68,15180653,EQ,121445224,25,303613
2024-09-25,768.34,768.44,759.49,763.72,18465571,EQ,147724568,25,369311
2024-09-26,766.51,773.26,762.28,772.15,23198842,EQ,185590736,25,463976
2024-09-27,772.15,778.07,768.87,772.92,15193681,EQ,121549448,25,303873
2024-09-30,772.20,772.87,757.32,758.71,15484573,EQ,123876584,25,309691
2024-10-01,758.81,770.70,758.81,767.43,13280535,EQ,106244280,25,265610
2024-10-03,760.64,774.22,755.25,764.69,15944135,EQ,127553080,25,318882
2024-10-04,762.66,779.85,756.16,767.14,20097454,EQ,160779632,25,401949
2024-10-07,770.37,774.22,737.05,742.10,24267990,EQ,194143920,25,485359
2024-10-08,743.64,755.34,743.64,752.50,8560960,EQ,68487680,25,171219
2024-10-09,757.56,774.56,753.08,767.86,18758697,EQ,150069576,25,375173
2024-10-10,769.40,774.65,765.55,767.57,10241015,EQ,81928120,25,204820
2024-10-11,767.67,772.97,763.63,770.13,14322720,EQ,114581760,25,286454
2024-10-14,772.29,779.27,771.14,775.33,8967564,EQ,71740512,25,179351
2024-10-15,775.66,777.59,771.91,774.84,6252104,EQ,50016832,25,125042
2024-10-16,773.06,779.03,772.34,775.61,6494240,EQ,51953920,25,129884
2024-10-17,779.51,789.14,776.14,781.01,18580553,EQ,148644424,25,371611
2024-10-18,781.06,792.13,773.16,790.01,11704698,EQ,93637584,25,234093
2024-10-21,794.15,795.84,779.03,783.80,10359618,EQ,82876944,25,207192
2024-10-22,783.85,786.59,758.33,761.12,16645356,EQ,133162848,25,332907
2024-10-23,760.74,763.24,750.91,756.89,13866198,EQ,110929584,25,277323
2024-10-24,756.93,767.48,755.59,765.12,5607500,EQ,44860000,25,112150
2024-10-25,768.44,771.09,743.40,752.02,9717125,EQ,77737000,25,194342
2024-10-28,754.77,774.17,754.53,762.71,13757251,EQ,110058008,25,275145
2024-10-29,766.51,803.93,761.22,801.86,28274791,EQ,226198328,25,565495
