date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,24584.57,25328.62,24583.58,25249.45,83409,EQ,667272,25,1668
2024-09-02,25356.46,25514.90,25029.47,25195.25,60617,EQ,484936,25,1212
2024-09-03,25195.94,25467.79,25123.61,25274.81,45076,EQ,360608,25,901
2024-09-04,25168.20,25629.94,25123.95,25535.56,46475,EQ,371800,25,929
2024-09-05,25535.56,26040.17,25393.77,25428.05,45730,EQ,365840,25,914
2024-09-06,25651.74,25651.74,25050.33,25376.72,36981,EQ,295848,25,739
2024-09-09,25318.81,25615.03,25082.29,25563.16,21329,EQ,170632,25,426
2024-09-10,25711.20,25711.20,25416.96,25490.38,18493,EQ,147944,25,369
2024-09-11,25490.23,25613.99,25309.94,25380.34,30919,EQ,247352,25,618
2024-09-12,25416.91,25841.59,25389.21,25782.19,20307,EQ,162456,25,406
2024-09-13,25841.94,25906.10,25579.11,25646.89,22521,EQ,180168,25,450
2024-09-16,25763.71,25812.26,25274.91,25385.59,18917,EQ,151336,25,378
2024-09-17,25366.37,25443.26,25168.20,25204.96,13175,EQ,105400,25,263
2024-09-18,25217.74,25263.97,24681.78,24847.80,28048,EQ,224384,25,560
2024-09-19,24881.84,25096.11,24465.37,24704.17,20392,EQ,163136,25,407
2024-09-20,24771.85,25041.56,24525.12,24912.25,36895,EQ,295160,25,737
2024-09-23,24991.82,25858.79,24724.43,25721.20,33984,EQ,271872,25,679
2024-09-24,25722.04,25960.90,25536.01,25675.18,23216,EQ,185728,25,464
2024-09-25,25675.18,25816.18,25470.81,25667.25,22774,EQ,182192,25,455
2024-09-26,25663.69,25956.04,25528.38,25884.70,24898,EQ,199184,25,497
2024-09-27,25886.58,26307.70,25705.94,26008.36,64958,EQ,519664,25,1299
2024-09-30,25910.36,26206.88,25671.26,26068.80,36112,EQ,288896,25,722
2024-10-01,26151.64,26338.22,25960.20,26281.20,27911,EQ,223288,25,558
2024-10-03,26147.03,26455.24,25713.48,26019.55,29136,EQ,233088,25,582
2024-10-04,26129.44,26258.16,25628.95,25796.61,35441,EQ,283528,25,708
2024-10-07,25796.61,25929.19,25010.20,25144.86,29707,EQ,237656,25,594
2024-10-08,25074.07,25405.56,24888.67,25349.43,26091,EQ,208728,25,521
2024-10-09,25347.49,25347.49,24629.56,24747.12,55676,EQ,445408,25,1113
2024-10-10,24870.88,24966.95,24375.50,24416.92,34741,EQ,277928,25,694
2024-10-11,24326.95,24432.62,23998.92,24114.95,16368,EQ,130944,25,327
2024-10-14,24212.00,24373.52,23924.65,24347.95,15627,EQ,125016,25,312
2024-10-15,24426.03,24738.90,24356.67,24492.92,25592,EQ,204736,25,511
2024-10-16,24505.30,24505.30,24041.13,24216.51,14359,EQ,114872,25,287
2024-10-17,24277.40,24319.22,23830.52,24023.84,18593,EQ,148744,25,371
2024-10-18,23980.14,24152.55,23868.22,24103.26,6317,EQ,50536,25,126
2024-10-21,24098.45,24209.72,23780.82,24076.01,29725,EQ,237800,25,594
2024-10-22,23998.96,24621.23,23998.96,24211.41,59982,EQ,479856,25,1199
2024-10-23,24211.41,24617.27,24127.78,24484.74,38391,EQ,307128,25,767
2024-10-24,24412.75,25133.91,24375.50,24836.55,71701,EQ,573608,25,1434
2024-10-25,24940.30,24952.19,24494.01,24729.04,34088,EQ,272704,25,681
2024-10-28,24735.18,25019.56,24729.09,24827.48,15081,EQ,120648,25,301
2024-10-29,24964.08,25153.63,24758.07,25100.57,13388,EQ,107104,25,267
2024-10-30,24870.93,25275.61,24791.71,25119.99,24313,EQ,194504,25,486
2024-10-31,25115.18,25321.78,24742.71,24843.34,44337,EQ,354696,25,886
2024-11-01,25117.66,25119.65,24854.34,25010.70,609,EQ,4872,25,12
2024-11-04,25010.70,25168.20,24539.19,24638.38,12419,EQ,99352,25,248
2024-11-05,24643.03,24771.85,24376.49,24470.52,8774,EQ,70192,25,175
2024-11-06,24471.61,24870.93,24471.61,24780.91,6207,EQ,49656,25,124
2024-11-07,24801.08,24968.04,24480.92,24552.52,13470,EQ,107760,25,269
2024-11-08,24489.40,24622.27,24024.23,24309.11,17563,EQ,140504,25,351
