date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,4014.02,4038.43,3991.29,4012.33,1198532,EQ,9588256,25,23970
2024-09-02,4032.50,4042.54,3936.05,3946.26,452717,EQ,3621736,25,9054
2024-09-03,3961.63,3977.90,3920.30,3939.98,592777,EQ,4742216,25,11855
2024-09-04,3939.98,3966.66,3906.33,3934.15,359134,EQ,2873072,25,7182
2024-09-05,3952.32,3958.17,3887.15,3891.90,370346,EQ,2962768,25,7406
2024-09-06,3866.17,3899.93,3842.30,3850.07,471099,EQ,3768792,25,9421
2024-09-09,3847.54,3870.21,3785.11,3817.42,491146,EQ,3929168,25,9822
2024-09-10,3841.72,3867.91,3804.99,3831.77,393031,EQ,3144248,25,7860
2024-09-11,3840.41,3902.64,3820.65,3837.47,424370,EQ,3394960,25,8487
2024-09-12,3869.52,3878.94,3831.10,3873.39,263114,EQ,2104912,25,5262
2024-09-13,3888.29,3929.03,3880.17,3905.89,294560,EQ,2356480,25,5891
2024-09-16,3917.39,3943.58,3904.59,3907.38,122874,EQ,982992,25,2457
2024-09-17,3914.48,3943.58,3895.42,3937.12,168805,EQ,1350440,25,3376
2024-09-18,3958.14,3959.21,3903.42,3923.39,200604,EQ,1604832,25,4012
2024-09-19,3943.58,3983.60,3786.42,3914.86,616978,EQ,4935824,25,12339
2024-09-20,3930.11,3994.05,3907.12,3977.20,992735,EQ,7941880,25,19854
2024-09-23,4000.05,4051.24,3982.00,4038.70,367189,EQ,2937512,25,7343
2024-09-24,4038.70,4147.02,4033.81,4130.26,662603,EQ,5300824,25,13252
2024-09-25,4136.83,4204.33,4118.21,4177.58,895767,EQ,7166136,25,17915
2024-09-26,4196.79,4213.00,4068.79,4119.52,466136,EQ,3729088,25,9322
2024-09-27,4119.52,4263.15,4094.93,4246.38,918736,EQ,7349888,25,18374
2024-09-30,4245.97,4260.76,4178.80,4220.07,564906,EQ,4519248,25,11298
2024-10-01,4234.51,4394.70,4222.43,4372.40,880290,EQ,7042320,25,17605
2024-10-03,4337.48,4376.07,4252.09,4276.18,412768,EQ,3302144,25,8255
2024-10-04,4275.37,4289.08,4180.49,4218.24,473491,EQ,3787928,25,9469
2024-10-07,4252.58,4271.27,4060.64,4073.48,441247,EQ,3529976,25,8824
2024-10-08,4080.37,4307.35,4048.50,4291.17,568002,EQ,4544016,25,11360
2024-10-09,4292.83,4507.10,4286.95,4468.74,900194,EQ,7201552,25,18003
2024-10-10,4482.01,4505.20,4418.65,4474.29,372795,EQ,2982360,25,7455
2024-10-11,4476.19,4528.54,4399.35,4511.05,376068,EQ,3008544,25,7521
2024-10-14,4528.57,4531.48,4466.87,4496.79,275138,EQ,2201104,25,5502
2024-10-15,4543.42,4586.84,4484.19,4580.99,597918,EQ,4783344,25,11958
2024-10-16,4580.99,4732.24,4572.84,4648.66,1656751,EQ,13254008,25,33135
2024-10-17,4648.66,4656.63,4453.08,4492.28,662574,EQ,5300592,25,13251
2024-10-18,4493.71,4572.00,4403.43,4541.96,467830,EQ,3742640,25,9356
2024-10-21,4563.50,4582.97,4338.85,4354.88,385957,EQ,3087656,25,7719
2024-10-22,4354.88,4354.88,4197.28,4213.49,791353,EQ,6330824,25,15827
2024-10-23,4213.09,4235.58,3987.79,4000.08,812625,EQ,6501000,25,16252
2024-10-24,4015.76,4058.22,3909.24,3986.08,788358,EQ,6306864,25,15767
2024-10-25,4004.70,4015.09,3874.40,3944.43,536329,EQ,4290632,25,10726
2024-10-28,3956.07,3997.25,3897.02,3929.82,468112,EQ,3744896,25,9362
2024-10-29,3952.32,4027.81,3882.47,4020.77,428213,EQ,3425704,25,8564
2024-10-30,4026.24,4082.00,3970.36,4033.84,333351,EQ,2666808,25,6667
2024-10-31,4022.17,4079.30,4022.17,4060.76,290668,EQ,2325344,25,5813
2024-11-01,4060.79,4079.76,4002.58,4044.92,30219,EQ,241752,25,604
2024-11-04,4078.57,4078.57,3948.36,4047.78,485353,EQ,3882824,25,9707
2024-11-05,4045.48,4073.39,3969.92,4049.90,447964,EQ,3583712,25,8959
2024-11-06,4073.97,4138.58,4038.84,4104.01,429473,EQ,3435784,25,8589
2024-11-07,4144.40,4162.42,4048.97,4117.31,344857,EQ,2758856,25,6897
2024-11-08,4125.77,4206.92,4080.08,4176.04,549978,EQ,4399824,25,10999
2024-11-11,4170.62,4179.33,4094.34,4101.36,369477,EQ,2955816,25,7389
2024-11-12,4109.45,4131.45,3944.75,3957.82,380642,EQ,3045136,25,7612
2024-11-13,3957.87,3972.69,3867.94,3902.58,365720,EQ,2925760,25,7314
2024-11-14,3902.26,3939.42,3833.72,3921.38,433749,EQ,3469992,25,8674
2024-11-18,3972.69,3979.29,3848.76,3865.12,240947,EQ,1927576,25,4818
2024-11-19,3890.03,3951.03,3858.92,3868.29,377552,EQ,3020416,25,7551
2024-11-21,3868.21,3906.91,3813.46,3865.96,368778,EQ,2950224,25,7375
2024-11-22,3879.24,4060.00,3870.24,3986.89,595041,EQ,4760328,25,11900
