date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1765.39,1794.84,1758.66,1788.46,3036374,EQ,24290992,25,60727
2024-09-02,1796.61,1803.53,1772.31,1782.86,1617946,EQ,12943568,25,32358
2024-09-03,1786.84,1806.03,1772.21,1778.50,2148689,EQ,17189512,25,42973
2024-09-04,1778.50,1801.57,1768.48,1799.46,2473477,EQ,19787816,25,49469
2024-09-05,1799.80,1810.31,1786.84,1793.22,1902919,EQ,15223352,25,38058
2024-09-06,1786.40,1816.29,1772.11,1791.31,1701134,EQ,13609072,25,34022
2024-09-09,1791.31,1801.96,1779.82,1788.66,1544883,EQ,12359064,25,30897
2024-09-10,1796.66,1808.69,1792.44,1802.89,1460472,EQ,11683776,25,29209
2024-09-11,1802.94,1823.66,1797.74,1812.07,1701900,EQ,13615200,25,34038
2024-09-12,1821.35,1837.40,1806.87,1831.41,2744070,EQ,21952560,25,54881
2024-09-13,1831.02,1831.02,1817.67,1819.98,1322430,EQ,10579440,25,26448
2024-09-16,1828.08,1839.22,1817.18,1829.01,1284085,EQ,10272680,25,25681
2024-09-17,1829.06,1835.59,1825.38,1832.10,738265,EQ,5906120,25,14765
2024-09-18,1833.97,1833.97,1796.27,1802.55,1202676,EQ,9621408,25,24053
2024-09-19,1811.58,1822.19,1801.57,1812.42,1675819,EQ,13406552,25,33516
2024-09-20,1817.37,1836.91,1808.34,1831.76,4229991,EQ,33839928,25,84599
2024-09-23,1832.98,1840.84,1823.66,1828.76,812520,EQ,6500160,25,16250
2024-09-24,1822.19,1846.39,1822.19,1834.06,2528953,EQ,20231624,25,50579
2024-09-25,1839.86,1841.82,1824.69,1836.47,956893,EQ,7655144,25,19137
2024-09-26,1836.47,1870.29,1833.03,1863.81,2452807,EQ,19622456,25,49056
2024-09-27,1883.01,1923.60,1880.36,1913.20,3809008,EQ,30472064,25,76180
2024-09-30,1913.49,1924.63,1886.05,1891.60,2608461,EQ,20867688,25,52169
2024-10-01,1889.78,1899.50,1867.69,1884.97,1275678,EQ,10205424,25,25513
2024-10-03,1866.17,1901.02,1861.51,1876.04,2492195,EQ,19937560,25,49843
2024-10-04,1876.04,1916.68,1868.97,1875.25,2798189,EQ,22385512,25,55963
2024-10-07,1875.25,1883.01,1853.65,1870.54,1691999,EQ,13535992,25,33839
2024-10-08,1869.31,1886.44,1866.91,1882.22,2309881,EQ,18479048,25,46197
2024-10-09,1860.03,1911.53,1859.98,1895.67,1597182,EQ,12777456,25,31943
2024-10-10,1894.44,1902.64,1849.58,1853.36,2383012,EQ,19064096,25,47660
2024-10-11,1864.40,1874.56,1856.06,1867.30,1019117,EQ,8152936,25,20382
2024-10-14,1868.33,1880.85,1860.57,1874.96,676879,EQ,5415032,25,13537
2024-10-15,1883.06,1885.41,1860.13,1863.86,1383203,EQ,11065624,25,27664
2024-10-16,1874.17,1879.82,1852.62,1863.91,1401914,EQ,11215312,25,28038
2024-10-17,1888.50,1888.60,1845.40,1855.12,1447059,EQ,11576472,25,28941
2024-10-18,1865.38,1882.96,1838.58,1875.54,1203693,EQ,9629544,25,24073
2024-10-21,1883.84,1885.56,1856.11,1862.44,660583,EQ,5284664,25,13211
2024-10-22,1857.53,1871.27,1846.73,1853.16,1192915,EQ,9543320,25,23858
2024-10-23,1845.80,1855.12,1798.62,1805.84,1673366,EQ,13386928,25,33467
2024-10-24,1796.66,1825.67,1796.12,1815.21,1739776,EQ,13918208,25,34795
2024-10-25,1822.97,1841.43,1816.39,1826.51,2148004,EQ,17184032,25,42960
2024-10-28,1829.25,1881.09,1801.57,1868.23,2445724,EQ,19565792,25,48914
2024-10-29,1886.98,1887.67,1828.08,1837.50,2295542,EQ,18364336,25,45910
2024-10-30,1834.46,1846.63,1786.84,1818.36,1900203,EQ,15201624,25,38004
2024-10-31,1826.11,1838.38,1808.54,1815.21,2572932,EQ,20583456,25,51458
2024-11-01,1826.11,1830.97,1798.18,1824.54,107596,EQ,860768,25,2151
2024-11-04,1811.39,1811.39,1728.03,1775.94,5031861,EQ,40254888,25,100637
2024-11-05,1772.11,1799.60,1766.67,1770.74,1658010,EQ,13264080,25,33160
2024-11-06,1782.47,1806.48,1769.37,1794.16,2060619,EQ,16484952,25,41212
2024-11-07,1811.39,1811.39,1746.39,1758.32,1909269,EQ,15274152,25,38185
2024-11-08,1767.01,1781.98,1758.32,1776.63,1644075,EQ,13152600,25,32881
2024-11-11,1784.29,1784.53,1759.30,1761.90,1069649,EQ,8557192,25,21392
2024-11-12,1769.07,1791.75,1762.39,1768.04,2471888,EQ,19775104,25,49437
2024-11-13,1758.37,1764.55,1738.19,1746.59,1810332,EQ,14482656,25,36206
2024-11-14,1747.28,1763.28,1731.03,1735.98,1473358,EQ,11786864,25,29467
2024-11-18,1766.22,1766.22,1711.44,1715.91,1533025,EQ,12264200,25,30660
2024-11-19,1698.53,1773.83,1698.48,1744.87,1933316,EQ,15466528,25,38666
2024-11-21,1739.72,1758.81,1726.02,1747.57,2014349,EQ,16114792,25,40286
2024-11-22,1752.48,1781.88,1735.84,1762.59,1420813,EQ,11366504,25,28416
2024-11-25,1773.10,1796.66,1751.64,1766.13,3137448,EQ,25099584,25,62748
2024-11-26,1773.83,1773.83,1721.26,1729.51,1589883,EQ,12719064,25,31797
2024-11-27,1728.03,1746.20,1708.54,1717.58,1982546,EQ,15860368,25,39650
2024-11-28,1717.58,1728.62,1692.00,1702.65,3071758,EQ,24574064,25,61435
2024-11-29,1711.15,1763.08,1707.51,1748.45,2427677,EQ,19421416,25,48553
2024-12-02,1767.21,1780.95,1759.50,1775.60,1948045,EQ,15584360,25,38960
2024-12-03,1797.89,1798.62,1755.77,1767.25,1543970,EQ,12351760,25,30879
2024-12-04,1777.51,1781.78,1752.48,1767.40,2320116,EQ,18560928,25,46402
2024-12-05,1775.75,1792.68,1743.05,1780.41,2742263,EQ,21938104,25,54845
2024-12-06,1782.77,1790.72,1768.19,1771.97,1590478,EQ,12723824,25,31809
2024-12-09,1781.74,1786.79,1763.97,1773.73,1528215,EQ,12225720,25,30564
2024-12-10,1787.82,1789.79,1763.28,1776.97,2043634,EQ,16349072,25,40872
2024-12-11,1791.06,1793.08,1772.16,1780.95,1745911,EQ,13967288,25,34918
2024-12-12,1785.86,1786.84,1765.29,1772.56,1082394,EQ,8659152,25,21647
2024-12-13,1771.87,1783.70,1741.73,1780.41,1391111,EQ,11128888,25,27822
2024-12-16,1785.56,1789.30,1759.69,1776.83,1483330,EQ,11866640,25,29666
2024-12-17,1777.02,1782.67,1750.61,1756.45,1608164,EQ,12865312,25,32163
2024-12-18,1765.24,1789.25,1760.14,1768.24,1732860,EQ,13862880,25,34657
2024-12-19,1768.19,1796.07,1758.17,1790.08,1924091,EQ,15392728,25,38481
2024-12-20,1790.08,1792.68,1761.41,1775.89,2513418,EQ,20107344,25,50268
2024-12-23,1778.01,1794.70,1763.92,1781.54,1299181,EQ,10393448,25,25983
2024-12-24,1781.83,1798.38,1770.30,1785.86,1121058,EQ,8968464,25,22421
2024-12-26,1786.84,1811.43,1781.34,1807.80,1402706,EQ,11221648,25,28054
2024-12-27,1811.88,1832.00,1803.29,1827.34,1668898,EQ,13351184,25,33377
2024-12-30,1828.13,1861.21,1821.20,1849.58,6021550,EQ,48172400,25,120431
2024-12-31,1842.61,1875.20,1834.75,1851.98,1844944,EQ,14759552,25,36898
2025-01-01,1855.47,1868.28,1844.42,1855.52,1338092,EQ,10704736,25,26761
2025-01-02,1857.53,1861.46,1830.97,1843.78,2507223,EQ,20057784,25,50144
2025-01-03,1843.78,1849.67,1810.40,1815.95,1515825,EQ,12126600,25,30316
2025-01-06,1816.79,1822.68,1792.39,1813.74,1397724,EQ,11181792,25,27954
2025-01-07,1814.87,1831.02,1812.02,1819.63,1615649,EQ,12925192,25,32312
2025-01-08,1828.66,1828.66,1795.87,1804.27,1298188,EQ,10385504,25,25963
2025-01-09,1807.46,1807.46,1780.95,1793.08,1199181,EQ,9593448,25,23983
2025-01-10,1792.19,1801.17,1740.45,1752.28,857827,EQ,6862616,25,17156
2025-01-13,1752.09,1753.02,1710.70,1715.07,1645287,EQ,13162296,25,32905
2025-01-14,1723.03,1751.55,1710.36,1738.59,1962645,EQ,15701160,25,39252
2025-01-15,1740.50,1742.66,1715.86,1724.84,857867,EQ,6862936,25,17157
2025-01-16,1742.71,1743.25,1709.08,1731.17,2180496,EQ,17443968,25,43609
2025-01-17,1746.59,1759.30,1735.40,1754.00,1163986,EQ,9311888,25,23279
2025-01-20,1756.75,1767.65,1736.08,1745.85,1341246,EQ,10729968,25,26824
2025-01-21,1739.81,1772.85,1727.44,1730.58,2489267,EQ,19914136,25,49785
