date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1176.26,1188.56,1176.26,1181.32,2550399,EQ,20403192,25,51007
2024-09-02,1181.18,1207.75,1178.42,1180.88,1852516,EQ,14820128,25,37050
2024-09-03,1190.04,1199.24,1177.54,1180.19,1884428,EQ,15075424,25,37688
2024-09-04,1177.29,1180.14,1156.57,1176.21,1633635,EQ,13069080,25,32672
2024-09-05,1180.68,1187.92,1167.05,1170.01,1062421,EQ,8499368,25,21248
2024-09-06,1169.37,1173.06,1150.42,1155.44,989655,EQ,7917240,25,19793
2024-09-09,1155.44,1177.19,1151.55,1173.35,1969830,EQ,15758640,25,39396
2024-09-10,1181.18,1193.92,1177.49,1185.26,1815998,EQ,14527984,25,36319
2024-09-11,1190.92,1199.88,1182.41,1185.51,1837013,EQ,14696104,25,36740
2024-09-12,1191.02,1206.72,1180.54,1203.57,2635403,EQ,21083224,25,52708
2024-09-13,1206.77,1207.75,1189.10,1191.32,1569211,EQ,12553688,25,31384
2024-09-16,1200.86,1204.55,1188.07,1199.39,984584,EQ,7876672,25,19691
2024-09-17,1203.82,1214.94,1193.14,1201.11,1450593,EQ,11604744,25,29011
2024-09-18,1201.11,1204.21,1175.27,1182.01,930896,EQ,7447168,25,18617
2024-09-19,1188.07,1206.38,1185.16,1196.19,2737652,EQ,21901216,25,54753
2024-09-20,1200.86,1211.64,1194.32,1197.76,3533125,EQ,28265000,25,70662
2024-09-23,1202.83,1214.30,1191.27,1192.55,2818001,EQ,22544008,25,56360
2024-09-24,1196.93,1208.64,1191.07,1192.64,3393528,EQ,27148224,25,67870
2024-09-25,1194.86,1196.93,1163.51,1170.94,2448744,EQ,19589952,25,48974
2024-09-26,1176.26,1197.91,1172.47,1194.42,2323705,EQ,18589640,25,46474
2024-09-27,1194.91,1196.63,1180.19,1182.70,2177204,EQ,17417632,25,43544
2024-09-30,1176.21,1194.61,1176.21,1178.17,1223096,EQ,9784768,25,24461
2024-10-01,1178.17,1186.54,1172.91,1177.49,892381,EQ,7139048,25,17847
2024-10-03,1167.40,1171.33,1132.11,1134.67,1912206,EQ,15297648,25,38244
2024-10-04,1131.96,1136.64,1107.55,1112.67,1773781,EQ,14190248,25,35475
2024-10-07,1112.67,1124.73,1089.59,1093.97,1542124,EQ,12336992,25,30842
2024-10-08,1093.97,1106.76,1088.11,1101.50,1738272,EQ,13906176,25,34765
2024-10-09,1109.32,1114.24,1092.59,1100.27,1322027,EQ,10576216,25,26440
2024-10-10,1100.27,1111.29,1093.97,1096.67,1176370,EQ,9410960,25,23527
2024-10-11,1100.46,1104.75,1084.37,1095.64,569469,EQ,4555752,25,11389
2024-10-14,1102.43,1120.15,1088.26,1096.08,513799,EQ,4110392,25,10275
2024-10-15,1098.49,1101.45,1088.75,1097.76,768815,EQ,6150520,25,15376
2024-10-16,1097.71,1102.43,1084.81,1096.48,738403,EQ,5907224,25,14768
2024-10-17,1095.54,1099.48,1070.59,1073.05,975432,EQ,7803456,25,19508
2024-10-18,1073.05,1080.92,1055.23,1076.10,953926,EQ,7631408,25,19078
2024-10-21,1030.58,1042.83,970.88,1001.10,11484692,EQ,91877536,25,229693
2024-10-22,1007.25,1007.79,978.90,982.59,2742491,EQ,21939928,25,54849
2024-10-23,984.31,1000.85,979.39,998.64,1936612,EQ,15492896,25,38732
2024-10-24,1001.98,1006.07,979.29,980.82,2014701,EQ,16117608,25,40294
