date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-09-02,1105.00,1105.00,1087.35,1092.65,8116675,EQ,64933400,25,162333
2024-09-03,1097.60,1100.00,1082.20,1085.10,5088731,EQ,40709848,25,101774
2024-09-04,1079.00,1085.00,1072.10,1080.45,4665908,EQ,37327264,25,93318
2024-09-05,1081.00,1085.85,1066.95,1069.15,7900593,EQ,63204744,25,158011
2024-09-06,1068.80,1072.95,1040.50,1049.35,8717377,EQ,69739016,25,174347
2024-09-09,1049.35,1049.95,1026.25,1038.70,7206054,EQ,57648432,25,144121
2024-09-10,1049.00,1049.00,1032.20,1035.80,6919238,EQ,55353904,25,138384
2024-09-11,1000.00,1011.55,971.25,976.30,36140411,EQ,289123288,25,722808
2024-09-12,976.30,988.00,958.00,986.15,25675836,EQ,205406688,25,513516
2024-09-13,994.90,1006.00,988.00,992.10,13203676,EQ,105629408,25,264073
2024-09-16,997.00,999.90,984.50,988.40,5836274,EQ,46690192,25,116725
2024-09-17,995.00,995.00,960.00,974.95,44516613,EQ,356132904,25,890332
2024-09-18,978.20,983.70,957.15,962.05,12044431,EQ,96355448,25,240888
2024-09-19,970.40,978.95,956.35,967.00,13466770,EQ,107734160,25,269335
2024-09-20,967.00,977.50,949.20,970.85,16764981,EQ,134119848,25,335299
2024-09-23,973.50,979.20,966.05,971.80,10254297,EQ,82034376,25,205085
2024-09-24,974.00,985.00,972.60,977.30,12755422,EQ,102043376,25,255108
2024-09-25,982.40,982.50,959.25,963.60,12959075,EQ,103672600,25,259181
2024-09-26,970.80,994.95,965.60,993.15,21640021,EQ,173120168,25,432800
2024-09-27,996.00,1000.40,989.15,993.00,10360030,EQ,82880240,25,207200
2024-09-30,993.00,996.95,971.80,974.65,12225895,EQ,97807160,25,244517
2024-10-01,976.90,984.50,958.90,965.20,10085203,EQ,80681624,25,201704
2024-10-03,939.00,950.15,925.00,925.70,24418517,EQ,195348136,25,488370
2024-10-04,930.00,949.20,920.00,930.75,19187758,EQ,153502064,25,383755
2024-10-07,942.00,944.45,915.00,927.85,11772546,EQ,94180368,25,235450
2024-10-08,916.00,924.80,893.85,919.80,21177886,EQ,169423088,25,423557
2024-10-09,926.80,948.45,925.50,939.15,11557737,EQ,92461896,25,231154
2024-10-10,933.75,943.60,912.35,928.50,13249851,EQ,105998808,25,264997
2024-10-11,932.00,937.00,928.50,930.70,4459529,EQ,35676232,25,89190
2024-10-14,930.00,940.00,925.35,928.25,5740649,EQ,45925192,25,114812
2024-10-15,932.95,935.35,913.00,917.30,9058919,EQ,72471352,25,181178
2024-10-16,917.05,923.00,900.00,907.45,10298258,EQ,82386064,25,205965
2024-10-17,914.95,914.95,890.05,891.60,13864583,EQ,110916664,25,277291
2024-10-18,894.30,917.70,886.80,910.15,11527914,EQ,92223312,25,230558
2024-10-21,912.05,917.65,898.10,903.30,7390557,EQ,59124456,25,147811
2024-10-22,905.00,906.10,875.25,879.50,13617490,EQ,108939920,25,272349
2024-10-23,879.00,885.60,863.30,877.65,10553771,EQ,84430168,25,211075
2024-10-24,875.25,890.00,875.25,880.00,7233484,EQ,57867872,25,144669
2024-10-25,883.90,885.75,857.30,864.30,10873022,EQ,86984176,25,217460
2024-10-28,867.85,886.75,860.20,878.45,7106045,EQ,56848360,25,142120
2024-10-29,880.25,882.50,825.70,842.75,26818871,EQ,214550968,25,536377
2024-10-30,846.00,853.60,838.05,840.20,12933218,EQ,103465744,25,258664
2024-10-31,843.85,843.85,831.85,834.05,11904413,EQ,95235304,25,238088
2024-11-01,847.95,847.95,840.00,843.45,2900548,EQ,23204384,25,58010
2024-11-04,840.00,844.45,814.50,824.10,15514419,EQ,124115352,25,310288
2024-11-05,821.50,843.60,820.40,835.65,10215249,EQ,81721992,25,204304
2024-11-06,843.90,843.90,826.00,839.70,10579596,EQ,84636768,25,211591
2024-11-07,841.00,842.75,817.30,819.75,13237161,EQ,105897288,25,264743
2024-11-08,821.95,822.00,801.10,805.45,16072692,EQ,128581536,25,321453
2024-11-11,801.00,831.45,792.00,804.70,27587619,EQ,220700952,25,551752
2024-11-12,806.00,813.10,783.05,784.85,16526921,EQ,132215368,25,330538
2024-11-13,787.00,792.65,775.55,786.25,14674022,EQ,117392176,25,293480
2024-11-14,786.60,792.00,772.00,774.30,11740909,EQ,93927272,25,234818
2024-11-18,778.00,781.75,759.20,771.90,17053446,EQ,136427568,25,341068
2024-11-19,771.90,799.90,771.90,783.20,14012014,EQ,112096112,25,280240
2024-11-21,784.95,785.95,766.25,773.85,14194678,EQ,113557424,25,283893
2024-11-22,775.00,794.00,775.00,791.00,14535112,EQ,116280896,25,290702
2024-11-25,808.05,810.20,793.65,796.60,15194167,EQ,121553336,25,303883
2024-11-26,797.15,801.80,780.15,783.00,10310838,EQ,82486704,25,206216
2024-11-27,785.05,791.90,779.10,783.95,10014685,EQ,80117480,25,200293
2024-11-28,783.00,792.55,778.00,779.45,10939142,EQ,87513136,25,218782
2024-11-29,779.50,789.40,777.05,786.45,10358590,EQ,82868720,25,207171
2024-12-02,787.30,796.75,785.00,790.05,8425826,EQ,67406608,25,168516
2024-12-03,795.00,806.00,790.00,801.25,9874135,EQ,78993080,25,197482
2024-12-04,805.00,806.00,784.05,788.10,12392259,EQ,99138072,25,247845
2024-12-05,793.00,797.50,781.00,792.55,12169428,EQ,97355424,25,243388
2024-12-06,793.00,818.85,785.30,816.80,19716910,EQ,157735280,25,394338
