date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,146.49,148.65,145.98,146.26,55134023,EQ,441072184,25,1102680
2024-09-02,147.35,147.35,145.67,146.38,19200143,EQ,153601144,25,384002
2024-09-03,146.34,146.92,145.54,145.68,19780066,EQ,158240528,25,395601
2024-09-04,143.14,145.71,142.82,144.75,39613696,EQ,316909568,25,792273
2024-09-05,144.58,146.29,144.58,145.27,28347324,EQ,226778592,25,566946
2024-09-06,145.48,146.40,143.28,144.79,30709532,EQ,245676256,25,614190
2024-09-09,144.48,144.48,141.75,143.11,32624586,EQ,260996688,25,652491
2024-09-10,144.10,145.14,142.48,143.06,41607844,EQ,332862752,25,832156
2024-09-11,143.52,143.81,141.34,141.87,24633287,EQ,197066296,25,492665
2024-09-12,145.53,145.96,142.42,145.29,73191476,EQ,585531808,25,1463829
2024-09-13,146.28,148.79,146.01,146.96,54894255,EQ,439154040,25,1097885
2024-09-16,148.41,149.04,146.97,147.65,32575460,EQ,260603680,25,651509
2024-09-17,147.45,147.68,145.79,146.32,18275113,EQ,146200904,25,365502
2024-09-18,145.92,146.47,143.25,144.19,24856345,EQ,198850760,25,497126
2024-09-19,145.43,145.72,141.50,143.18,36913781,EQ,295310248,25,738275
2024-09-20,144.58,146.82,144.24,145.55,53873369,EQ,430986952,25,1077467
2024-09-23,147.81,147.82,146.30,147.44,33281905,EQ,266255240,25,665638
2024-09-24,148.55,154.63,148.26,153.70,137414352,EQ,1099314816,25,2748287
2024-09-25,154.63,155.77,152.73,154.78,58044967,EQ,464359736,25,1160899
2024-09-26,155.11,158.84,153.65,158.57,88661662,EQ,709293296,25,1773233
2024-09-27,159.90,161.82,158.83,159.47,72795668,EQ,582365344,25,1455913
2024-09-30,160.38,162.94,160.15,161.38,92381529,EQ,739052232,25,1847630
2024-10-01,162.28,162.28,158.08,159.93,50761579,EQ,406092632,25,1015231
2024-10-03,158.46,162.76,157.52,159.88,75959797,EQ,607678376,25,1519195
2024-10-04,159.90,161.91,157.02,159.66,53880875,EQ,431047000,25,1077617
2024-10-07,159.99,160.81,155.43,157.37,48775098,EQ,390200784,25,975501
2024-10-08,156.07,156.63,150.03,152.73,74956764,EQ,599654112,25,1499135
2024-10-09,152.73,155.30,151.38,152.29,42766218,EQ,342129744,25,855324
2024-10-10,151.57,154.32,149.94,152.93,46507936,EQ,372063488,25,930158
2024-10-11,152.52,156.81,152.43,153.83,53263433,EQ,426107464,25,1065268
2024-10-14,154.99,156.43,151.32,151.59,35566857,EQ,284534856,25,711337
2024-10-15,152.72,152.74,148.45,149.01,38964393,EQ,311715144,25,779287
2024-10-16,148.59,149.89,147.47,148.64,28518262,EQ,228146096,25,570365
2024-10-17,149.03,149.65,145.63,145.92,28404223,EQ,227233784,25,568084
2024-10-18,145.92,149.56,144.67,148.78,34750795,EQ,278006360,25,695015
2024-10-21,149.46,151.21,148.01,148.44,25799090,EQ,206392720,25,515981
2024-10-22,148.31,148.31,143.72,143.99,39079846,EQ,312638768,25,781596
2024-10-23,143.91,145.49,141.75,142.45,42107893,EQ,336863144,25,842157
2024-10-24,143.13,143.46,141.71,142.64,22115070,EQ,176920560,25,442301
2024-10-25,142.66,143.14,138.29,139.66,39730802,EQ,317846416,25,794616
2024-10-28,139.79,143.36,138.57,143.03,28386897,EQ,227095176,25,567737
2024-10-29,143.48,144.05,140.32,143.68,32258407,EQ,258067256,25,645168
2024-10-30,141.80,144.53,141.80,142.63,21362130,EQ,170897040,25,427242
2024-10-31,142.74,143.57,141.90,142.24,26383702,EQ,211069616,25,527674
2024-11-01,143.29,143.86,142.66,143.38,5106804,EQ,40854432,25,102136
2024-11-04,143.62,143.62,138.93,140.70,25571021,EQ,204568168,25,511420
2024-11-05,140.75,146.06,140.70,145.81,42772283,EQ,342178264,25,855445
2024-11-06,147.45,148.36,143.23,147.09,48928986,EQ,391431888,25,978579
2024-11-07,149.47,150.25,143.81,144.53,88254789,EQ,706038312,25,1765095
2024-11-08,145.53,145.53,140.69,141.29,61980989,EQ,495847912,25,1239619
2024-11-11,141.29,141.41,137.97,138.84,47497863,EQ,379982904,25,949957
2024-11-12,139.45,140.87,137.49,138.04,28861672,EQ,230893376,25,577233
2024-11-13,137.49,137.49,132.70,133.25,57609083,EQ,460872664,25,1152181
