date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,4180.77,4266.48,4169.44,4230.71,3637222,EQ,29097776,25,72744
2024-09-02,4251.38,4262.53,4191.92,4200.33,1216500,EQ,9732000,25,24330
2024-09-03,4200.33,4232.71,4176.96,4192.25,1717263,EQ,13738104,25,34345
2024-09-04,4159.36,4168.69,4121.96,4161.49,1265505,EQ,10124040,25,25310
2024-09-05,4163.12,4179.84,4138.18,4158.43,1688793,EQ,13510344,25,33775
2024-09-06,4156.57,4198.38,4125.03,4140.59,1649179,EQ,13193432,25,32983
2024-09-09,4138.96,4171.71,4116.20,4133.90,1184938,EQ,9479504,25,23698
2024-09-10,4127.31,4217.89,4125.45,4188.07,1385591,EQ,11084728,25,27711
2024-09-11,4200.70,4226.62,4154.06,4161.59,1325919,EQ,10607352,25,26518
2024-09-12,4190.30,4211.06,4116.95,4197.22,2742216,EQ,21937728,25,54844
2024-09-13,4208.64,4224.44,4185.42,4201.77,1458786,EQ,11670288,25,29175
2024-09-16,4205.86,4223.56,4175.62,4193.08,1155120,EQ,9240960,25,23102
2024-09-17,4193.08,4214.03,4149.18,4186.02,1699364,EQ,13594912,25,33987
2024-09-18,4178.03,4178.03,4014.47,4037.84,2961779,EQ,23694232,25,59235
2024-09-19,4078.62,4108.49,3978.05,3991.38,2927551,EQ,23420408,25,58551
2024-09-20,4010.66,4023.48,3927.60,3980.93,5447908,EQ,43583264,25,108958
2024-09-23,3994.96,4003.69,3951.30,3965.70,1702319,EQ,13618552,25,34046
2024-09-24,3950.04,3986.60,3939.22,3968.30,3012026,EQ,24096208,25,60240
2024-09-25,3950.69,3985.30,3939.22,3971.50,2713073,EQ,21704584,25,54261
2024-09-26,3957.80,4010.57,3957.80,3987.99,3964251,EQ,31714008,25,79285
2024-09-27,4027.48,4067.43,3995.01,4003.04,3012477,EQ,24099816,25,60249
2024-09-30,3982.79,3993.80,3957.84,3965.70,2503416,EQ,20027328,25,50068
2024-10-01,3953.66,3991.01,3941.96,3983.72,1823365,EQ,14586920,25,36467
2024-10-03,3960.21,3975.45,3911.35,3932.48,3350119,EQ,26800952,25,67002
2024-10-04,3925.28,3993.10,3924.40,3950.60,2965463,EQ,23723704,25,59309
2024-10-07,3970.71,3992.41,3929.37,3969.74,1472619,EQ,11780952,25,29452
2024-10-08,3969.50,3975.82,3905.72,3951.53,1541867,EQ,12334936,25,30837
2024-10-09,3957.80,3990.31,3945.44,3951.25,1082504,EQ,8660032,25,21650
2024-10-10,3951.53,3989.25,3900.75,3927.51,2378875,EQ,19031000,25,47577
2024-10-11,3849.10,3941.03,3820.72,3854.86,5759183,EQ,46073464,25,115183
2024-10-14,3846.31,3869.91,3829.77,3843.20,2137590,EQ,17100720,25,42751
2024-10-15,3838.00,3874.14,3804.50,3824.76,2759474,EQ,22075792,25,55189
2024-10-16,3795.21,3823.08,3778.68,3804.46,2359151,EQ,18873208,25,47183
2024-10-17,3821.04,3836.97,3802.60,3817.51,2522659,EQ,20181272,25,50453
2024-10-18,3809.13,3861.42,3799.81,3839.91,2361000,EQ,18888000,25,47220
2024-10-21,3848.80,3855.65,3790.50,3799.68,1595450,EQ,12763600,25,31909
2024-10-22,3786.78,3808.94,3731.22,3739.74,1928049,EQ,15424392,25,38560
2024-10-23,3724.94,3831.06,3720.79,3787.01,1966476,EQ,15731808,25,39329
2024-10-24,3729.03,3798.88,3729.03,3769.92,2676744,EQ,21413952,25,53534
2024-10-25,3778.44,3810.99,3755.76,3778.91,1759676,EQ,14077408,25,35193
2024-10-28,3789.52,3850.11,3772.81,3809.92,1532534,EQ,12260272,25,30650
2024-10-29,3814.58,3821.70,3781.28,3795.39,1445885,EQ,11567080,25,28917
2024-10-30,3795.16,3824.96,3781.23,3804.15,1935002,EQ,15480016,25,38700
