date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,1546.25,1561.98,1531.33,1536.40,1926984,EQ,15415872,25,38539
2024-09-02,1536.40,1560.34,1535.50,1545.93,1582818,EQ,12662544,25,31656
2024-09-03,1538.74,1557.75,1532.27,1543.53,1739553,EQ,13916424,25,34791
2024-09-04,1520.67,1549.07,1510.48,1544.66,1643875,EQ,13151000,25,32877
2024-09-05,1551.89,1556.49,1533.02,1539.21,1080904,EQ,8647232,25,21618
2024-09-06,1539.21,1550.20,1515.23,1523.96,1672937,EQ,13383496,25,33458
2024-09-09,1523.91,1531.51,1478.42,1482.60,2965098,EQ,23720784,25,59301
2024-09-10,1494.62,1514.99,1481.94,1509.08,2541973,EQ,20335784,25,50839
2024-09-11,1513.40,1527.48,1500.35,1504.57,1395340,EQ,11162720,25,27906
2024-09-12,1520.81,1548.70,1507.76,1542.73,2356422,EQ,18851376,25,47128
2024-09-13,1548.98,1558.37,1537.80,1554.75,1373924,EQ,10991392,25,27478
2024-09-16,1550.10,1567.85,1545.78,1548.13,1060407,EQ,8483256,25,21208
2024-09-17,1548.13,1569.73,1540.72,1550.53,1499644,EQ,11997152,25,29992
2024-09-18,1547.33,1547.33,1491.80,1507.20,2930297,EQ,23442376,25,58605
2024-09-19,1520.91,1535.32,1489.97,1497.76,3032379,EQ,24259032,25,60647
2024-09-20,1509.64,1529.64,1485.61,1522.83,3984683,EQ,31877464,25,79693
2024-09-23,1525.55,1531.23,1496.97,1508.84,1535902,EQ,12287216,25,30718
2024-09-24,1503.58,1542.97,1500.35,1536.96,1781972,EQ,14255776,25,35639
2024-09-25,1536.96,1542.59,1492.79,1504.71,2505756,EQ,20046048,25,50115
2024-09-26,1511.52,1520.77,1498.37,1508.65,2173853,EQ,17390824,25,43477
2024-09-27,1525.60,1562.97,1506.40,1510.81,3539822,EQ,28318576,25,70796
2024-09-30,1507.76,1507.76,1471.95,1480.72,3460691,EQ,27685528,25,69213
2024-10-01,1483.35,1542.41,1483.35,1525.98,5176596,EQ,41412768,25,103531
2024-10-03,1516.21,1531.37,1498.51,1505.93,2332279,EQ,18658232,25,46645
2024-10-04,1493.68,1547.57,1493.68,1517.57,2927576,EQ,23420608,25,58551
2024-10-07,1525.55,1532.22,1502.32,1519.54,1619326,EQ,12954608,25,32386
2024-10-08,1525.60,1534.99,1505.51,1529.45,1311331,EQ,10490648,25,26226
2024-10-09,1538.74,1567.66,1532.22,1557.33,2177241,EQ,17417928,25,43544
2024-10-10,1570.66,1573.43,1512.78,1520.62,1518162,EQ,12145296,25,30363
2024-10-11,1504.95,1549.07,1504.95,1546.30,1019027,EQ,8152216,25,20380
2024-10-14,1547.19,1593.20,1547.19,1588.97,2070051,EQ,16560408,25,41401
2024-10-15,1596.01,1599.25,1561.74,1572.87,2503380,EQ,20027040,25,50067
2024-10-16,1567.85,1574.84,1551.70,1558.74,1070524,EQ,8564192,25,21410
2024-10-17,1559.12,1605.31,1554.70,1595.07,3771316,EQ,30170528,25,75426
2024-10-18,1591.32,1598.27,1544.94,1584.65,3119646,EQ,24957168,25,62392
2024-10-21,1638.26,1654.08,1586.67,1597.14,5898020,EQ,47184160,25,117960
2024-10-22,1599.20,1621.31,1587.99,1592.77,2484594,EQ,19876752,25,49691
2024-10-23,1592.77,1642.01,1582.49,1629.76,4198781,EQ,33590248,25,83975
2024-10-24,1628.92,1641.08,1622.35,1629.58,1570443,EQ,12563544,25,31408
2024-10-25,1629.58,1635.82,1605.73,1611.46,1743714,EQ,13949712,25,34874
2024-10-28,1605.40,1622.25,1589.63,1598.41,1271473,EQ,10171784,25,25429
2024-10-29,1604.46,1618.64,1577.56,1594.60,1499121,EQ,11992968,25,29982
2024-10-30,1599.86,1607.42,1579.35,1581.88,1305424,EQ,10443392,25,26108
2024-10-31,1578.71,1581.74,1511.41,1523.82,3638913,EQ,29111304,25,72778
2024-11-01,1533.62,1533.62,1514.49,1519.08,249236,EQ,1993888,25,4984
2024-11-04,1528.88,1553.75,1523.25,1552.00,2746587,EQ,21972696,25,54931
2024-11-05,1551.90,1566.77,1538.17,1546.55,1376651,EQ,11013208,25,27533
2024-11-06,1562.94,1608.22,1548.78,1604.24,3164061,EQ,25312488,25,63281
2024-11-07,1605.61,1625.03,1557.63,1563.93,1285140,EQ,10281120,25,25702
2024-11-08,1572.46,1597.51,1563.03,1592.68,1883257,EQ,15066056,25,37665
2024-11-11,1584.58,1624.98,1578.19,1614.28,1587351,EQ,12698808,25,31747
2024-11-12,1619.82,1620.29,1595.19,1598.03,1414446,EQ,11315568,25,28288
2024-11-13,1591.40,1599.93,1575.92,1587.23,1063556,EQ,8508448,25,21271
2024-11-14,1575.30,1602.77,1575.30,1598.51,1919974,EQ,15359792,25,38399
2024-11-18,1595.90,1598.98,1547.12,1573.22,1617013,EQ,12936104,25,32340
2024-11-19,1577.10,1633.46,1576.34,1610.02,1982317,EQ,15858536,25,39646
2024-11-21,1621.72,1634.03,1595.95,1612.48,2212146,EQ,17697168,25,44242
