date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,3527.77,3575.47,3520.32,3542.83,2116894,EQ,16935152,25,42337
2024-09-02,3542.83,3579.40,3529.76,3565.09,718800,EQ,5750400,25,14376
2024-09-03,3565.09,3612.14,3537.86,3598.48,1112614,EQ,8900912,25,22252
2024-09-04,3563.65,3594.85,3545.86,3585.11,529856,EQ,4238848,25,10597
2024-09-05,3593.96,3730.45,3577.86,3699.54,3437885,EQ,27503080,25,68757
2024-09-06,3691.69,3718.57,3642.05,3672.36,1408795,EQ,11270360,25,28175
2024-09-09,3667.00,3701.13,3630.87,3661.48,923357,EQ,7386856,25,18467
2024-09-10,3680.81,3726.52,3643.05,3704.06,1109078,EQ,8872624,25,22181
2024-09-11,3708.53,3720.06,3676.93,3687.86,831810,EQ,6654480,25,16636
2024-09-12,3712.61,3750.37,3687.86,3740.68,1337327,EQ,10698616,25,26746
2024-09-13,3753.35,3776.06,3716.58,3743.41,1003355,EQ,8026840,25,20067
2024-09-16,3744.41,3765.28,3712.01,3717.23,386602,EQ,3092816,25,7732
2024-09-17,3736.36,3753.35,3703.96,3743.81,392339,EQ,3138712,25,7846
2024-09-18,3745.40,3762.30,3684.78,3702.02,420638,EQ,3365104,25,8412
2024-09-19,3726.52,3771.24,3717.68,3757.28,945257,EQ,7562056,25,18905
2024-09-20,3769.25,3795.09,3716.58,3773.42,1951755,EQ,15614040,25,39035
2024-09-23,3773.43,3805.03,3757.33,3796.18,530107,EQ,4240856,25,10602
2024-09-24,3794.09,3815.86,3757.87,3761.20,1281513,EQ,10252104,25,25630
2024-09-25,3776.21,3779.74,3686.82,3713.85,942343,EQ,7538744,25,18846
2024-09-26,3714.60,3753.50,3678.22,3734.02,1863893,EQ,14911144,25,37277
2024-09-27,3750.37,3842.79,3727.71,3792.80,2164755,EQ,17318040,25,43295
2024-09-30,3762.29,3839.36,3762.29,3800.01,1068609,EQ,8548872,25,21372
2024-10-01,3800.01,3813.92,3733.48,3752.31,774221,EQ,6193768,25,15484
2024-10-03,3666.00,3758.32,3627.20,3651.94,1597560,EQ,12780480,25,31951
2024-10-04,3602.30,3730.30,3602.30,3647.12,1542987,EQ,12343896,25,30859
2024-10-07,3716.53,3724.53,3530.06,3566.78,2523321,EQ,20186568,25,50466
2024-10-08,3566.78,3572.49,3458.21,3471.48,1360120,EQ,10880960,25,27202
2024-10-09,3495.97,3536.52,3464.77,3471.58,1063802,EQ,8510416,25,21276
2024-10-10,3488.02,3509.44,3393.72,3425.67,1488328,EQ,11906624,25,29766
2024-10-11,3442.31,3469.14,3422.73,3452.65,858463,EQ,6867704,25,17169
2024-10-14,3452.65,3502.93,3430.93,3475.90,593206,EQ,4745648,25,11864
2024-10-15,3501.89,3507.35,3455.23,3486.53,578719,EQ,4629752,25,11574
2024-10-16,3486.04,3488.02,3418.46,3449.27,591644,EQ,4733152,25,11832
2024-10-17,3465.17,3465.17,3358.94,3382.04,560796,EQ,4486368,25,11215
2024-10-18,3373.74,3400.92,3275.46,3360.28,1249585,EQ,9996680,25,24991
2024-10-21,3396.55,3398.44,3314.62,3342.19,714746,EQ,5717968,25,14294
2024-10-22,3353.77,3400.08,3298.47,3308.95,882086,EQ,7056688,25,17641
2024-10-23,3309.15,3314.12,3261.95,3268.01,877837,EQ,7022696,25,17556
2024-10-24,3280.38,3321.97,3258.67,3310.04,764369,EQ,6114952,25,15287
2024-10-25,3311.14,3321.42,3212.11,3246.10,805013,EQ,6440104,25,16100
2024-10-28,3249.53,3294.24,3233.68,3262.49,736462,EQ,5891696,25,14729
2024-10-29,3265.23,3277.35,3206.80,3262.84,702769,EQ,5622152,25,14055
2024-10-30,3240.58,3301.00,3214.84,3287.74,895278,EQ,7162224,25,17905
2024-10-31,3270.39,3279.24,3233.23,3246.59,1170306,EQ,9362448,25,23406
2024-11-01,3283.31,3296.83,3261.80,3273.08,176636,EQ,1413088,25,3532
2024-11-04,3297.23,3297.23,3170.13,3201.83,1122152,EQ,8977216,25,22443
2024-11-05,3185.93,3238.50,3165.06,3210.02,872402,EQ,6979216,25,17448
2024-11-06,3125.31,3188.86,3094.50,3157.16,4522923,EQ,36183384,25,90458
2024-11-07,3160.09,3166.10,3088.64,3101.31,1608603,EQ,12868824,25,32172
2024-11-08,3101.46,3172.91,3086.55,3166.30,1719882,EQ,13759056,25,34397
2024-11-11,3171.62,3209.83,3138.48,3186.52,1054929,EQ,8439432,25,21098
2024-11-12,3181.60,3218.72,3165.06,3178.42,992983,EQ,7943864,25,19859
2024-11-13,3155.12,3201.43,3142.40,3167.89,911537,EQ,7292296,25,18230
2024-11-14,3125.36,3175.14,3116.36,3163.77,1161637,EQ,9293096,25,23232
2024-11-18,3163.77,3187.12,3137.73,3152.44,943251,EQ,7546008,25,18865
2024-11-19,3172.01,3262.44,3152.44,3204.51,1174506,EQ,9396048,25,23490
2024-11-21,3204.81,3213.70,3128.64,3158.55,1582159,EQ,12657272,25,31643
2024-11-22,3154.97,3296.23,3132.41,3287.98,2207527,EQ,17660216,25,44150
2024-11-25,3338.96,3348.75,3277.40,3288.38,1892510,EQ,15140080,25,37850
2024-11-26,3289.28,3322.81,3275.07,3306.67,721345,EQ,5770760,25,14426
2024-11-27,3304.18,3309.05,3259.61,3271.04,732835,EQ,5862680,25,14656
2024-11-28,3271.39,3284.31,3180.31,3192.24,1701387,EQ,13611096,25,34027
2024-11-29,3192.24,3239.59,3192.24,3228.66,1139585,EQ,9116680,25,22791
2024-12-02,3228.66,3289.18,3201.88,3286.15,915980,EQ,7327840,25,18319
2024-12-03,3269.40,3317.80,3256.08,3311.88,1162310,EQ,9298480,25,23246
2024-12-04,3321.08,3361.82,3317.10,3343.38,1630076,EQ,13040608,25,32601
2024-12-05,3353.82,3443.70,3332.60,3419.50,2383630,EQ,19069040,25,47672
2024-12-06,3432.32,3477.74,3408.52,3448.37,1278516,EQ,10228128,25,25570
2024-12-09,3445.79,3466.41,3425.32,3446.49,926422,EQ,7411376,25,18528
2024-12-10,3448.27,3494.93,3414.54,3453.99,1063355,EQ,8506840,25,21267
2024-12-11,3462.93,3468.89,3438.63,3451.35,554702,EQ,4437616,25,11094
2024-12-12,3448.77,3451.35,3390.64,3424.18,926472,EQ,7411776,25,18529
2024-12-13,3398.59,3495.97,3359.09,3486.88,1242351,EQ,9938808,25,24847
2024-12-16,3483.05,3489.02,3407.53,3416.67,1295227,EQ,10361816,25,25904
2024-12-17,3400.62,3427.80,3376.33,3384.77,1005604,EQ,8044832,25,20112
2024-12-18,3379.90,3402.56,3368.77,3380.60,646145,EQ,5169160,25,12922
2024-12-19,3328.63,3378.66,3311.14,3335.83,732634,EQ,5861072,25,14652
2024-12-20,3329.02,3397.59,3312.28,3335.24,1235769,EQ,9886152,25,24715
2024-12-23,3356.95,3384.97,3315.76,3375.68,691202,EQ,5529616,25,13824
2024-12-24,3364.15,3397.59,3317.30,3332.40,485245,EQ,3881960,25,9704
2024-12-26,3343.93,3350.74,3291.91,3302.24,637094,EQ,5096752,25,12741
2024-12-27,3299.06,3324.06,3280.43,3288.48,568989,EQ,4551912,25,11379
2024-12-30,3289.23,3297.18,3227.12,3236.96,941859,EQ,7534872,25,18837
