date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,7195.21,7259.82,7115.42,7144.06,1169809,EQ,9358472,25,23396
2024-09-02,7164.52,7252.84,7096.76,7133.53,625283,EQ,5002264,25,12505
2024-09-03,7164.27,7165.27,6980.65,7028.35,857908,EQ,6863264,25,17158
2024-09-04,7028.55,7154.24,6935.79,7125.25,576206,EQ,4609648,25,11524
2024-09-05,7155.19,7194.21,7075.70,7152.94,667571,EQ,5340568,25,13351
2024-09-06,7170.16,7175.20,7045.52,7088.98,384793,EQ,3078344,25,7695
2024-09-09,7089.42,7141.02,7033.59,7122.01,349967,EQ,2799736,25,6999
2024-09-10,7141.32,7185.23,7080.94,7123.31,376043,EQ,3008344,25,7520
2024-09-11,7146.26,7204.84,7093.12,7134.18,428437,EQ,3427496,25,8568
2024-09-12,7183.23,7294.00,7128.20,7195.71,572357,EQ,4578856,25,11447
2024-09-13,7233.63,7266.16,7185.28,7218.31,468707,EQ,3749656,25,9374
2024-09-16,7255.08,7369.80,7196.21,7303.78,502100,EQ,4016800,25,10042
2024-09-17,7399.79,7493.39,7309.97,7388.26,753643,EQ,6029144,25,15072
2024-09-18,7419.75,7437.71,7230.98,7320.95,388287,EQ,3106296,25,7765
2024-09-19,7440.70,7440.70,7168.81,7311.12,395523,EQ,3164184,25,7910
2024-09-20,7334.92,7492.60,7266.91,7449.83,798170,EQ,6385360,25,15963
2024-09-23,7505.52,7629.31,7448.84,7607.81,510496,EQ,4083968,25,10209
2024-09-24,7624.28,7666.24,7565.05,7605.71,613798,EQ,4910384,25,12275
2024-09-25,7602.62,7726.12,7554.02,7599.28,576171,EQ,4609368,25,11523
2024-09-26,7709.05,7923.61,7694.73,7829.30,1712253,EQ,13698024,25,34245
2024-09-27,7883.74,7921.66,7720.53,7817.63,11179751,EQ,89438008,25,223595
2024-09-30,7798.72,7817.88,7468.40,7559.11,1117618,EQ,8940944,25,22352
2024-10-01,7584.41,7631.76,7506.82,7597.08,559721,EQ,4477768,25,11194
2024-10-03,7553.97,7638.80,7435.71,7472.54,741293,EQ,5930344,25,14825
2024-10-04,7425.73,7440.65,7257.08,7338.21,938897,EQ,7511176,25,18777
2024-10-07,7292.21,7488.50,7269.06,7434.22,854385,EQ,6835080,25,17087
2024-10-08,7504.57,8056.84,7435.71,8025.45,2278240,EQ,18225920,25,45564
2024-10-09,8072.40,8305.13,8018.51,8203.98,1260784,EQ,10086272,25,25215
2024-10-10,8183.18,8253.98,7995.56,8012.38,606292,EQ,4850336,25,12125
2024-10-11,8052.44,8291.75,7933.69,8218.05,800644,EQ,6405152,25,16012
2024-10-14,8263.06,8327.88,8146.95,8175.04,417498,EQ,3339984,25,8349
2024-10-15,8207.13,8243.05,8073.40,8107.58,460534,EQ,3684272,25,9210
2024-10-16,8093.36,8116.41,7750.57,7789.78,900545,EQ,7204360,25,18010
2024-10-17,7764.34,7863.88,7604.57,7703.81,997450,EQ,7979600,25,19949
2024-10-18,7704.16,7784.00,7614.45,7752.11,571161,EQ,4569288,25,11423
2024-10-21,7803.96,7833.89,7537.00,7590.94,662166,EQ,5297328,25,13243
2024-10-22,7619.29,7650.77,7454.07,7481.97,610564,EQ,4884512,25,12211
2024-10-23,7452.68,7569.44,7434.71,7495.89,505590,EQ,4044720,25,10111
2024-10-24,7553.67,7624.72,7371.59,7472.64,448738,EQ,3589904,25,8974
2024-10-25,7434.72,7495.79,7049.56,7346.35,590268,EQ,4722144,25,11805
2024-10-28,7347.15,7413.76,7207.33,7292.86,419026,EQ,3352208,25,8380
2024-10-29,7298.30,7430.82,7149.75,7395.10,359440,EQ,2875520,25,7188
2024-10-30,7404.78,7413.56,7200.20,7237.57,481764,EQ,3854112,25,9635
2024-10-31,7244.11,7258.93,7056.49,7113.73,742508,EQ,5940064,25,14850
2024-11-01,7139.27,7200.10,7110.38,7134.33,76497,EQ,611976,25,1529
