date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,10931.22,11063.52,10928.25,11006.06,462185,EQ,3697480,25,9243
2024-09-02,11028.56,11164.89,11028.56,11125.84,248673,EQ,1989384,25,4973
2024-09-03,11135.19,11202.92,11063.61,11160.80,181723,EQ,1453784,25,3634
2024-09-04,11093.80,11332.83,11083.92,11277.32,198185,EQ,1585480,25,3963
2024-09-05,11326.01,11513.28,11212.80,11240.51,406821,EQ,3254568,25,8136
2024-09-06,11198.97,11223.32,11023.69,11133.58,245248,EQ,1961984,25,4904
2024-09-09,11101.59,11216.94,11012.00,11193.47,154665,EQ,1237320,25,3093
2024-09-10,11237.83,11334.77,11160.51,11238.95,237496,EQ,1899968,25,4749
2024-09-11,11267.14,11307.07,11160.22,11186.75,141341,EQ,1130728,25,2826
2024-09-12,11206.62,11427.82,11142.74,11403.72,455934,EQ,3647472,25,9118
2024-09-13,11388.87,11454.70,11320.90,11411.22,279660,EQ,2237280,25,5593
2024-09-16,11369.39,11489.13,11300.25,11337.89,257856,EQ,2062848,25,5157
2024-09-17,11298.84,11411.85,11272.01,11340.81,202725,EQ,1621800,25,4054
2024-09-18,11377.19,11455.38,11233.89,11326.45,185067,EQ,1480536,25,3701
2024-09-19,11326.45,11432.84,11237.93,11323.14,227247,EQ,1817976,25,4544
2024-09-20,11354.79,11533.87,11276.49,11489.47,608787,EQ,4870296,25,12175
2024-09-23,11525.21,11683.94,11491.17,11648.93,279318,EQ,2234544,25,5586
2024-09-24,11635.34,11656.52,11433.03,11453.78,242038,EQ,1936304,25,4840
2024-09-25,11501.83,11545.27,11374.26,11507.00,196686,EQ,1573488,25,3933
2024-09-26,11525.21,11763.79,11459.76,11749.19,277079,EQ,2216632,25,5541
2024-09-27,11749.18,11820.27,11612.61,11639.43,404276,EQ,3234208,25,8085
2024-09-30,11611.88,11611.88,11465.85,11493.07,405493,EQ,3243944,25,8109
2024-10-01,11493.07,11576.53,11345.29,11527.30,324906,EQ,2599248,25,6498
2024-10-03,11322.75,11617.72,11309.11,11417.89,304610,EQ,2436880,25,6092
2024-10-04,11393.74,11519.51,11082.12,11150.53,357277,EQ,2858216,25,7145
2024-10-07,11191.14,11228.14,10899.13,10936.38,374655,EQ,2997240,25,7493
2024-10-08,10937.02,11174.63,10937.02,11091.66,447220,EQ,3577760,25,8944
2024-10-09,11105.54,11209.69,11036.35,11053.05,286382,EQ,2291056,25,5727
2024-10-10,11140.50,11159.05,11056.36,11130.86,180542,EQ,1444336,25,3610
2024-10-11,11092.58,11168.10,11062.83,11122.33,120279,EQ,962232,25,2405
2024-10-14,11101.54,11130.76,10945.78,11004.50,144163,EQ,1153304,25,2883
2024-10-15,11101.59,11133.68,10994.47,11118.05,182286,EQ,1458288,25,3645
2024-10-16,11044.14,11113.28,10938.96,11025.93,276811,EQ,2214488,25,5536
2024-10-17,11053.87,11066.49,10647.84,10728.91,353330,EQ,2826640,25,7066
2024-10-18,10728.91,10848.35,10615.65,10779.55,330703,EQ,2645624,25,6614
2024-10-21,10760.75,10874.35,10489.45,10584.78,566667,EQ,4533336,25,11333
2024-10-22,10469.58,10790.75,10458.87,10541.79,793887,EQ,6351096,25,15877
2024-10-23,10538.67,10559.81,10392.65,10471.58,351717,EQ,2813736,25,7034
2024-10-24,10471.58,10794.84,10437.83,10754.52,341400,EQ,2731200,25,6828
2024-10-25,10774.10,10824.05,10663.37,10707.39,519646,EQ,4157168,25,10392
2024-10-28,10712.06,10906.19,10614.29,10802.24,229113,EQ,1832904,25,4582
2024-10-29,10784.13,10845.43,10631.28,10821.23,266761,EQ,2134088,25,5335
2024-10-30,10824.05,10936.04,10723.16,10911.79,239933,EQ,1919464,25,4798
2024-10-31,10864.76,10956.40,10753.50,10776.00,423687,EQ,3389496,25,8473
2024-11-01,10789.92,10878.88,10788.56,10854.05,19032,EQ,152256,25,380
2024-11-04,10855.22,10864.71,10643.94,10713.86,276984,EQ,2215872,25,5539
2024-11-05,10696.14,10895.19,10686.01,10883.80,274422,EQ,2195376,25,5488
2024-11-06,10931.17,11010.93,10821.13,10979.28,282486,EQ,2259888,25,5649
2024-11-07,10947.29,10950.60,10713.13,10761.53,326254,EQ,2610032,25,6525
2024-11-08,10740.40,10847.77,10673.79,10754.28,155894,EQ,1247152,25,3117
2024-11-11,10726.67,10819.14,10610.83,10683.29,107472,EQ,859776,25,2149
2024-11-12,10683.33,10784.86,10556.25,10606.89,166347,EQ,1330776,25,3326
2024-11-13,10520.51,10588.87,10468.61,10499.96,216900,EQ,1735200,25,4338
2024-11-14,10445.24,10548.95,10266.54,10447.67,297442,EQ,2379536,25,5948
2024-11-18,10353.79,10485.02,10303.45,10352.62,424186,EQ,3393488,25,8483
2024-11-19,10404.38,10585.47,10378.92,10487.64,220357,EQ,1762856,25,4407
2024-11-21,10278.71,10717.76,10278.71,10668.09,256924,EQ,2055392,25,5138
2024-11-22,10711.09,11111.23,10645.50,11077.54,328426,EQ,2627408,25,6568
2024-11-25,11150.28,11384.00,11137.87,11157.54,465057,EQ,3720456,25,9301
2024-11-26,11157.54,11196.35,10815.29,10829.94,243711,EQ,1949688,25,4874
2024-11-27,10732.12,10896.07,10673.11,10848.30,330284,EQ,2642272,25,6605
2024-11-28,10881.51,10897.09,10670.77,10709.92,326140,EQ,2609120,25,6522
2024-11-29,10629.29,10938.96,10629.29,10908.92,367574,EQ,2940592,25,7351
2024-12-02,10913.35,11471.65,10913.35,11343.64,633694,EQ,5069552,25,12673
2024-12-03,11369.15,11622.59,11320.65,11542.10,501811,EQ,4014488,25,10036
2024-12-04,11555.59,11608.32,11440.53,11458.79,306770,EQ,2454160,25,6135
2024-12-05,11437.56,11687.79,11415.99,11620.45,436371,EQ,3490968,25,8727
2024-12-06,11626.48,11643.38,11508.65,11538.35,193324,EQ,1546592,25,3866
2024-12-09,11547.99,11578.77,11411.27,11505.53,268177,EQ,2145416,25,5363
2024-12-10,11437.56,11498.04,11388.87,11438.34,232758,EQ,1862064,25,4655
2024-12-11,11540.79,11749.18,11506.02,11587.04,527029,EQ,4216232,25,10540
2024-12-12,11631.35,11631.35,11482.26,11546.58,247809,EQ,1982472,25,4956
2024-12-13,11491.12,11801.29,11422.96,11767.59,408880,EQ,3271040,25,8177
2024-12-16,11734.58,11827.43,11560.26,11629.89,214946,EQ,1719568,25,4298
2024-12-17,11618.35,11660.71,11377.38,11466.73,244639,EQ,1957112,25,4892
2024-12-18,11466.78,11544.68,11393.74,11456.02,222900,EQ,1783200,25,4458
2024-12-19,11333.36,11452.17,11269.14,11365.30,162249,EQ,1297992,25,3244
2024-12-20,11359.51,11440.48,11099.30,11123.79,299802,EQ,2398416,25,5996
2024-12-23,11218.45,11279.27,11077.25,11172.29,149350,EQ,1194800,25,2987
2024-12-24,11170.73,11283.75,11062.64,11092.19,108000,EQ,864000,25,2160
2024-12-26,11092.19,11490.15,11037.81,11160.66,144283,EQ,1154264,25,2885
2024-12-27,11190.79,11252.54,11086.98,11107.97,118410,EQ,947280,25,2368
2024-12-30,11120.53,11206.42,10945.49,10992.86,164726,EQ,1317808,25,3294
2024-12-31,10975.00,11164.89,10901.03,11127.25,241737,EQ,1933896,25,4834
2025-01-01,11112.30,11219.33,11009.08,11147.36,107951,EQ,863608,25,2159
2025-01-02,11198.98,11519.51,11155.20,11488.88,267609,EQ,2140872,25,5352
2025-01-03,11490.15,11551.16,11406.40,11477.49,237651,EQ,1901208,25,4753
2025-01-06,11493.02,11544.44,11150.48,11202.48,139820,EQ,1118560,25,2796
2025-01-07,11213.53,11330.59,11184.51,11314.42,197212,EQ,1577696,25,3944
2025-01-08,11314.42,11325.52,11072.38,11105.05,159583,EQ,1276664,25,3191
2025-01-09,11105.05,11133.19,10890.27,10965.06,196555,EQ,1572440,25,3931
2025-01-10,10909.99,10991.79,10553.87,10580.79,228618,EQ,1828944,25,4572
2025-01-13,10419.92,10546.51,10316.11,10337.29,225902,EQ,1807216,25,4518
2025-01-14,10293.32,10452.05,10188.15,10209.33,344404,EQ,2755232,25,6888
2025-01-15,10264.10,10364.80,10192.77,10246.23,371459,EQ,2971672,25,7429
2025-01-16,10312.79,10524.70,10273.84,10357.79,375910,EQ,3007280,25,7518
2025-01-17,10357.79,10443.24,10225.25,10303.06,297759,EQ,2382072,25,5955
2025-01-20,10310.26,10373.95,10209.81,10346.34,332061,EQ,2656488,25,6641
2025-01-21,10398.00,10680.95,10363.48,10388.56,593842,EQ,4750736,25,11876
2025-01-22,10419.92,10515.16,10329.11,10413.83,249552,EQ,1996416,25,4991
2025-01-23,10410.18,11268.55,10410.13,11121.95,1510866,EQ,12086928,25,30217
2025-01-24,10956.49,11305.80,10928.64,10990.43,545939,EQ,4367512,25,10918
2025-01-27,10965.26,11062.64,10858.14,10945.29,414994,EQ,3319952,25,8299
2025-01-28,10921.44,11112.89,10776.34,11000.66,436707,EQ,3493656,25,8734
2025-01-29,11000.66,11271.96,10966.08,11242.65,377755,EQ,3022040,25,7555
2025-01-30,11242.65,11308.53,11150.28,11178.92,274820,EQ,2198560,25,5496
2025-01-31,11187.92,11295.38,11093.95,11186.75,361656,EQ,2893248,25,7233
2025-02-01,11242.70,11478.46,10515.59,10964.43,513602,EQ,4108816,25,10272
2025-02-03,10829.17,10987.46,10664.74,10882.14,450593,EQ,3604744,25,9011
2025-02-04,10906.92,11245.57,10821.28,11217.62,314752,EQ,2518016,25,6295
2025-02-05,11217.57,11328.35,11133.73,11282.43,236897,EQ,1895176,25,4737
2025-02-06,11274.15,11315.39,11031.18,11176.92,308664,EQ,2469312,25,6173
2025-02-07,11200.05,11425.88,11174.68,11335.89,310549,EQ,2484392,25,6210
2025-02-10,11218.45,11309.70,11189.24,11230.43,262455,EQ,2099640,25,5249
2025-02-11,11196.05,11214.17,10946.02,11004.40,301338,EQ,2410704,25,6026
2025-02-12,11004.21,11295.38,10784.71,11178.04,347198,EQ,2777584,25,6943
2025-02-13,11198.97,11344.95,11123.21,11244.21,336128,EQ,2689024,25,6722
2025-02-14,11285.65,11285.65,10889.30,10969.01,279199,EQ,2233592,25,5583
2025-02-17,10925.33,11208.62,10754.33,11189.33,166053,EQ,1328424,25,3321
2025-02-18,11150.28,11160.61,10956.49,11012.88,268795,EQ,2150360,25,5375
2025-02-19,10994.47,11160.02,10937.02,10995.98,157580,EQ,1260640,25,3151
2025-02-20,10995.54,11033.43,10950.85,10992.13,142187,EQ,1137496,25,2843
2025-02-21,10970.13,10994.47,10702.33,10865.20,320240,EQ,2561920,25,6404
2025-02-24,10720.49,10877.61,10687.77,10753.60,175294,EQ,1402352,25,3505
2025-02-25,10753.60,10764.89,10557.22,10677.15,296499,EQ,2371992,25,5929
2025-02-27,10517.30,10517.30,9995.72,10174.17,1722295,EQ,13778360,25,34445
2025-02-28,10215.41,10215.41,9784.84,9863.33,1230856,EQ,9846848,25,24617
2025-03-03,10049.13,10343.76,10013.98,10070.12,835344,EQ,6682752,25,16706
2025-03-04,9981.69,10181.13,9971.96,10098.65,352922,EQ,2823376,25,7058
2025-03-05,10115.99,10231.77,10025.76,10190.29,310832,EQ,2486656,25,6216
2025-03-06,10263.91,10264.10,10047.14,10218.82,365920,EQ,2927360,25,7318
2025-03-07,10226.12,10331.88,10173.25,10305.39,302339,EQ,2418712,25,6046
2025-03-10,10311.82,10366.94,10202.75,10244.72,165649,EQ,1325192,25,3312
2025-03-11,10138.48,10233.48,10085.16,10165.99,180753,EQ,1446024,25,3615
2025-03-12,10205.67,10273.65,10090.76,10245.02,299765,EQ,2398120,25,5995
2025-03-13,10244.63,10244.63,10108.39,10178.50,219474,EQ,1755792,25,4389
2025-03-17,10270.43,10300.48,10174.51,10271.02,212061,EQ,1696488,25,4241
2025-03-18,10271.02,10271.02,10271.02,10271.02,0,EQ,0,25,0
2025-03-19,10429.65,10658.60,10419.92,10647.06,269175,EQ,2153400,25,5383
2025-03-20,10645.02,10945.78,10532.88,10661.57,549251,EQ,4394008,25,10985
2025-03-21,10730.57,10774.39,10600.71,10689.42,656565,EQ,5252520,25,13131
2025-03-24,10730.52,10787.97,10569.74,10761.92,294688,EQ,2357504,25,5893
2025-03-25,10945.78,11178.38,10911.40,11122.24,754457,EQ,6035656,25,15089
2025-03-26,11083.09,11186.31,11004.21,11103.64,401569,EQ,3212552,25,8031
2025-03-27,11102.08,11325.52,11052.90,11295.97,406112,EQ,3248896,25,8122
2025-03-28,11282.24,11392.77,11158.71,11208.27,280960,EQ,2247680,25,5619
2025-04-01,11052.90,11262.91,11040.39,11080.80,263144,EQ,2105152,25,5262
2025-04-02,11062.64,11062.64,10885.50,10956.44,376468,EQ,3011744,25,7529
2025-04-03,10896.11,11345.10,10863.00,11302.78,361884,EQ,2895072,25,7237
2025-04-04,11295.38,11309.50,11122.04,11197.66,222191,EQ,1777528,25,4443
2025-04-07,10906.83,11004.26,10726.72,10898.65,484513,EQ,3876104,25,9690
2025-04-08,11021.50,11240.61,10946.56,10975.43,602120,EQ,4816960,25,12042
2025-04-09,10993.35,11123.99,10887.35,11098.72,230611,EQ,1844888,25,4612
2025-04-11,11532.36,11532.36,11154.23,11201.56,351037,EQ,2808296,25,7020
2025-04-15,11441.46,11441.46,11277.85,11412.24,345260,EQ,2762080,25,6905
2025-04-16,11361.60,11517.42,11361.60,11421.01,268150,EQ,2145200,25,5363
2025-04-17,11361.60,11609.93,11296.36,11589.48,290473,EQ,2323784,25,5809
2025-04-21,11506.70,11793.01,11472.62,11621.61,230595,EQ,1844760,25,4611
2025-04-22,11621.61,11702.44,11539.81,11645.96,334667,EQ,2677336,25,6693
2025-04-23,11724.84,11724.84,11516.44,11636.22,267716,EQ,2141728,25,5354
2025-04-24,11566.11,11868.97,11559.29,11840.72,339743,EQ,2717944,25,6794
2025-04-25,11830.99,11981.93,11549.55,11916.68,412558,EQ,3300464,25,8251
2025-04-28,11911.81,12016.01,11686.86,11796.90,516745,EQ,4133960,25,10334
2025-04-29,11881.63,11902.08,11491.12,11558.32,516495,EQ,4131960,25,10329
2025-04-30,11558.32,11612.85,11198.98,11336.28,630392,EQ,5043136,25,12607
2025-05-02,11336.28,11442.43,11180.47,11309.02,189474,EQ,1515792,25,3789
2025-05-05,11395.69,11421.01,11347.00,11364.53,145699,EQ,1165592,25,2913
2025-05-06,11392.77,11421.98,11241.82,11386.92,273048,EQ,2184384,25,5460
2025-05-07,11346.02,11393.74,11250.59,11352.84,217460,EQ,1739680,25,4349
2025-05-08,11297.33,11432.69,11236.95,11326.55,388912,EQ,3111296,25,7778
2025-05-09,11179.50,11255.46,11016.87,11066.54,200270,EQ,1602160,25,4005
2025-05-12,11286.62,11458.99,11262.27,11428.80,182795,EQ,1462360,25,3655
2025-05-13,11393.74,11440.48,11263.25,11355.76,307678,EQ,2461424,25,6153
2025-05-14,11370.37,11433.67,11319.73,11366.47,179337,EQ,1434696,25,3586
2025-05-15,11366.47,11619.67,11338.23,11582.66,371371,EQ,2970968,25,7427
2025-05-16,11637.20,11676.15,11546.63,11593.37,209706,EQ,1677648,25,4194
2025-05-19,11592.40,11677.12,11569.03,11616.75,128237,EQ,1025896,25,2564
2025-05-20,11655.70,11666.41,11363.55,11390.82,158934,EQ,1271472,25,3178
2025-05-21,11390.82,11598.24,11329.47,11360.63,173017,EQ,1384136,25,3460
2025-05-22,11360.63,11393.74,11215.53,11374.26,175370,EQ,1402960,25,3507
2025-05-23,11420.03,11564.16,11355.76,11438.54,181463,EQ,1451704,25,3629
2025-05-26,11491.12,11572.92,11340.18,11383.03,198003,EQ,1584024,25,3960
2025-05-27,11370.37,11415.16,11077.25,11122.04,478345,EQ,3826760,25,9566
2025-05-28,11155.15,11169.76,10906.83,10943.83,201200,EQ,1609600,25,4024
2025-05-29,10954.55,11040.24,10859.11,10974.02,350206,EQ,2801648,25,7004
2025-05-30,10970.13,11013.95,10877.61,10916.57,394181,EQ,3153448,25,7883
2025-06-02,10887.35,10925.33,10730.57,10901.96,314936,EQ,2519488,25,6298
2025-06-03,10984.73,10996.42,10712.06,10746.15,349615,EQ,2796920,25,6992
2025-06-04,10751.02,10765.62,10634.16,10744.20,345047,EQ,2760376,25,6900
2025-06-05,10749.07,10887.35,10714.98,10866.90,191183,EQ,1529464,25,3823
2025-06-06,10887.35,11014.92,10828.92,10958.44,143723,EQ,1149784,25,2874
