date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,116.36,117.80,113.77,114.19,13015776,EQ,104126208,25,260315
2024-09-02,115.08,115.93,113.22,115.01,9080218,EQ,72641744,25,181604
2024-09-03,115.51,115.98,114.13,115.13,8543755,EQ,68350040,25,170875
2024-09-04,112.74,115.23,112.74,114.67,7475894,EQ,59807152,25,149517
2024-09-05,115.54,116.14,114.62,115.54,5827144,EQ,46617152,25,116542
2024-09-06,115.51,116.04,113.22,113.87,7379080,EQ,59032640,25,147581
2024-09-09,113.22,113.59,110.02,112.81,12913331,EQ,103306648,25,258266
2024-09-10,114.20,115.56,113.38,113.85,6293832,EQ,50350656,25,125876
2024-09-11,113.68,113.94,110.16,110.45,6913248,EQ,55305984,25,138264
2024-09-12,111.98,114.05,110.67,111.06,7510455,EQ,60083640,25,150209
2024-09-13,111.79,114.38,110.86,112.92,11548234,EQ,92385872,25,230964
2024-09-16,115.37,119.60,114.34,115.76,27066741,EQ,216533928,25,541334
2024-09-17,115.76,116.95,114.46,116.62,9509474,EQ,76075792,25,190189
2024-09-18,116.50,116.78,114.89,115.55,6371039,EQ,50968312,25,127420
2024-09-19,115.89,116.39,112.08,115.20,9388649,EQ,75109192,25,187772
2024-09-20,115.37,117.91,115.37,115.96,14117339,EQ,112938712,25,282346
2024-09-23,116.87,120.21,115.11,119.66,16543781,EQ,132350248,25,330875
2024-09-24,120.35,120.73,118.90,119.60,10044990,EQ,80359920,25,200899
2024-09-25,121.20,121.20,118.07,119.32,9163939,EQ,73311512,25,183278
2024-09-26,118.85,119.83,117.08,119.28,8084395,EQ,64675160,25,161687
2024-09-27,119.69,119.83,114.12,116.04,31323568,EQ,250588544,25,626471
2024-09-30,115.75,116.40,114.81,115.34,12931210,EQ,103449680,25,258624
2024-10-01,115.14,116.16,114.15,114.49,4801876,EQ,38415008,25,96037
2024-10-03,112.74,113.89,111.55,111.78,10929576,EQ,87436608,25,218591
2024-10-04,111.33,113.55,109.67,111.67,13145222,EQ,105161776,25,262904
2024-10-07,112.22,112.92,105.78,107.14,13576169,EQ,108609352,25,271523
2024-10-08,106.64,107.95,106.07,107.63,7239203,EQ,57913624,25,144784
2024-10-09,108.42,110.62,107.63,107.85,6626406,EQ,53011248,25,132528
