date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,408.49,415.11,407.48,410.94,14026797,EQ,112214376,25,280535
2024-09-02,414.67,415.50,404.41,406.38,11933834,EQ,95470672,25,238676
2024-09-03,414.93,415.15,405.37,407.52,23319237,EQ,186553896,25,466384
2024-09-04,403.92,406.12,399.14,402.96,15530065,EQ,124240520,25,310601
2024-09-05,406.60,411.82,405.42,409.41,12242972,EQ,97943776,25,244859
2024-09-06,410.46,412.61,401.07,403.35,17832425,EQ,142659400,25,356648
2024-09-09,404.36,404.76,396.12,403.75,14042464,EQ,112339712,25,280849
2024-09-10,403.34,407.19,400.72,403.52,13192375,EQ,105539000,25,263847
2024-09-11,403.52,403.93,389.35,390.50,13394230,EQ,107153840,25,267884
2024-09-12,394.39,406.77,393.25,405.08,13025897,EQ,104207176,25,260517
2024-09-13,408.01,418.56,407.65,416.40,15909513,EQ,127276104,25,318190
2024-09-16,420.03,431.95,407.55,409.30,34590598,EQ,276724784,25,691811
2024-09-17,413.33,416.59,409.98,412.51,11644008,EQ,93152064,25,232880
2024-09-18,413.42,413.61,408.70,411.13,5180919,EQ,41447352,25,103618
2024-09-19,413.61,415.72,400.77,412.46,7777695,EQ,62221560,25,155553
2024-09-20,414.52,420.44,411.45,412.64,17249829,EQ,137998632,25,344996
2024-09-23,415.44,418.42,412.74,415.53,5177341,EQ,41418728,25,103546
2024-09-24,418.47,434.24,418.19,431.22,28418267,EQ,227346136,25,568365
2024-09-25,438.37,445.71,434.52,440.07,24495683,EQ,195965464,25,489913
2024-09-26,444.38,463.04,437.45,460.15,42980530,EQ,343844240,25,859610
2024-09-27,464.05,473.13,464.05,470.47,24451210,EQ,195609680,25,489024
2024-09-30,475.97,480.23,466.34,470.15,19027211,EQ,152217688,25,380544
2024-10-01,467.99,478.12,464.18,473.36,14071685,EQ,112573480,25,281433
2024-10-03,470.47,477.34,466.80,469.32,13155901,EQ,105247208,25,263118
2024-10-04,471.38,473.17,459.60,466.52,12088199,EQ,96705592,25,241763
2024-10-07,470.38,471.20,450.61,458.82,15751180,EQ,126009440,25,315023
2024-10-08,458.82,461.94,444.42,456.21,13145961,EQ,105167688,25,262919
2024-10-09,457.63,460.84,448.59,455.11,11444008,EQ,91552064,25,228880
2024-10-10,447.54,457.99,447.13,451.67,9613583,EQ,76908664,25,192271
2024-10-11,454.97,461.75,453.41,456.25,8286066,EQ,66288528,25,165721
2024-10-14,458.54,465.01,453.27,457.77,7263419,EQ,58107352,25,145268
2024-10-15,458.54,459.42,446.07,449.24,7413480,EQ,59307840,25,148269
2024-10-16,449.42,455.33,445.57,446.35,7989101,EQ,63912808,25,159782
2024-10-17,448.59,451.76,432.09,433.00,12114419,EQ,96915352,25,242288
2024-10-18,433.46,443.55,425.53,440.98,10334732,EQ,82677856,25,206694
2024-10-21,444.33,448.92,434.70,435.62,5567492,EQ,44539936,25,111349
2024-10-22,436.53,438.96,420.53,422.55,7805984,EQ,62447872,25,156119
2024-10-23,421.86,431.77,416.45,424.61,9830637,EQ,78645096,25,196612
