date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,847.78,856.46,818.63,821.27,72627,EQ,581016,25,1452
2024-09-02,821.87,844.28,811.69,818.08,45151,EQ,361208,25,903
2024-09-03,819.63,827.56,814.64,817.98,40903,EQ,327224,25,818
2024-09-04,823.52,834.55,813.69,815.73,196089,EQ,1568712,25,3921
2024-09-05,811.49,820.97,810.24,818.38,63642,EQ,509136,25,1272
2024-09-06,818.38,833.55,815.04,822.57,95607,EQ,764856,25,1912
2024-09-09,826.86,831.56,794.12,797.96,69263,EQ,554104,25,1385
2024-09-10,798.61,803.41,787.63,798.06,137200,EQ,1097600,25,2744
2024-09-11,804.60,806.60,792.52,794.12,31710,EQ,253680,25,634
2024-09-12,796.02,804.60,789.88,799.26,31967,EQ,255736,25,639
2024-09-13,806.60,887.51,799.41,851.82,1093802,EQ,8750416,25,21876
2024-09-16,851.52,865.20,831.66,844.18,127011,EQ,1016088,25,2540
2024-09-17,844.48,856.96,831.91,850.12,66510,EQ,532080,25,1330
2024-09-18,849.13,853.52,840.64,847.28,64773,EQ,518184,25,1295
2024-09-19,852.52,861.50,838.54,858.66,111400,EQ,891200,25,2228
2024-09-20,868.49,879.92,855.61,874.58,136734,EQ,1093872,25,2734
2024-09-23,868.49,880.47,866.50,873.88,43255,EQ,346040,25,865
2024-09-24,880.47,897.44,873.68,894.15,160950,EQ,1287600,25,3219
2024-09-25,897.74,914.46,872.49,892.40,127446,EQ,1019568,25,2548
2024-09-26,898.44,911.62,873.48,875.18,41596,EQ,332768,25,831
2024-09-27,902.38,955.34,878.38,928.84,4448887,EQ,35591096,25,88977
2024-09-30,926.44,948.25,909.42,942.71,264619,EQ,2116952,25,5292
2024-10-01,942.36,942.71,895.60,902.83,269997,EQ,2159976,25,5399
2024-10-03,880.77,891.40,871.14,881.07,143508,EQ,1148064,25,2870
2024-10-04,883.47,908.42,865.90,896.79,96921,EQ,775368,25,1938
2024-10-07,893.45,895.45,855.61,881.37,90867,EQ,726936,25,1817
2024-10-08,886.06,901.39,881.47,891.80,51102,EQ,408816,25,1022
2024-10-09,900.39,902.43,884.96,890.55,46095,EQ,368760,25,921
2024-10-10,893.45,915.31,893.45,898.94,405639,EQ,3245112,25,8112
2024-10-11,903.33,906.38,877.38,879.72,123332,EQ,986656,25,2466
2024-10-14,883.97,884.02,863.60,872.93,31864,EQ,254912,25,637
2024-10-15,877.48,877.48,855.51,866.50,25999,EQ,207992,25,519
2024-10-16,869.49,875.48,860.71,870.44,18145,EQ,145160,25,362
2024-10-17,873.48,891.45,855.47,871.64,54761,EQ,438088,25,1095
2024-10-18,865.50,874.48,859.71,867.29,20073,EQ,160584,25,401
2024-10-21,864.55,896.44,864.55,877.43,96370,EQ,770960,25,1927
2024-10-22,877.43,879.37,829.61,838.64,28254,EQ,226032,25,565
2024-10-23,838.54,851.17,819.68,823.92,40337,EQ,322696,25,806
2024-10-24,824.57,846.53,781.94,801.01,262174,EQ,2097392,25,5243
2024-10-25,798.56,798.56,750.75,774.21,531118,EQ,4248944,25,10622
2024-10-28,776.60,784.44,739.97,745.66,96507,EQ,772056,25,1930
2024-10-29,744.91,755.54,726.59,750.20,77312,EQ,618496,25,1546
2024-10-30,763.67,777.65,747.60,770.36,43605,EQ,348840,25,872
2024-10-31,770.36,786.93,755.69,758.88,37015,EQ,296120,25,740
2024-11-01,756.79,778.60,756.69,775.55,5172,EQ,41376,25,103
2024-11-04,768.67,786.63,752.69,783.99,59468,EQ,475744,25,1189
2024-11-05,779.65,780.05,760.73,763.52,47408,EQ,379264,25,948
2024-11-06,776.60,778.65,763.52,775.70,17141,EQ,137128,25,342
2024-11-07,780.64,780.64,764.32,772.36,24445,EQ,195560,25,488
2024-11-08,775.65,775.65,747.55,753.14,30593,EQ,244744,25,611
2024-11-11,749.70,763.42,734.72,739.22,180066,EQ,1440528,25,3601
2024-11-12,754.69,754.69,739.27,745.76,20947,EQ,167576,25,418
2024-11-13,738.72,740.17,715.46,725.19,89796,EQ,718368,25,1795
2024-11-14,727.24,730.73,673.28,704.68,632545,EQ,5060360,25,12650
2024-11-18,702.88,702.88,684.36,698.69,117964,EQ,943712,25,2359
2024-11-19,698.84,726.39,696.69,721.60,159899,EQ,1279192,25,3197
2024-11-21,720.60,720.75,684.81,702.23,212136,EQ,1697088,25,4242
2024-11-22,709.27,710.82,689.35,703.88,115782,EQ,926256,25,2315
2024-11-25,705.77,718.90,704.93,716.11,70295,EQ,562360,25,1405
2024-11-26,713.76,750.00,707.22,741.06,160025,EQ,1280200,25,3200
2024-11-27,747.75,763.42,737.62,757.34,60393,EQ,483144,25,1207
2024-11-28,757.19,774.61,745.66,765.37,73043,EQ,584344,25,1460
2024-11-29,763.77,763.77,746.20,756.29,47986,EQ,383888,25,959
2024-12-02,763.67,768.67,743.71,763.33,75751,EQ,606008,25,1515
2024-12-03,759.48,799.66,755.19,779.05,57303,EQ,458424,25,1146
2024-12-04,784.64,797.17,773.06,794.52,93550,EQ,748400,25,1871
2024-12-05,794.22,803.56,787.73,794.82,66845,EQ,534760,25,1336
2024-12-06,813.19,835.90,780.99,813.64,516062,EQ,4128496,25,10321
2024-12-09,813.54,817.68,789.13,807.05,135742,EQ,1085936,25,2714
2024-12-10,813.44,813.44,794.62,799.66,72102,EQ,576816,25,1442
2024-12-11,798.61,805.35,791.63,794.72,15636,EQ,125088,25,312
2024-12-12,797.62,799.31,760.68,776.60,124097,EQ,992776,25,2481
2024-12-13,775.00,838.49,768.62,812.34,2329526,EQ,18636208,25,46590
2024-12-16,802.01,802.01,782.34,794.52,284067,EQ,2272536,25,5681
2024-12-17,787.33,818.23,787.28,815.18,120258,EQ,962064,25,2405
2024-12-18,811.09,840.29,811.09,834.75,238266,EQ,1906128,25,4765
2024-12-19,837.55,868.49,835.15,844.58,991150,EQ,7929200,25,19823
2024-12-20,844.58,845.98,814.64,823.62,139500,EQ,1116000,25,2790
2024-12-23,823.57,844.53,812.29,821.62,369465,EQ,2955720,25,7389
2024-12-24,824.52,831.51,807.65,817.63,193799,EQ,1550392,25,3875
2024-12-26,813.59,832.55,812.19,818.48,102105,EQ,816840,25,2042
