date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-08-30,251.03,251.17,248.25,249.50,19434804,EQ,155478432,25,388696
2024-09-02,249.50,251.17,246.46,246.74,15735982,EQ,125887856,25,314719
2024-09-03,247.00,250.63,245.37,248.41,15056686,EQ,120453488,25,301133
2024-09-04,244.68,244.80,239.47,240.58,20402128,EQ,163217024,25,408042
2024-09-05,241.53,243.75,240.74,243.22,12069118,EQ,96552944,25,241382
2024-09-06,243.22,245.56,240.25,241.25,14579954,EQ,116639632,25,291599
2024-09-09,239.63,241.78,237.94,238.59,11919540,EQ,95356320,25,238390
2024-09-10,239.49,244.68,238.19,243.64,10287272,EQ,82298176,25,205745
2024-09-11,243.29,243.87,237.84,238.35,8261524,EQ,66092192,25,165230
2024-09-12,241.18,246.53,239.93,245.63,15779474,EQ,126235792,25,315589
2024-09-13,247.37,256.03,246.00,255.15,35919706,EQ,287357648,25,718394
2024-09-16,256.26,258.05,254.41,255.75,11088578,EQ,88708624,25,221771
2024-09-17,254.41,257.15,253.51,255.75,8728238,EQ,69825904,25,174564
2024-09-18,254.43,254.43,246.83,249.38,16665520,EQ,133324160,25,333310
2024-09-19,252.19,255.55,245.21,247.16,20969182,EQ,167753456,25,419383
2024-09-20,249.27,250.59,246.07,249.82,16664232,EQ,133313856,25,333284
2024-09-23,249.82,250.43,246.53,247.88,8544290,EQ,68354320,25,170885
2024-09-24,246.63,251.12,245.30,250.03,12355694,EQ,98845552,25,247113
2024-09-25,249.68,249.96,245.95,248.48,8065196,EQ,64521568,25,161303
2024-09-26,249.64,251.68,248.25,251.12,11403400,EQ,91227200,25,228068
2024-09-27,254.36,259.00,250.56,251.07,26462384,EQ,211699072,25,529247
2024-09-30,249.31,252.33,247.46,250.91,8199446,EQ,65595568,25,163988
2024-10-01,250.33,254.69,250.33,253.37,9411274,EQ,75290192,25,188225
2024-10-03,250.29,251.35,243.87,245.68,14035368,EQ,112282944,25,280707
2024-10-04,244.70,251.14,244.70,247.25,11922754,EQ,95382032,25,238455
2024-10-07,249.31,251.03,243.73,246.28,9878074,EQ,79024592,25,197561
2024-10-08,246.32,247.37,241.11,244.19,11502804,EQ,92022432,25,230056
2024-10-09,245.51,249.64,244.91,246.14,8841688,EQ,70733504,25,176833
2024-10-10,247.92,249.13,242.57,243.29,12620244,EQ,100961952,25,252404
2024-10-11,241.13,247.65,241.13,244.82,8436982,EQ,67495856,25,168739
2024-10-14,249.64,255.73,248.53,254.67,33136266,EQ,265090128,25,662725
2024-10-15,256.20,256.20,246.00,246.97,21601252,EQ,172810016,25,432025
2024-10-16,247.00,249.68,245.14,246.60,12553622,EQ,100428976,25,251072
2024-10-17,247.90,249.31,243.31,245.03,23755278,EQ,190042224,25,475105
2024-10-18,246.53,258.77,243.20,254.25,74653054,EQ,597224432,25,1493061
2024-10-21,255.62,260.39,253.48,253.99,23966964,EQ,191735712,25,479339
2024-10-22,254.78,257.42,252.02,252.77,18478300,EQ,147826400,25,369566
2024-10-23,253.72,256.96,251.26,253.58,12698576,EQ,101588608,25,253971
2024-10-24,253.58,255.11,252.63,253.44,9576604,EQ,76612832,25,191532
2024-10-25,254.76,255.80,250.47,251.84,10124540,EQ,80996320,25,202490
2024-10-28,251.84,259.42,251.49,258.86,11185858,EQ,89486864,25,223717
2024-10-29,259.42,261.08,256.38,260.53,12055630,EQ,96445040,25,241112
2024-10-30,260.67,268.20,260.02,261.94,20755492,EQ,166043936,25,415109
2024-10-31,261.73,262.43,254.09,255.71,15680094,EQ,125440752,25,313601
2024-11-01,255.66,257.15,254.87,255.50,1962810,EQ,15702480,25,39256
2024-11-04,255.34,256.01,247.55,250.61,9855560,EQ,78844480,25,197111
2024-11-05,251.63,252.72,250.43,251.95,6862260,EQ,54898080,25,137245
2024-11-06,253.69,262.22,250.70,261.32,19554884,EQ,156439072,25,391097
2024-11-07,262.29,264.00,256.94,261.08,11997142,EQ,95977136,25,239942
2024-11-08,261.83,268.22,261.83,263.68,20852658,EQ,166821264,25,417053
2024-11-11,263.68,270.26,262.31,265.76,16139444,EQ,129115552,25,322788
2024-11-12,266.46,268.64,263.70,264.44,11260890,EQ,90087120,25,225217
2024-11-13,264.14,265.81,262.08,263.68,11391200,EQ,91129600,25,227824
2024-11-14,263.66,266.25,261.45,262.61,9783520,EQ,78268160,25,195670
2024-11-18,262.61,262.61,250.38,256.20,15289764,EQ,122318112,25,305795
2024-11-19,257.65,264.05,257.05,260.44,12919778,EQ,103358224,25,258395
2024-11-21,260.44,263.03,257.33,258.19,11672608,EQ,93380864,25,233452
2024-11-22,260.41,265.81,258.54,264.91,14733232,EQ,117865856,25,294664
2024-11-25,266.69,272.28,265.95,269.91,23297474,EQ,186379792,25,465949
2024-11-26,271.09,273.57,268.45,272.95,15771340,EQ,126170720,25,315426
2024-11-27,274.11,276.19,269.66,270.12,13659676,EQ,109277408,25,273193
2024-11-28,271.44,271.56,264.40,265.16,11896556,EQ,95172448,25,237931
2024-11-29,266.46,269.12,264.88,267.78,8540112,EQ,68320896,25,170802
2024-12-02,269.91,271.35,267.94,270.89,11194000,EQ,89552000,25,223880
