date,open,high,low,close,volume,series,value,trades,deliverable_volume
2024-09-02,252.00,252.30,241.85,244.45,55833057,EQ,446664456,25,1116661
2024-09-03,246.75,252.95,245.40,247.70,66538683,EQ,532309464,25,1330773
2024-09-04,244.45,245.00,240.40,242.85,58762234,EQ,470097872,25,1175244
2024-09-05,248.05,261.60,246.00,254.85,115627516,EQ,925020128,25,2312550
2024-09-06,255.00,262.15,254.25,259.95,75700809,EQ,605606472,25,1514016
2024-09-09,260.00,265.00,256.30,263.20,58534619,EQ,468276952,25,1170692
2024-09-10,265.85,270.30,259.55,267.70,68658961,EQ,549271688,25,1373179
2024-09-11,268.25,281.50,268.10,271.75,121883781,EQ,975070248,25,2437675
2024-09-12,276.30,286.00,274.30,283.90,101691858,EQ,813534864,25,2033837
2024-09-13,285.40,286.45,271.10,272.90,82150759,EQ,657206072,25,1643015
2024-09-16,274.50,282.00,269.20,277.70,47792145,EQ,382337160,25,955842
2024-09-17,277.65,278.00,270.00,270.75,33515464,EQ,268123712,25,670309
2024-09-18,270.65,277.85,269.90,275.85,30225926,EQ,241807408,25,604518
2024-09-19,276.50,280.95,272.25,278.85,48225291,EQ,385802328,25,964505
2024-09-20,279.00,293.00,278.95,290.50,84416068,EQ,675328544,25,1688321
2024-09-23,292.00,298.25,290.55,297.00,48761823,EQ,390094584,25,975236
2024-09-24,298.00,298.00,290.25,291.70,40844804,EQ,326758432,25,816896
2024-09-25,291.80,291.85,283.05,285.40,47685746,EQ,381485968,25,953714
2024-09-26,285.40,285.90,278.50,283.90,39057810,EQ,312462480,25,781156
2024-09-27,275.40,286.90,273.50,278.15,58812631,EQ,470501048,25,1176252
2024-09-30,277.90,277.90,272.45,273.30,40976919,EQ,327815352,25,819538
2024-10-01,272.55,276.45,271.30,274.15,32110540,EQ,256884320,25,642210
2024-10-03,269.70,272.45,268.00,269.00,40791499,EQ,326331992,25,815829
2024-10-04,267.00,277.85,264.10,275.30,59102827,EQ,472822616,25,1182056
2024-10-07,278.55,279.00,261.60,266.10,51381672,EQ,411053376,25,1027633
2024-10-08,266.00,280.90,262.60,278.70,68958719,EQ,551669752,25,1379174
2024-10-09,279.00,290.00,275.35,279.95,62967866,EQ,503742928,25,1259357
2024-10-10,280.50,282.45,274.10,275.35,38904819,EQ,311238552,25,778096
2024-10-11,276.40,279.00,275.50,277.55,17126335,EQ,137010680,25,342526
2024-10-14,280.90,285.25,278.00,280.05,45217362,EQ,361738896,25,904347
2024-10-15,283.00,283.00,276.10,279.55,23988729,EQ,191909832,25,479774
2024-10-16,279.00,279.40,273.00,274.25,20872032,EQ,166976256,25,417440
2024-10-17,275.00,275.15,268.60,270.55,25228600,EQ,201828800,25,504572
2024-10-18,256.90,270.30,255.25,257.45,108015952,EQ,864127616,25,2160319
2024-10-21,258.00,267.00,254.50,265.70,88316113,EQ,706528904,25,1766322
2024-10-22,267.00,270.90,252.75,256.35,69963412,EQ,559707296,25,1399268
2024-10-23,256.35,268.00,242.10,264.05,161602998,EQ,1292823984,25,3232059
2024-10-24,267.20,268.40,252.55,254.30,60352258,EQ,482818064,25,1207045
2024-10-25,256.00,257.95,246.50,253.80,66829144,EQ,534633152,25,1336582
2024-10-28,252.00,259.25,247.10,253.95,41028381,EQ,328227048,25,820567
2024-10-29,254.95,255.90,248.45,252.25,30238688,EQ,241909504,25,604773
2024-10-30,249.15,250.50,245.05,246.85,48399791,EQ,387198328,25,967995
2024-10-31,248.00,248.80,240.40,241.75,36737366,EQ,293898928,25,734747
2024-11-01,244.40,250.00,244.15,248.99,13009914,EQ,104079312,25,260198
2024-11-04,242.93,246.99,240.00,245.08,49186567,EQ,393492536,25,983731
2024-11-05,244.00,246.35,239.45,241.87,42081056,EQ,336648448,25,841621
2024-11-06,243.30,256.14,243.30,254.94,61727658,EQ,493821264,25,1234553
2024-11-07,257.00,262.45,254.00,255.22,56967827,EQ,455742616,25,1139356
2024-11-08,256.20,258.12,245.90,248.73,48676279,EQ,389410232,25,973525
2024-11-11,244.75,259.50,244.00,258.62,43972581,EQ,351780648,25,879451
2024-11-12,259.95,264.90,255.30,260.99,50975031,EQ,407800248,25,1019500
2024-11-13,258.08,263.43,254.53,258.40,61475328,EQ,491802624,25,1229506
2024-11-14,261.50,271.00,260.70,269.66,84971093,EQ,679768744,25,1699421
2024-11-18,274.30,274.40,269.36,270.79,59799056,EQ,478392448,25,1195981
2024-11-19,271.94,272.70,267.66,271.36,42992794,EQ,343942352,25,859855
2024-11-21,273.70,275.49,262.11,266.81,57742968,EQ,461943744,25,1154859
2024-11-22,266.80,268.99,262.55,264.20,26626294,EQ,213010352,25,532525
2024-11-25,273.25,284.34,271.17,273.31,119525837,EQ,956206696,25,2390516
2024-11-26,273.80,281.14,272.61,280.11,48373365,EQ,386986920,25,967467
2024-11-27,281.00,289.70,278.76,284.72,66635986,EQ,533087888,25,1332719
2024-11-28,285.60,288.25,281.43,286.13,49584020,EQ,396672160,25,991680
2024-11-29,285.00,287.49,273.62,279.76,73433199,EQ,587465592,25,1468663
2024-12-02,281.90,285.70,280.45,282.50,35170688,EQ,281365504,25,703413
2024-12-03,279.70,282.35,279.00,279.85,30078648,EQ,240629184,25,601572
2024-12-04,283.00,288.00,283.00,286.25,45520598,EQ,364164784,25,910411
2024-12-05,288.25,304.65,286.85,299.35,102148528,EQ,817188224,25,2042970
2024-12-06,300.00,303.90,296.25,302.95,49309068,EQ,394472544,25,986181
2024-12-09,304.70,304.70,291.80,295.30,51131895,EQ,409055160,25,1022637
2024-12-10,296.75,299.45,295.00,295.85,31333039,EQ,250664312,25,626660
2024-12-11,290.00,294.30,288.60,291.80,39053928,EQ,312431424,25,781078
2024-12-12,291.80,295.00,284.10,284.90,38405304,EQ,307242432,25,768106
2024-12-13,279.00,288.95,278.20,288.25,47302705,EQ,378421640,25,946054
2024-12-16,289.00,295.90,286.55,294.15,31320679,EQ,250565432,25,626413
2024-12-17,295.50,303.45,292.30,296.80,72724924,EQ,581799392,25,1454498
2024-12-18,297.70,297.70,290.00,291.90,28348122,EQ,226784976,25,566962
2024-12-19,288.05,290.20,284.70,288.50,31350637,EQ,250805096,25,627012
2024-12-20,290.00,290.50,274.20,282.10,271472990,EQ,2171783920,25,5429459
2024-12-23,273.90,282.90,272.00,273.95,74588008,EQ,596704064,25,1491760
2024-12-24,274.50,277.00,269.10,274.85,37011994,EQ,296095952,25,740239
2024-12-26,276.60,276.80,271.25,273.20,26031760,EQ,208254080,25,520635
2024-12-27,274.90,275.90,269.75,271.25,18997843,EQ,151982744,25,379956
2024-12-30,271.25,291.60,269.80,282.10,143568542,EQ,1148548336,25,2871370
2024-12-31,278.00,281.60,275.00,278.05,31925776,EQ,255406208,25,638515
2025-01-01,279.00,279.10,276.00,276.50,14417581,EQ,115340648,25,288351
2025-01-02,277.90,286.00,276.00,284.60,27949423,EQ,223595384,25,558988
2025-01-03,285.00,285.00,271.50,272.85,48244937,EQ,385959496,25,964898
2025-01-06,274.50,274.80,262.20,264.85,52254616,EQ,418036928,25,1045092
2025-01-07,256.95,259.20,251.00,252.45,115216965,EQ,921735720,25,2304339
2025-01-08,251.70,252.75,244.35,250.05,57146621,EQ,457172968,25,1142932
2025-01-09,251.60,252.55,244.55,245.35,49569418,EQ,396555344,25,991388
2025-01-10,244.90,246.40,237.45,242.95,53817888,EQ,430543104,25,1076357
2025-01-13,240.00,240.40,226.20,227.15,69081908,EQ,552655264,25,1381638
2025-01-14,233.95,237.60,230.00,233.60,85363264,EQ,682906112,25,1707265
2025-01-15,235.00,246.00,235.00,243.90,65921349,EQ,527370792,25,1318426
2025-01-16,250.00,262.00,241.00,241.90,69621318,EQ,556970544,25,1392426
2025-01-17,244.70,250.80,240.50,248.80,40007808,EQ,320062464,25,800156
2025-01-20,251.00,254.35,228.25,239.75,102666319,EQ,821330552,25,2053326
2025-01-21,223.00,227.00,207.80,214.55,308217731,EQ,2465741848,25,6164354
2025-01-22,207.15,218.20,203.85,216.45,178256196,EQ,1426049568,25,3565123
2025-01-23,219.65,223.45,216.45,221.95,75649874,EQ,605198992,25,1512997
2025-01-24,221.00,221.00,214.60,215.60,43901547,EQ,351212376,25,878030
2025-01-27,213.00,213.00,205.50,206.20,55203993,EQ,441631944,25,1104079
2025-01-28,206.25,211.75,205.60,208.20,54426157,EQ,435409256,25,1088523
2025-01-29,211.00,223.75,210.20,222.50,53638588,EQ,429108704,25,1072771
2025-01-30,223.00,224.80,217.00,218.80,44730687,EQ,357845496,25,894613
2025-01-31,219.00,223.00,217.00,220.35,33200044,EQ,265600352,25,664000
2025-02-01,220.35,240.40,215.60,235.02,85225887,EQ,681807096,25,1704517
2025-02-03,233.99,240.19,230.00,238.20,70249177,EQ,561993416,25,1404983
2025-02-04,242.00,242.00,229.34,234.54,64341167,EQ,514729336,25,1286823
2025-02-05,234.00,239.39,230.50,231.12,36437504,EQ,291500032,25,728750
2025-02-06,233.47,234.65,226.66,229.05,41606913,EQ,332855304,25,832138
