date,advances,declines,unchanged,adr
1995-01-03,2,3,4,0.6666666666666666
1995-01-04,2,4,4,0.5
1995-01-05,1,7,3,0.14285714285714285
1995-01-06,1,6,4,0.16666666666666666
1995-01-09,1,6,4,0.16666666666666666
1995-01-10,4,4,4,1.0
1995-01-11,4,4,4,1.0
1995-01-12,4,3,5,1.3333333333333333
1995-01-13,4,3,5,1.3333333333333333
1995-01-16,6,3,3,2.0
1995-01-17,6,5,1,1.2
1995-01-18,7,4,2,1.75
1995-01-19,4,5,4,0.8
1995-01-20,5,3,6,1.6666666666666667
1995-01-23,0,8,6,0.0
1995-01-24,3,5,6,0.6
1995-01-25,5,3,6,1.6666666666666667
1995-01-27,3,3,8,1.0
1995-01-30,5,5,4,1.0
1995-01-31,5,3,6,1.6666666666666667
1995-02-01,3,5,6,0.6
1995-02-02,6,2,6,3.0
1995-02-03,4,4,6,1.0
1995-02-06,2,7,5,0.2857142857142857
1995-02-07,2,10,2,0.2
1995-02-08,4,6,4,0.6666666666666666
1995-02-09,4,3,7,1.3333333333333333
1995-02-10,1,7,6,0.14285714285714285
1995-02-13,2,8,4,0.25
1995-02-14,4,3,7,1.3333333333333333
1995-02-15,4,5,5,0.8
1995-02-16,4,4,6,1.0
1995-02-17,1,9,4,0.1111111111111111
1995-02-20,2,9,3,0.2222222222222222
1995-02-21,2,9,3,0.2222222222222222
1995-02-22,3,3,8,1.0
1995-02-23,8,3,3,2.6666666666666665
1995-02-24,8,2,4,4.0
1995-02-28,4,7,3,0.5714285714285714
1995-03-01,10,1,3,10.0
1995-03-02,7,5,2,1.4
1995-03-03,8,1,5,8.0
1995-03-06,4,6,4,0.6666666666666666
1995-03-07,5,8,1,0.625
1995-03-08,3,3,8,1.0
1995-03-09,6,4,4,1.5
1995-03-10,5,5,4,1.0
1995-03-13,1,6,7,0.16666666666666666
1995-03-14,2,9,3,0.2222222222222222
1995-03-15,5,4,5,1.25
1995-03-16,2,6,6,0.3333333333333333
1995-03-20,2,7,5,0.2857142857142857
1995-03-21,2,7,5,0.2857142857142857
1995-03-22,6,2,6,3.0
1995-03-23,3,5,6,0.6
1995-03-24,3,7,4,0.42857142857142855
1995-03-27,6,4,4,1.5
1995-03-28,5,4,5,1.25
1995-03-29,4,5,5,0.8
1995-03-30,3,7,4,0.42857142857142855
1995-03-31,4,7,3,0.5714285714285714
1995-04-03,6,4,4,1.5
1995-04-04,4,7,3,0.5714285714285714
1995-04-05,9,1,4,9.0
1995-04-06,7,4,3,1.75
1995-04-07,5,6,3,0.8333333333333334
1995-04-10,3,5,6,0.6
1995-04-11,2,7,5,0.2857142857142857
1995-04-12,6,1,7,6.0
1995-04-17,3,9,2,0.3333333333333333
1995-04-18,2,7,5,0.2857142857142857
1995-04-19,6,5,3,1.2
1995-04-20,0,8,6,0.0
1995-04-21,4,6,4,0.6666666666666666
1995-04-24,2,8,4,0.25
1995-04-25,2,9,3,0.2222222222222222
1995-04-26,6,3,5,2.0
1995-04-27,3,8,3,0.375
1995-04-28,1,9,4,0.1111111111111111
1995-05-02,1,9,4,0.1111111111111111
1995-05-03,5,5,4,1.0
1995-05-04,8,1,5,8.0
1995-05-05,7,3,4,2.3333333333333335
1995-05-08,2,6,6,0.3333333333333333
