date,symbol,market_cap,free_float,shares_outstanding,avg_daily_traded_value
2026-08-30,IISL,,,,
2026-08-30,IDBI,996317659136.0,559985105.0,10752402175.0,1755260696.5
2026-08-30,JPASSOCIAT,,,,
2026-08-30,MCDOWELL-N,,,,
2026-08-30,MPHASIS,468455882752.0,131068520.0,190817050.0,915749370.0
2026-08-30,JINDALSTEL,1199821946880.0,375911194.0,1017488097.0,1061433296.0
2026-08-30,DLF,1682716753920.0,603304869.0,2475311706.0,2011373885.3999999
2026-08-30,CROMPGREAV,,,,
2026-08-30,RPOWER,92848062464.0,2877462650.0,4135770966.0,478804911.84999996
2026-08-30,UNIONBANK,1419850678272.0,1927048570.0,7633605607.0,1594340292.0
2026-08-30,ABIRLANUVO,,,,
2026-08-30,APOLLOHOSP,1270840688640.0,99591005.0,143784657.0,3395583768.5
2026-08-30,BHARATFORG,974201225216.0,256341563.0,478088632.0,1786614606.0
2026-08-30,CASTROLIND,183225040896.0,469097820.0,989122384.0,301734101.68
2026-08-30,GRASIM,2231451516928.0,361135680.0,678196497.0,3993556630.0
2026-08-30,UBL,352742899712.0,65707324.0,264405149.0,125620190.1
2026-08-30,DIVISLAB,2452664090624.0,117260126.0,265468580.0,3330410047.0
2026-08-30,TATAPOWER,1124280172544.0,1680045627.0,3195339547.0,1981794069.45
2026-08-30,GLAXO,526242873344.0,41291027.0,169406034.0,950048950.4
2026-08-30,GSKCONS,,,,
2026-08-30,TORNTPHARM,1920857800704.0,129831055.0,380367856.0,1379644850.0
2026-08-30,GLENMARK,709795053568.0,141617251.0,282224672.0,1359588880.0
2026-08-30,PFC,1161635823616.0,1407625405.0,3300101760.0,2890456096.0
2026-08-30,RECLTD,834205319168.0,1198702710.0,2633224000.0,1644958339.2
2026-08-30,CUMMINSIND,1439499550720.0,134891064.0,277200000.0,2554447086.0
2026-08-30,EMAMILTD,165608095744.0,190877085.0,436500000.0,345318877.4
2026-08-30,PNB,1326285586432.0,11491426586.0,11492943268.0,1209921109.0
2026-08-30,SUNTV,186993147904.0,84811034.0,394084620.0,133763448.0
2026-08-30,LICHSGFIN,294283706368.0,299803002.0,550063000.0,2012197060.0
2026-08-30,BEL,3010897903616.0,3488821344.0,7309778829.0,3771703219.7999997
2026-08-30,ABCAPITAL,1110140518400.0,868739969.0,2737370269.0,1244026652.75
2026-08-30,OIL,785407541248.0,543736688.0,1626607791.0,890646278.85
2026-08-30,BHEL,1500246966272.0,1420020257.0,3482063355.0,3474102102.8
2026-08-30,MRF,560170139648.0,2454562.0,4241143.0,444185040.0
