symbol,valid_from,valid_to,source,source_url,circular_no,notes
AARTIIND,2021-01-01,2025-08-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP46857.pdf,NSE/FAOP/46857,closed by NSE/FAOP/68113
ABB,2022-01-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP51131.pdf,NSE/FAOP/51131,
ABBOTINDIA,2021-10-01,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49456.pdf,NSE/FAOP/49456,closed by NSE/FAOP/65702
ABCAPITAL,2021-12-31,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50804.pdf,NSE/FAOP/50804,
ABFRL,2021-06-25,2025-08-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP48731.pdf,NSE/FAOP/48731,closed by NSE/FAOP/68691
ACC,2000-01-01,2025-08-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP67710.pdf,NSE/FAOP/67710,exclusion without prior introduction in coverage
ADANIENSOL,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
ADANIGREEN,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
ADANIPOWER,2000-01-01,2020-06-26,circular,https://nsearchives.nseindia.com/content/circulars/FAOP44195.pdf,NSE/FAOP/44195,exclusion without prior introduction in coverage
ADANIPOWER,2026-04-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP73533.zip,NSE/FAOP/73533,
AJANTPHARM,2015-05-29,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP29823.pdf,,closed by NSE/FAOP/40801
ALBK,2000-01-01,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40801.pdf,NSE/FAOP/40801,exclusion without prior introduction in coverage
ALKEM,2021-02-26,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,
AMARAJABAT,2015-05-29,2022-12-30,circular,https://nsearchives.nseindia.com/content/circulars/FAOP29823.pdf,,closed by NSE/FAOP/54192
AMBER,2025-06-27,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP68764.zip,NSE/FAOP/68764,
