index_id,name,family,n_symbols,slug
217,Nifty 50,broad,50,nifty_50
218,Nifty Next 50,broad,54,nifty_next_50
219,Nifty 100,broad,104,nifty_100
221,Nifty 500,broad,504,nifty_500
223,Nifty Midcap 150,broad,150,nifty_midcap_150
227,Nifty Smallcap 250,broad,250,nifty_smallcap_250
228,Nifty Microcap 250,broad,250,nifty_microcap_250
1001,Nifty Bank,sector,14,nifty_bank
1002,Nifty IT,sector,10,nifty_it
1003,Nifty FMCG,sector,15,nifty_fmcg
1004,Nifty Pharma,sector,20,nifty_pharma
1005,Nifty Auto,sector,15,nifty_auto
1006,Nifty Metal,sector,19,nifty_metal
1007,Nifty Realty,sector,10,nifty_realty
1008,Nifty Energy,sector,40,nifty_energy
1009,Nifty PSU Bank,sector,12,nifty_psu_bank
1010,Nifty Private Bank,sector,10,nifty_private_bank
1011,Nifty Healthcare Index,sector,20,nifty_healthcare
1012,Nifty Financial Services,sector,20,nifty_fin_services
1013,Nifty Media,sector,10,nifty_media
1014,Nifty Consumer Durables,sector,13,nifty_consumer_durables
1015,Nifty Oil & Gas,sector,15,nifty_oil_gas
2001,Nifty Alpha 50,strategy,50,nifty_alpha_50
2002,Nifty High Beta 50,strategy,50,nifty_high_beta_50
2003,Nifty Low Volatility 50,strategy,50,nifty_low_volatility_50
2005,Nifty50 Value 20,strategy,20,nifty50_value_20
2006,Nifty100 Equal Weight,strategy,100,nifty100_equal_weight
2007,Nifty100 Low Volatility 30,strategy,30,nifty100_low_volatility_30
2008,Nifty100 Quality 30,strategy,30,nifty100_quality_30
2009,Nifty Midcap 50,strategy,50,nifty_midcap_50
2010,Nifty Smallcap 50,strategy,50,nifty_smallcap_50
3001,Nifty Commodities,thematic,34,nifty_commodities
3002,Nifty Consumption,thematic,30,nifty_consumption
3003,Nifty CPSE,thematic,11,nifty_cpse
3004,Nifty Infrastructure,thematic,30,nifty_infra
3005,Nifty MNC,thematic,34,nifty_mnc
3006,Nifty PSE,thematic,20,nifty_pse
3007,Nifty Services Sector,thematic,30,nifty_services_sector
3008,Nifty India Manufacturing,thematic,76,nifty_india_manufacturing
3009,Nifty India Defence,thematic,19,nifty_india_defence
3010,Nifty India Corporate Group - Tata 25% Cap,thematic,10,nifty_tata_group_25cap
3011,Nifty India Select 5 Corporate Groups (MAATR),thematic,42,nifty_maatr
