symbol,company_name
SBIN,State Bank of India
HDFCBANK,HDFC Bank Limited
TITAN,Titan Company Limited
BRITANNIA,Britannia Industries Limited
ICICIBANK,ICICI Bank Limited
RELIANCE,Reliance Industries Limited
VEDL,Vedanta Limited
TCS,Tata Consultancy Services Limited
INFY,Infosys Limited
BHARTIARTL,Bharti Airtel Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
PIDILITIND,Pidilite Industries Limited
AXISBANK,Axis Bank Limited
HAL,Hindustan Aeronautics Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
COALINDIA,Coal India Limited
M&M,Mahindra & Mahindra Limited
LT,Larsen & Toubro Limited
ADANIPOWER,Adani Power Limited
KOTAKBANK,Kotak Mahindra Bank Limited
ASIANPAINT,Asian Paints Limited
SHRIRAMFIN,Shriram Finance Limited
ITC,ITC Limited
BAJFINANCE,Bajaj Finance Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
BEL,Bharat Electronics Limited
ETERNAL,ETERNAL LIMITED
BANKBARODA,Bank of Baroda
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
ADANIENSOL,Adani Energy Solutions Limited
PFC,Power Finance Corporation Limited
BAJAJ-AUTO,Bajaj Auto Limited
TATASTEEL,Tata Steel Limited
ADANIENT,Adani Enterprises Limited
INDIGO,InterGlobe Aviation Limited
MARUTI,Maruti Suzuki India Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
BPCL,Bharat Petroleum Corporation Limited
CGPOWER,CG Power and Industrial Solutions Limited
HCLTECH,HCL Technologies Limited
HINDALCO,Hindalco Industries Limited
WIPRO,Wipro Limited
ABB,ABB India Limited
ULTRACEMCO,UltraTech Cement Limited
HDFCAMC,HDFC Asset Management Company Limited
TMCV,Tata Motors Limited
PNB,Punjab National Bank
CUMMINSIND,Cummins India Limited
JIOFIN,Jio Financial Services Limited
ADANIGREEN,Adani Green Energy Limited
MUTHOOTFIN,Muthoot Finance Limited
ONGC,Oil & Natural Gas Corporation Limited
HINDUNILVR,Hindustan Unilever Limited
UNIONBANK,Union Bank of India
POWERGRID,Power Grid Corporation of India Limited
TRENT,Trent Limited
MOTHERSON,Samvardhana Motherson International Limited
CANBK,Canara Bank
AMBUJACEM,Ambuja Cements Limited
HINDZINC,Hindustan Zinc Limited
NESTLEIND,Nestle India Limited
SOLARINDS,Solar Industries India Limited
GODREJCP,Godrej Consumer Products Limited
TECHM,Tech Mahindra Limited
NTPC,NTPC Limited
EICHERMOT,Eicher Motors Limited
DLF,DLF Limited
MAXHEALTH,Max Healthcare Institute Limited
RECLTD,REC Limited
TATAPOWER,Tata Power Company Limited
LODHA,Lodha Developers Limited
UNITDSPR,United Spirits Limited
TMPV,Tata Motors Passenger Vehicles Limited
ENRIN,Siemens Energy India Limited
HYUNDAI,Hyundai Motor India Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
GRASIM,Grasim Industries Limited
HDFCLIFE,HDFC Life Insurance Company Limited
IOC,Indian Oil Corporation Limited
CIPLA,Cipla Limited
SIEMENS,Siemens Limited
TVSMOTOR,TVS Motor Company Limited
BAJAJFINSV,Bajaj Finserv Limited
INDHOTEL,The Indian Hotels Company Limited
SBILIFE,SBI Life Insurance Company Limited
DRREDDY,Dr. Reddy's Laboratories Limited
LTM,LTM Limited
JINDALSTEL,JINDAL STEEL LIMITED
DMART,Avenue Supermarts Limited
BOSCHLTD,Bosch Limited
DIVISLAB,Divi's Laboratories Limited
JSWSTEEL,JSW Steel Limited
VBL,Varun Beverages Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
SHREECEM,SHREE CEMENT LIMITED
IRFC,Indian Railway Finance Corporation Limited
GAIL,GAIL (India) Limited
ZYDUSLIFE,Zydus Lifesciences Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
TATACAP,Tata Capital Limited
