symbol,company_name
SBIN,State Bank of India
HDFCBANK,HDFC Bank Limited
TITAN,Titan Company Limited
BRITANNIA,Britannia Industries Limited
ICICIBANK,ICICI Bank Limited
RELIANCE,Reliance Industries Limited
TCS,Tata Consultancy Services Limited
INFY,Infosys Limited
BHARTIARTL,Bharti Airtel Limited
PIDILITIND,Pidilite Industries Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
LT,Larsen & Toubro Limited
KOTAKBANK,Kotak Mahindra Bank Limited
ASIANPAINT,Asian Paints Limited
ITC,ITC Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
BAJAJ-AUTO,Bajaj Auto Limited
MARUTI,Maruti Suzuki India Limited
HCLTECH,HCL Technologies Limited
WIPRO,Wipro Limited
ULTRACEMCO,UltraTech Cement Limited
HINDUNILVR,Hindustan Unilever Limited
NESTLEIND,Nestle India Limited
CIPLA,Cipla Limited
BAJAJFINSV,Bajaj Finserv Limited
SBILIFE,SBI Life Insurance Company Limited
DRREDDY,Dr. Reddy's Laboratories Limited
BOSCHLTD,Bosch Limited
SHREECEM,SHREE CEMENT LIMITED
TORNTPHARM,Torrent Pharmaceuticals Limited
