symbol,company_name
BRITANNIA,Britannia Industries Limited
TCS,Tata Consultancy Services Limited
INFY,Infosys Limited
PIDILITIND,Pidilite Industries Limited
HAL,Hindustan Aeronautics Limited
COALINDIA,Coal India Limited
ASIANPAINT,Asian Paints Limited
ITC,ITC Limited
BEL,Bharat Electronics Limited
BAJAJ-AUTO,Bajaj Auto Limited
MARUTI,Maruti Suzuki India Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
HCLTECH,HCL Technologies Limited
WIPRO,Wipro Limited
ABB,ABB India Limited
HINDUNILVR,Hindustan Unilever Limited
HINDZINC,Hindustan Zinc Limited
NESTLEIND,Nestle India Limited
SOLARINDS,Solar Industries India Limited
GODREJCP,Godrej Consumer Products Limited
TECHM,Tech Mahindra Limited
EICHERMOT,Eicher Motors Limited
UNITDSPR,United Spirits Limited
DRREDDY,Dr. Reddy's Laboratories Limited
LTM,LTM Limited
BOSCHLTD,Bosch Limited
DIVISLAB,Divi's Laboratories Limited
VBL,Varun Beverages Limited
HAVELLS,Havells India Limited
ZYDUSLIFE,Zydus Lifesciences Limited
