symbol,company_name
SBIN,State Bank of India
ICICIBANK,ICICI Bank Limited
TCS,Tata Consultancy Services Limited
INFY,Infosys Limited
AXISBANK,Axis Bank Limited
COALINDIA,Coal India Limited
KOTAKBANK,Kotak Mahindra Bank Limited
ITC,ITC Limited
BAJAJ-AUTO,Bajaj Auto Limited
MARUTI,Maruti Suzuki India Limited
HCLTECH,HCL Technologies Limited
HINDALCO,Hindalco Industries Limited
WIPRO,Wipro Limited
ONGC,Oil & Natural Gas Corporation Limited
POWERGRID,Power Grid Corporation of India Limited
TECHM,Tech Mahindra Limited
NTPC,NTPC Limited
TMPV,Tata Motors Passenger Vehicles Limited
CIPLA,Cipla Limited
DRREDDY,Dr. Reddy's Laboratories Limited
