symbol,company_name
SBIN,State Bank of India
BSE,BSE Limited
MCX,Multi Commodity Exchange of India Limited
VEDL,Vedanta Limited
M&M,Mahindra & Mahindra Limited
BHARATFORG,Bharat Forge Limited
ADANIPOWER,Adani Power Limited
SHRIRAMFIN,Shriram Finance Limited
POWERINDIA,Hitachi Energy India Limited
POLYCAB,Polycab India Limited
BEL,Bharat Electronics Limited
PAYTM,One 97 Communications Limited
MARUTI,Maruti Suzuki India Limited
RADICO,Radico Khaitan Limited
HDFCAMC,HDFC Asset Management Company Limited
AMBER,Amber Enterprises India Limited
KARURVYSYA,Karur Vysya Bank Limited
HINDCOPPER,Hindustan Copper Limited
INDIANB,Indian Bank
CUMMINSIND,Cummins India Limited
MUTHOOTFIN,Muthoot Finance Limited
ASHOKLEY,Ashok Leyland Limited
AUBANK,AU Small Finance Bank Limited
UNIONBANK,Union Bank of India
GVT&D,GE Vernova T&D India Limited
LAURUSLABS,Laurus Labs Limited
NATIONALUM,National Aluminium Company Limited
CANBK,Canara Bank
BDL,Bharat Dynamics Limited
SOLARINDS,Solar Industries India Limited
RBLBANK,RBL Bank Limited
FORTIS,Fortis Healthcare Limited
EICHERMOT,Eicher Motors Limited
FEDERALBNK,The Federal Bank  Limited
GLENMARK,Glenmark Pharmaceuticals Limited
BANKINDIA,Bank of India
POONAWALLA,Poonawalla Fincorp Limited
DELHIVERY,Delhivery Limited
TVSMOTOR,TVS Motor Company Limited
SBILIFE,SBI Life Insurance Company Limited
NAVINFLUOR,Navin Fluorine International Limited
ABCAPITAL,Aditya Birla Capital Limited
MFSL,Max Financial Services Limited
MANAPPURAM,Manappuram Finance Limited
LTF,L&T Finance Limited
NH,Narayana Hrudayalaya Ltd.
IIFL,IIFL Finance Limited
APARINDS,Apar Industries Limited
NYKAA,FSN E-Commerce Ventures Limited
REDINGTON,Redington Limited
