symbol,company_name
ASHOKLEY,Ashok Leyland Ltd.
BAJAJ-AUTO,Bajaj Auto Ltd.
BHARATFORG,Bharat Forge Ltd.
BOSCHLTD,Bosch Ltd.
EICHERMOT,Eicher Motors Ltd.
EXIDEIND,Exide Industries Ltd.
HEROMOTOCO,Hero MotoCorp Ltd.
M&M,Mahindra & Mahindra Ltd.
MARUTI,Maruti Suzuki India Ltd.
MOTHERSON,Samvardhana Motherson International Ltd.
SONACOMS,Sona BLW Precision Forgings Ltd.
TVSMOTOR,TVS Motor Company Ltd.
TMPV,Tata Motors Passenger Vehicles Ltd.
TIINDIA,Tube Investments of India Ltd.
UNOMINDA,UNO Minda Ltd.
