symbol,company_name
APLAPOLLO,APL Apollo Tubes Ltd.
ADANIENSOL,Adani Energy Solutions Ltd.
ADANIGREEN,Adani Green Energy Ltd.
ADANIPOWER,Adani Power Ltd.
AMBUJACEM,Ambuja Cements Ltd.
BPCL,Bharat Petroleum Corporation Ltd.
COALINDIA,Coal India Ltd.
DUMMYVEDL1,Dummy Vedanta Ltd. 1
DUMMYVEDL2,Dummy Vedanta Ltd. 2
DUMMYVEDL3,Dummy Vedanta Ltd. 3
DUMMYVEDL4,Dummy Vedanta Ltd. 4
GRASIM,Grasim Industries Ltd.
HINDALCO,Hindalco Industries Ltd.
HINDPETRO,Hindustan Petroleum Corporation Ltd.
IOC,Indian Oil Corporation Ltd.
JSWENERGY,JSW Energy Ltd.
JSWSTEEL,JSW Steel Ltd.
JINDALSTEL,Jindal Steel Ltd.
NHPC,NHPC Ltd.
NMDC,NMDC Ltd.
NTPC,NTPC Ltd.
ONGC,Oil & Natural Gas Corporation Ltd.
OIL,Oil India Ltd.
PIIND,PI Industries Ltd.
PIDILITIND,Pidilite Industries Ltd.
RELIANCE,Reliance Industries Ltd.
SRF,SRF Ltd.
SHREECEM,Shree Cement Ltd.
TATAPOWER,Tata Power Co. Ltd.
TATASTEEL,Tata Steel Ltd.
TORNTPOWER,Torrent Power Ltd.
UPL,UPL Ltd.
ULTRACEMCO,UltraTech Cement Ltd.
VEDL,Vedanta Ltd.
