symbol,company_name
ADANIPOWER,Adani Power Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
ASIANPAINT,Asian Paints Ltd.
DMART,Avenue Supermarts Ltd.
BAJAJ-AUTO,Bajaj Auto Ltd.
BHARTIARTL,Bharti Airtel Ltd.
BRITANNIA,Britannia Industries Ltd.
DLF,DLF Ltd.
DIXON,Dixon Technologies (India) Ltd.
EICHERMOT,Eicher Motors Ltd.
ETERNAL,Eternal Ltd.
GODREJCP,Godrej Consumer Products Ltd.
HAVELLS,Havells India Ltd.
HEROMOTOCO,Hero MotoCorp Ltd.
HINDUNILVR,Hindustan Unilever Ltd.
ITC,ITC Ltd.
INDHOTEL,Indian Hotels Co. Ltd.
NAUKRI,Info Edge (India) Ltd.
INDIGO,InterGlobe Aviation Ltd.
M&M,Mahindra & Mahindra Ltd.
MARUTI,Maruti Suzuki India Ltd.
MAXHEALTH,Max Healthcare Institute Ltd.
NESTLEIND,Nestle India Ltd.
TVSMOTOR,TVS Motor Company Ltd.
TATACONSUM,Tata Consumer Products Ltd.
TATAPOWER,Tata Power Co. Ltd.
TITAN,Titan Company Ltd.
TRENT,Trent Ltd.
UNITDSPR,United Spirits Ltd.
VBL,Varun Beverages Ltd.
