symbol,company_name
ABB,ABB India Ltd.
ADANIENSOL,Adani Energy Solutions Ltd.
ADANIGREEN,Adani Green Energy Ltd.
ADANIPOWER,Adani Power Ltd.
ATGL,Adani Total Gas Ltd.
AEGISLOG,Aegis Logistics Ltd.
BHEL,Bharat Heavy Electricals Ltd.
BPCL,Bharat Petroleum Corporation Ltd.
CESC,CESC Ltd.
CGPOWER,CG Power and Industrial Solutions Ltd.
CASTROLIND,Castrol India Ltd.
COALINDIA,Coal India Ltd.
GAIL,GAIL (India) Ltd.
GVT&D,GE Vernova T&D India Ltd.
GSPL,Gujarat State Petronet Ltd.
HINDPETRO,Hindustan Petroleum Corporation Ltd.
POWERINDIA,Hitachi Energy India Ltd.
IOC,Indian Oil Corporation Ltd.
IGL,Indraprastha Gas Ltd.
INOXWIND,Inox Wind Ltd.
JSWENERGY,JSW Energy Ltd.
JPPOWER,Jaiprakash Power Ventures Ltd.
MGL,Mahanagar Gas Ltd.
NHPC,NHPC Ltd.
NLCINDIA,NLC India Ltd.
NTPCGREEN,NTPC Green Energy Ltd.
NTPC,NTPC Ltd.
ONGC,Oil & Natural Gas Corporation Ltd.
OIL,Oil India Ltd.
PETRONET,Petronet LNG Ltd.
POWERGRID,Power Grid Corporation of India Ltd.
RELIANCE,Reliance Industries Ltd.
RPOWER,Reliance Power Ltd.
SJVN,SJVN Ltd.
ENRIN,Siemens Energy India Ltd.
SIEMENS,Siemens Ltd.
SUZLON,Suzlon Energy Ltd.
TATAPOWER,Tata Power Co. Ltd.
THERMAX,Thermax Ltd.
TORNTPOWER,Torrent Power Ltd.
