symbol,company_name
SBIN,State Bank of India
BSE,BSE Limited
HDFCBANK,HDFC Bank Limited
ICICIBANK,ICICI Bank Limited
AXISBANK,Axis Bank Limited
KOTAKBANK,Kotak Mahindra Bank Limited
SHRIRAMFIN,Shriram Finance Limited
BAJFINANCE,Bajaj Finance Limited
PFC,Power Finance Corporation Limited
JIOFIN,Jio Financial Services Limited
MUTHOOTFIN,Muthoot Finance Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
RECLTD,REC Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
HDFCLIFE,HDFC Life Insurance Company Limited
BAJAJFINSV,Bajaj Finserv Limited
SBILIFE,SBI Life Insurance Company Limited
MFSL,Max Financial Services Limited
SBICARD,SBI Cards and Payment Services Limited
LICHSGFIN,LIC Housing Finance Limited
