symbol,company_name
ABBOTINDIA,Abbott India Ltd.
ALKEM,Alkem Laboratories Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
AUROPHARMA,Aurobindo Pharma Ltd.
BIOCON,Biocon Ltd.
CIPLA,Cipla Ltd.
DIVISLAB,Divi's Laboratories Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd.
FORTIS,Fortis Healthcare Ltd.
GLENMARK,Glenmark Pharmaceuticals Ltd.
IPCALAB,Ipca Laboratories Ltd.
LAURUSLABS,Laurus Labs Ltd.
LUPIN,Lupin Ltd.
MANKIND,Mankind Pharma Ltd.
MAXHEALTH,Max Healthcare Institute Ltd.
PPLPHARMA,Piramal Pharma Ltd.
SUNPHARMA,Sun Pharmaceutical Industries Ltd.
SYNGENE,Syngene International Ltd.
TORNTPHARM,Torrent Pharmaceuticals Ltd.
ZYDUSLIFE,Zydus Lifesciences Ltd.
