symbol,company_name
BSE,BSE Limited
COFORGE,Coforge Limited
MCX,Multi Commodity Exchange of India Limited
VEDL,Vedanta Limited
KALYANKJIL,Kalyan Jewellers India Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
BHEL,Bharat Heavy Electricals Limited
KAYNES,Kaynes Technology India Limited
IDEA,Vodafone Idea Limited
ADANIPOWER,Adani Power Limited
SHRIRAMFIN,Shriram Finance Limited
NBCC,NBCC (India) Limited
ADANIENSOL,Adani Energy Solutions Limited
ANGELONE,Angel One Limited
PFC,Power Finance Corporation Limited
TATASTEEL,Tata Steel Limited
ADANIENT,Adani Enterprises Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
CDSL,Central Depository Services (India) Limited
KPITTECH,KPIT Technologies Limited
POLICYBZR,PB Fintech Limited
CARTRADE,Cartrade Tech Limited
AMBER,Amber Enterprises India Limited
HINDCOPPER,Hindustan Copper Limited
JIOFIN,Jio Financial Services Limited
ADANIGREEN,Adani Green Energy Limited
NATIONALUM,National Aluminium Company Limited
MOTHERSON,Samvardhana Motherson International Limited
BANDHANBNK,Bandhan Bank Limited
HUDCO,Housing & Urban Development Corporation Limited
DLF,DLF Limited
INOXWIND,Inox Wind Limited
RECLTD,REC Limited
WOCKPHARMA,Wockhardt Limited
TATAPOWER,Tata Power Company Limited
LODHA,Lodha Developers Limited
SAIL,Steel Authority of India Limited
RVNL,Rail Vikas Nigam Limited
NAUKRI,Info Edge (India) Limited
JSWENERGY,JSW Energy Limited
GODREJPROP,Godrej Properties Limited
PRESTIGE,Prestige Estates Projects Limited
MOTILALOFS,Motilal Oswal Financial Services Limited
ABCAPITAL,Aditya Birla Capital Limited
IREDA,Indian Renewable Energy Development Agency Limited
LTF,L&T Finance Limited
IRFC,Indian Railway Finance Corporation Limited
RPOWER,Reliance Power Limited
IIFL,IIFL Finance Limited
APARINDS,Apar Industries Limited
