symbol,company_name
HAL,Hindustan Aeronautics Limited
BHARATFORG,Bharat Forge Limited
APOLLO,Apollo Micro Systems Limited
BEL,Bharat Electronics Limited
COCHINSHIP,Cochin Shipyard Limited
GRSE,Garden Reach Shipbuilders & Engineers Limited
MTARTECH,Mtar Technologies Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
DATAPATTNS,Data Patterns (India) Limited
BDL,Bharat Dynamics Limited
SOLARINDS,Solar Industries India Limited
PARAS,Paras Defence and Space Technologies Limited
ZENTEC,Zen Technologies Limited
MIDHANI,Mishra Dhatu Nigam Limited
BEML,BEML Limited
AEQUS,Aequs Limited
ASTRAMICRO,Astra Microwave Products Limited
DYNAMATECH,Dynamatic Technologies Limited
AXISCADES,AXISCADES Technologies Limited
