symbol,company_name
RELIANCE,Reliance Industries Limited
VEDL,Vedanta Limited
DIXON,Dixon Technologies (India) Limited
PIDILITIND,Pidilite Industries Limited
HAL,Hindustan Aeronautics Limited
HSCL,Himadri Speciality Chemical Limited
LUPIN,Lupin Limited
BHEL,Bharat Heavy Electricals Limited
M&M,Mahindra & Mahindra Limited
BHARATFORG,Bharat Forge Limited
KAYNES,Kaynes Technology India Limited
POLYCAB,Polycab India Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
BEL,Bharat Electronics Limited
COCHINSHIP,Cochin Shipyard Limited
BAJAJ-AUTO,Bajaj Auto Limited
TATASTEEL,Tata Steel Limited
MARUTI,Maruti Suzuki India Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
BPCL,Bharat Petroleum Corporation Limited
CGPOWER,CG Power and Industrial Solutions Limited
HINDALCO,Hindalco Industries Limited
SUZLON,Suzlon Energy Limited
ABB,ABB India Limited
TMCV,Tata Motors Limited
HINDCOPPER,Hindustan Copper Limited
CUMMINSIND,Cummins India Limited
ASHOKLEY,Ashok Leyland Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
GVT&D,GE Vernova T&D India Limited
LAURUSLABS,Laurus Labs Limited
MOTHERSON,Samvardhana Motherson International Limited
HINDZINC,Hindustan Zinc Limited
SOLARINDS,Solar Industries India Limited
EICHERMOT,Eicher Motors Limited
KEI,KEI Industries Limited
BLUESTARCO,Blue Star Limited
TMPV,Tata Motors Passenger Vehicles Limited
ENRIN,Siemens Energy India Limited
HYUNDAI,Hyundai Motor India Limited
AUROPHARMA,Aurobindo Pharma Limited
VOLTAS,Voltas Limited
SRF,SRF Limited
IOC,Indian Oil Corporation Limited
CIPLA,Cipla Limited
SIEMENS,Siemens Limited
TVSMOTOR,TVS Motor Company Limited
UNOMINDA,UNO Minda Limited
APLAPOLLO,APL Apollo Tubes Limited
DRREDDY,Dr. Reddy's Laboratories Limited
JINDALSTEL,JINDAL STEEL LIMITED
NAVINFLUOR,Navin Fluorine International Limited
ESCORTS,Escorts Kubota Limited
BOSCHLTD,Bosch Limited
TIINDIA,Tube Investments of India Limited
UPL,UPL Limited
COROMANDEL,Coromandel International Limited
DIVISLAB,Divi's Laboratories Limited
JSWSTEEL,JSW Steel Limited
MRF,MRF Limited
ASTRAL,Astral Limited
HAVELLS,Havells India Limited
SONACOMS,Sona BLW Precision Forgings Limited
PAGEIND,Page Industries Limited
LINDEINDIA,Linde India Limited
ZYDUSLIFE,Zydus Lifesciences Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
PIIND,PI Industries Limited
SUPREMEIND,Supreme Industries Limited
CASTROLIND,Castrol India Limited
BALKRISIND,Balkrishna Industries Limited
ANTHEM,Anthem Biosciences Limited
ALKEM,Alkem Laboratories Limited
KPRMILL,K.P.R. Mill Limited
AIAENG,AIA Engineering Limited
HONAUT,Honeywell Automation India Limited
