symbol,company_name
ADANIGREEN,Adani Green Energy Ltd.
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
AMBUJACEM,Ambuja Cements Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
ASHOKLEY,Ashok Leyland Ltd.
BHARATFORG,Bharat Forge Ltd.
BPCL,Bharat Petroleum Corporation Ltd.
BHARTIARTL,Bharti Airtel Ltd.
CGPOWER,CG Power and Industrial Solutions Ltd.
CUMMINSIND,Cummins India Ltd.
DLF,DLF Ltd.
FORTIS,Fortis Healthcare Ltd.
GAIL,GAIL (India) Ltd.
GRASIM,Grasim Industries Ltd.
HINDPETRO,Hindustan Petroleum Corporation Ltd.
INDHOTEL,Indian Hotels Co. Ltd.
IOC,Indian Oil Corporation Ltd.
INDUSTOWER,Indus Towers Ltd.
INDIGO,InterGlobe Aviation Ltd.
LT,Larsen & Toubro Ltd.
MAXHEALTH,Max Healthcare Institute Ltd.
NTPC,NTPC Ltd.
ONGC,Oil & Natural Gas Corporation Ltd.
POWERGRID,Power Grid Corporation of India Ltd.
RELIANCE,Reliance Industries Ltd.
MOTHERSON,Samvardhana Motherson International Ltd.
SHREECEM,Shree Cement Ltd.
SUZLON,Suzlon Energy Ltd.
TATAPOWER,Tata Power Co. Ltd.
ULTRACEMCO,UltraTech Cement Ltd.
