symbol,company_name
SBIN,State Bank of India
HDFCBANK,HDFC Bank Limited
TITAN,Titan Company Limited
BRITANNIA,Britannia Industries Limited
ICICIBANK,ICICI Bank Limited
RELIANCE,Reliance Industries Limited
TCS,Tata Consultancy Services Limited
INFY,Infosys Limited
BHARTIARTL,Bharti Airtel Limited
PIDILITIND,Pidilite Industries Limited
AXISBANK,Axis Bank Limited
LUPIN,Lupin Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
LT,Larsen & Toubro Limited
KOTAKBANK,Kotak Mahindra Bank Limited
ASIANPAINT,Asian Paints Limited
DABUR,Dabur India Limited
ITC,ITC Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
BAJAJ-AUTO,Bajaj Auto Limited
MARUTI,Maruti Suzuki India Limited
HCLTECH,HCL Technologies Limited
WIPRO,Wipro Limited
ULTRACEMCO,UltraTech Cement Limited
HEROMOTOCO,Hero MotoCorp Limited
HINDUNILVR,Hindustan Unilever Limited
POWERGRID,Power Grid Corporation of India Limited
NESTLEIND,Nestle India Limited
GODREJCP,Godrej Consumer Products Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
TECHM,Tech Mahindra Limited
UNITDSPR,United Spirits Limited
GRASIM,Grasim Industries Limited
HDFCLIFE,HDFC Life Insurance Company Limited
SRF,SRF Limited
CIPLA,Cipla Limited
BAJAJFINSV,Bajaj Finserv Limited
SBILIFE,SBI Life Insurance Company Limited
DRREDDY,Dr. Reddy's Laboratories Limited
MARICO,Marico Limited
DMART,Avenue Supermarts Limited
DIVISLAB,Divi's Laboratories Limited
JSWSTEEL,JSW Steel Limited
SBICARD,SBI Cards and Payment Services Limited
MRF,MRF Limited
SHREECEM,SHREE CEMENT LIMITED
PAGEIND,Page Industries Limited
COLPAL,Colgate Palmolive (India) Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
