symbol,company_name
TITAN,Titan Company Limited
RELIANCE,Reliance Industries Limited
TCS,Tata Consultancy Services Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
M&M,Mahindra & Mahindra Limited
IDEA,Vodafone Idea Limited
ADANIPOWER,Adani Power Limited
TEJASNET,Tejas Networks Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
ADANIENSOL,Adani Energy Solutions Limited
TATASTEEL,Tata Steel Limited
ADANIENT,Adani Enterprises Limited
HINDALCO,Hindalco Industries Limited
ULTRACEMCO,UltraTech Cement Limited
TMCV,Tata Motors Limited
JIOFIN,Jio Financial Services Limited
ADANIGREEN,Adani Green Energy Limited
TRENT,Trent Limited
AMBUJACEM,Ambuja Cements Limited
TECHM,Tech Mahindra Limited
TATAPOWER,Tata Power Company Limited
TMPV,Tata Motors Passenger Vehicles Limited
VOLTAS,Voltas Limited
GRASIM,Grasim Industries Limited
M&MFIN,Mahindra & Mahindra Financial Services Limited
INDHOTEL,The Indian Hotels Company Limited
TATACHEM,Tata Chemicals Limited
ABSLAMC,Aditya Birla Sun Life AMC Limited
ABCAPITAL,Aditya Birla Capital Limited
TATAELXSI,Tata Elxsi Limited
ABLBL,Aditya Birla Lifestyle Brands Limited
ABREL,Aditya Birla Real Estate Limited
ATGL,Adani Total Gas Limited
ACC,ACC Limited
TATACOMM,Tata Communications Limited
TATATECH,Tata Technologies Limited
CEMPRO,Cemindia Projects Limited
TATACAP,Tata Capital Limited
TATAINVEST,Tata Investment Corporation Limited
ABFRL,Aditya Birla Fashion and Retail Limited
TTML,Tata Teleservices (Maharashtra) Limited
INDIACEM,The India Cements Limited
