symbol,company_name
APLAPOLLO,APL Apollo Tubes Ltd.
ADANIENT,Adani Enterprises Ltd.
DUMMYVEDL1,Dummy Vedanta Ltd. 1
DUMMYVEDL2,Dummy Vedanta Ltd. 2
DUMMYVEDL3,Dummy Vedanta Ltd. 3
DUMMYVEDL4,Dummy Vedanta Ltd. 4
HINDALCO,Hindalco Industries Ltd.
HINDCOPPER,Hindustan Copper Ltd.
HINDZINC,Hindustan Zinc Ltd.
JSWSTEEL,JSW Steel Ltd.
JSL,Jindal Stainless Ltd.
JINDALSTEL,Jindal Steel Ltd.
LLOYDSME,Lloyds Metals And Energy Ltd.
NMDC,NMDC Ltd.
NATIONALUM,National Aluminium Co. Ltd.
SAIL,Steel Authority of India Ltd.
TATASTEEL,Tata Steel Ltd.
VEDL,Vedanta Ltd.
WELCORP,Welspun Corp Ltd.
