symbol,company_name
ASKAUTOLTD,ASK Automotive Ltd.
AXISCADES,AXISCADES Technologies Ltd.
AARTIDRUGS,Aarti Drugs Ltd.
AARTIPHARM,Aarti Pharmalabs Ltd.
AVL,Aditya Vision Ltd.
ADVENZYMES,Advanced Enzyme Tech Ltd.
AEQUS,Aequs Ltd.
AETHER,Aether Industries Ltd.
AHLUCONT,Ahluwalia Contracts (India) Ltd.
AKUMS,Akums Drugs and Pharmaceuticals Ltd.
APLLTD,Alembic Pharmaceuticals Ltd.
ALIVUS,Alivus Life Sciences Ltd.
ALKYLAMINE,Alkyl Amines Chemicals Ltd.
ALOKINDS,Alok Industries Ltd.
APOLLO,Apollo Micro Systems Ltd.
ACI,Archean Chemical Industries Ltd.
ARVINDFASN,Arvind Fashions Ltd.
ARVIND,Arvind Ltd.
ASHAPURMIN,Ashapura Minechem Ltd.
ASHOKA,Ashoka Buildcon Ltd.
ASTRAMICRO,Astra Microwave Products Ltd.
ATLANTAELE,Atlanta Electricals Ltd.
AURIONPRO,Aurionpro Solution Ltd.
AVALON,Avalon Technologies Ltd.
AVANTIFEED,Avanti Feeds Ltd.
CCAVENUE,AvenuesAI Ltd.
AWFIS,Awfis Space Solutions Ltd.
AZAD,Azad Engineering Ltd.
BAJAJELEC,Bajaj Electricals Ltd
BALAMINES,Balaji Amines Ltd.
BALUFORGE,Balu Forge Industries Ltd.
BANCOINDIA,Banco Products (India) Ltd.
BIRLACORPN,Birla Corporation Ltd.
BBOX,Black Box Ltd.
BLACKBUCK,Blackbuck Ltd.
BLUESTONE,BlueStone Jewellery and Lifestyle Ltd.
BORORENEW,Borosil Renewables Ltd.
CMSINFO,CMS Info Systems Ltd.
CORONA,CORONA Remedies Ltd.
CSBBANK,CSB Bank Ltd.
CAMPUS,Campus Activewear Ltd.
CRAMC,Canara Robeco Asset Management Company Ltd.
CAPILLARY,Capillary Technologies India Ltd.
CELLO,Cello World Ltd.
CENTURYPLY,Century Plyboards (India) Ltd.
CERA,Cera Sanitaryware Ltd
CRIZAC,Crizac Ltd.
CUPID,Cupid Ltd.
DCBBANK,DCB Bank Ltd.
DATAMATICS,Datamatics Global Services Ltd.
DIACABS,Diamond Power Infrastructure Ltd.
DBL,Dilip Buildcon Ltd.
AGARWALEYE,Dr. Agarwal's Health Care Ltd.
DUMMYALCAR,Dummy Allcargo Logistics Ltd.
DYNAMATECH,Dynamatic Technologies Ltd.
EPL,EPL Ltd.
EDELWEISS,Edelweiss Financial Services Ltd.
EMIL,Electronics Mart India Ltd.
ELECTCAST,Electrosteel Castings Ltd.
ELLEN,Ellenbarrie Industrial Gases Ltd.
EMBDL,Embassy Developments Ltd.
ENTERO,Entero Healthcare Solutions Ltd.
EIEL,Enviro Infra Engineers Ltd.
EQUITASBNK,Equitas Small Finance Bank Ltd.
ETHOSLTD,Ethos Ltd.
EUREKAFORB,Eureka Forbes Ltd.
FEDFINA,Fedbank Financial Services Ltd.
FIEMIND,Fiem Industries Ltd
FINPIPE,Finolex Industries Ltd.
UTLSOLAR,Fujiyama Power Systems Ltd.
GHCL,GHCL Ltd.
GMMPFAUDLR,GMM Pfaudler Ltd.
GMRP&UI,GMR Power and Urban Infra Ltd.
GRWRHITECH,Garware Hi-Tech Films Ltd.
GODREJAGRO,Godrej Agrovet Ltd.
GOKEX,Gokaldas Exports Ltd.
GOKULAGRO,Gokul Agro Resources Ltd.
GREAVESCOT,Greaves Cotton Ltd.
GAEL,Gujarat Ambuja Exports Ltd.
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.
GPPL,Gujarat Pipavav Port Ltd.
GSFC,Gujarat State Fertilizers & Chemicals Ltd.
HGINFRA,H.G. Infra Engineering Ltd.
HAPPSTMNDS,Happiest Minds Technologies Ltd.
HCG,Healthcare Global Enterprises Ltd.
HEMIPROP,Hemisphere Properties India Ltd.
HERITGFOOD,Heritage Foods Ltd.
HCC,Hindustan Construction Co. Ltd.
IFBIND,IFB Industries Ltd.
IIFLCAPS,IIFL Capital Services Ltd.
INOXINDIA,INOX India Ltd.
INDIAGLYCO,India Glycols Ltd.
INDIASHLTR,India Shelter Finance Corporation Ltd.
IMFA,Indian Metals & Ferro Alloys Ltd.
INDIGOPNTS,Indigo Paints Ltd.
ICIL,Indo Count Industries Ltd.
INOXGREEN,Inox Green Energy Services Ltd.
IONEXCHANG,Ion Exchange (India) Ltd.
JKLAKSHMI,JK Lakshmi Cement Ltd.
JKPAPER,JK Paper Ltd.
JAIBALAJI,Jai Balaji Industries Ltd.
JAMNAAUTO,Jamna Auto Industries Ltd.
JSFB,Jana Small Finance Bank Ltd.
JAYNECOIND,Jayaswal Neco Industries Ltd.
JSLL,Jeena Sikho Lifecare Ltd.
JLHL,Jupiter Life Line Hospitals Ltd.
JUSTDIAL,Justdial Ltd.
JYOTHYLAB,Jyothy Labs Ltd.
KNRCON,KNR Constructions Ltd.
KPIGREEN,KPI Green Energy Ltd.
KRBL,KRBL Ltd.
KRN,KRN Heat Exchanger and Refrigeration Ltd.
KSB,KSB Ltd.
KANSAINER,Kansai Nerolac Paints Ltd.
KTKBANK,Karnataka Bank Ltd.
KSCL,Kaveri Seed Company Ltd.
KIRLOSBROS,Kirloskar Brothers Ltd.
KIRLPNU,Kirloskar Pneumatic Company Ltd.
KITEX,Kitex Garments Ltd.
LXCHEM,Laxmi Organic Industries Ltd.
IXIGO,Le Travenues Technology Ltd.
LLOYDSENGG,Lloyds Engineering Works Ltd.
LLOYDSENT,Lloyds Enterprises Ltd.
LUMAXTECH,Lumax Auto Technologies Ltd.
MOIL,MOIL Ltd.
MSTCLTD,MSTC Ltd.
MTARTECH,MTAR Technologies Ltd.
MAHSCOOTER,Maharashtra Scooters Ltd.
MAHSEAMLES,Maharashtra Seamless Ltd.
MANORAMA,Manorama Industries Ltd.
MARKSANS,Marksans Pharma Ltd.
MASTEK,Mastek Ltd.
MEDPLUS,Medplus Health Services Ltd.
METROPOLIS,Metropolis Healthcare Ltd.
MIDHANI,Mishra Dhatu Nigam Ltd.
BECTORFOOD,Mrs. Bectors Food Specialities Ltd.
NEOGEN,NEOGEN CHEMICALS LTD.
