symbol,company_name
APLAPOLLO,APL Apollo Tubes Ltd.
AUBANK,AU Small Finance Bank Ltd.
ALKEM,Alkem Laboratories Ltd.
ASHOKLEY,Ashok Leyland Ltd.
AUROPHARMA,Aurobindo Pharma Ltd.
BSE,BSE Ltd.
BHARATFORG,Bharat Forge Ltd.
BHEL,Bharat Heavy Electricals Ltd.
COFORGE,Coforge Ltd.
COLPAL,Colgate Palmolive (India) Ltd.
DABUR,Dabur India Ltd.
DIXON,Dixon Technologies (India) Ltd.
NYKAA,FSN E-Commerce Ventures Ltd.
FEDERALBNK,Federal Bank Ltd.
FORTIS,Fortis Healthcare Ltd.
GMRAIRPORT,GMR Airports Ltd.
GODREJPROP,Godrej Properties Ltd.
HAVELLS,Havells India Ltd.
HEROMOTOCO,Hero MotoCorp Ltd.
HINDPETRO,Hindustan Petroleum Corporation Ltd.
ICICIGI,ICICI Lombard General Insurance Company Ltd.
IDFCFIRSTB,IDFC First Bank Ltd.
INDUSTOWER,Indus Towers Ltd.
INDUSINDBK,IndusInd Bank Ltd.
NAUKRI,Info Edge (India) Ltd.
LAURUSLABS,Laurus Labs Ltd.
LUPIN,Lupin Ltd.
MANKIND,Mankind Pharma Ltd.
MARICO,Marico Ltd.
MFSL,Max Financial Services Ltd.
MPHASIS,MphasiS Ltd.
MCX,Multi Commodity Exchange of India Ltd.
NHPC,NHPC Ltd.
NMDC,NMDC Ltd.
OIL,Oil India Ltd.
PAYTM,One 97 Communications Ltd.
POLICYBZR,PB Fintech Ltd.
PERSISTENT,Persistent Systems Ltd.
PHOENIXLTD,Phoenix Mills Ltd.
POLYCAB,Polycab India Ltd.
PRESTIGE,Prestige Estates Projects Ltd.
SBICARD,SBI Cards and Payment Services Ltd.
SRF,SRF Ltd.
SUPREMEIND,Supreme Industries Ltd.
SUZLON,Suzlon Energy Ltd.
SWIGGY,Swiggy Ltd.
TIINDIA,Tube Investments of India Ltd.
UPL,UPL Ltd.
WAAREEENER,Waaree Energies Ltd.
YESBANK,Yes Bank Ltd.
