symbol,company_name
3MINDIA,3M India Ltd.
ABB,ABB India Ltd.
AWL,AWL Agri Business Ltd.
ABBOTINDIA,Abbott India Ltd.
AMBUJACEM,Ambuja Cements Ltd.
ASHOKLEY,Ashok Leyland Ltd.
BOSCHLTD,Bosch Ltd.
BRITANNIA,Britannia Industries Ltd.
CRISIL,CRISIL Ltd.
CASTROLIND,Castrol India Ltd.
COHANCE,Cohance Lifesciences Ltd.
COLPAL,Colgate Palmolive (India) Ltd.
CUMMINSIND,Cummins India Ltd.
DUMMYVEDL1,Dummy Vedanta Ltd. 1
DUMMYVEDL2,Dummy Vedanta Ltd. 2
DUMMYVEDL3,Dummy Vedanta Ltd. 3
DUMMYVEDL4,Dummy Vedanta Ltd. 4
ESCORTS,Escorts Kubota Ltd.
GLAND,Gland Pharma Ltd.
HINDUNILVR,Hindustan Unilever Ltd.
POWERINDIA,Hitachi Energy India Ltd.
HYUNDAI,Hyundai Motor India Ltd.
LINDEINDIA,Linde India Ltd.
MARUTI,Maruti Suzuki India Ltd.
NESTLEIND,Nestle India Ltd.
NAM-INDIA,Nippon Life India Asset Management Ltd.
OFSS,Oracle Financial Services Software Ltd.
SCHAEFFLER,Schaeffler India Ltd.
ENRIN,Siemens Energy India Ltd.
SIEMENS,Siemens Ltd.
TIMKEN,Timken India Ltd.
UBL,United Breweries Ltd.
UNITDSPR,United Spirits Ltd.
VEDL,Vedanta Ltd.
