symbol,company_name
ABB,ABB India Ltd.
ADANIENSOL,Adani Energy Solutions Ltd.
ADANIGREEN,Adani Green Energy Ltd.
ADANIPOWER,Adani Power Ltd.
AMBUJACEM,Ambuja Cements Ltd.
DMART,Avenue Supermarts Ltd.
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.
BANKBARODA,Bank of Baroda
BPCL,Bharat Petroleum Corporation Ltd.
BOSCHLTD,Bosch Ltd.
BRITANNIA,Britannia Industries Ltd.
CGPOWER,CG Power and Industrial Solutions Ltd.
CANBK,Canara Bank
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.
CUMMINSIND,Cummins India Ltd.
DLF,DLF Ltd.
DIVISLAB,Divi's Laboratories Ltd.
DUMMYVEDL1,Dummy Vedanta Ltd. 1
DUMMYVEDL2,Dummy Vedanta Ltd. 2
DUMMYVEDL3,Dummy Vedanta Ltd. 3
DUMMYVEDL4,Dummy Vedanta Ltd. 4
GAIL,GAIL (India) Ltd.
GODREJCP,Godrej Consumer Products Ltd.
HDFCAMC,HDFC Asset Management Company Ltd.
HAL,Hindustan Aeronautics Ltd.
HINDZINC,Hindustan Zinc Ltd.
HYUNDAI,Hyundai Motor India Ltd.
INDHOTEL,Indian Hotels Co. Ltd.
IOC,Indian Oil Corporation Ltd.
IRFC,Indian Railway Finance Corporation Ltd.
JINDALSTEL,Jindal Steel Ltd.
LTM,LTM Ltd.
LODHA,Lodha Developers Ltd.
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.
MUTHOOTFIN,Muthoot Finance Ltd.
PIDILITIND,Pidilite Industries Ltd.
PFC,Power Finance Corporation Ltd.
PNB,Punjab National Bank
RECLTD,REC Ltd.
MOTHERSON,Samvardhana Motherson International Ltd.
SHREECEM,Shree Cement Ltd.
ENRIN,Siemens Energy India Ltd.
SIEMENS,Siemens Ltd.
SOLARINDS,Solar Industries India Ltd.
TVSMOTOR,TVS Motor Company Ltd.
TATACAP,Tata Capital Ltd.
TMCV,Tata Motors Ltd.
TATAPOWER,Tata Power Co. Ltd.
TORNTPHARM,Torrent Pharmaceuticals Ltd.
UNIONBANK,Union Bank of India
UNITDSPR,United Spirits Ltd.
VBL,Varun Beverages Ltd.
VEDL,Vedanta Ltd.
ZYDUSLIFE,Zydus Lifesciences Ltd.
