symbol,company_name
ABBOTINDIA,Abbott India Ltd.
AJANTPHARM,Ajanta Pharmaceuticals Ltd.
ALKEM,Alkem Laboratories Ltd.
AUROPHARMA,Aurobindo Pharma Ltd.
BIOCON,Biocon Ltd.
CIPLA,Cipla Ltd.
DIVISLAB,Divi's Laboratories Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd.
GLAND,Gland Pharma Ltd.
GLENMARK,Glenmark Pharmaceuticals Ltd.
IPCALAB,Ipca Laboratories Ltd.
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.
LAURUSLABS,Laurus Labs Ltd.
LUPIN,Lupin Ltd.
MANKIND,Mankind Pharma Ltd.
PPLPHARMA,Piramal Pharma Ltd.
SUNPHARMA,Sun Pharmaceutical Industries Ltd.
TORNTPHARM,Torrent Pharmaceuticals Ltd.
WOCKPHARMA,Wockhardt Ltd.
ZYDUSLIFE,Zydus Lifesciences Ltd.
